model,model_label,data_file,core_var,core_var_cn,nobs,n_provinces,n_years,coef_core,se_core,t_core,p_core,ci_lower,ci_upper,stars_core,r2_within,r2_between,r2_overall,r2_model,f_statistic,f_pvalue,cov_type
滞后一期,滞后一期,第二阶段_滞后一期.csv,lntl,夜间灯光强度,240,30,8,0.18243705227478868,0.06983418730316453,2.612431809119393,0.009683103174560115,0.044718515653257046,0.32015558889632034,***,-0.1600382122181252,-4.901278951508859,-4.841084506593249,0.2576414991031918,11.395072879660706,6.332445678935983e-11,Driscoll-Kraay
winsor_1pct,1%缩尾,第二阶段_滞后一期.csv,lntl,夜间灯光强度,240,30,8,0.17104752199851586,0.062363397262946124,2.7427550374993053,0.006654361041223078,0.0480619737810602,0.2940330702159715,***,-0.12818586856717995,-3.813584435124441,-3.7712098464276904,0.21092405564848615,8.776518758047738,1.762100565461111e-08,Driscoll-Kraay
winsor_5pct,5%缩尾,第二阶段_滞后一期.csv,lntl,夜间灯光强度,240,30,8,0.12245689501790967,0.07027603498440013,1.742512864379623,0.08297924674620871,-0.01613300015191034,0.2610467901877297,*,-0.012076994000906893,-3.775919945117991,-3.7350184924324026,0.1420566221551811,5.4364804809672265,3.1778391313741494e-05,Driscoll-Kraay
基准回归,滞后一期,第二阶段_滞后一期.csv,lntl_1,当期夜间灯光强度,240,30,8,0.187338980602337,0.07308038795019647,2.563464506099866,0.011109063901224792,0.043218679745355454,0.3314592814593186,**,-0.20842938761658814,-4.6652487545837396,-4.608665302564415,0.2681073740897475,12.027527633121442,1.6883272557777218e-11,Driscoll-Kraay
