GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,light_count,light_sum,light_mean
CHN.5.5_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Jinchang,Jīnchāng,金昌市,Dìjíshì,Prefecture City,NA,NA,43715,12657.8480224289,0.289553883619557
CHN.5.6_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Jiuquan,Jiǔquán,酒泉市,Dìjíshì,Prefecture City,NA,NA,890832,115593.515413337,0.129759051553308
CHN.5.7_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Lanzhou,Lánzhōu,兰州市,Dìjíshì,Prefecture City,NA,NA,76745,58252.5560648777,0.759040407386509
CHN.5.8_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Linxia Hui,Línxià Huizù,临夏回族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA,46307,12133.2193317525,0.262016959244877
CHN.5.9_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Longnan,Lǒngnán,陇南市,Dìjíshì,Prefecture City,NA,NA,159235,33126.9837784476,0.208038331889645
CHN.5.10_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Pingliang,Píngliáng,平凉市,Dìjíshì,Prefecture City,NA,NA,63215,14490.5993247086,0.22922722968771
CHN.5.11_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Qingyang,Qìngyáng,庆阳市,Dìjíshì,Prefecture City,NA,NA,156730,41639.6210561559,0.265677413744375
CHN.5.12_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Tianshui,Tiānshuǐ,天水市,Dìjíshì,Prefecture City,NA,NA,80602,22406.7405135617,0.277992363881314
CHN.5.13_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Wuwei,Wǔwēi,武威市,Dìjíshì,Prefecture City,NA,NA,193690,30079.9298034862,0.155299343298499
CHN.5.14_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Zhangye,Zhāngyè,张掖市,Dìjíshì,Prefecture City,NA,NA,236912,34656.4561439614,0.146284089214398
CHN.6.1_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Chaozhou,Cháozhōu,潮州市,Dìjíshì,Prefecture City,NA,NA,16279,24308.0838596616,1.49321726516749
CHN.6.2_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Dongguan,Dōngguǎn,东莞市,Dìjíshì,Prefecture City,NA,NA,12143,158768.630039871,13.0749098278737
CHN.6.3_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Foshan,Fóshān,佛山市,Dìjíshì,Prefecture City,NA,NA,19704,148869.776251733,7.55530736153742
CHN.6.4_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Guangzhou,Guǎngzhōu,广州市,Dìjíshì,Prefecture City,NA,NA,35759,230914.135580915,6.45751099250301
CHN.6.5_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Heyuan,Héyuán,河源市,Dìjíshì,Prefecture City,NA,NA,79879,29130.0569735409,0.364677286565191
CHN.6.6_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Huizhou,Huìzhōu,惠州市,Dìjíshì,Prefecture City,NA,NA,57315,91823.9464435689,1.60209275832799
CHN.6.7_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Jiangmen,Jiāngmén,江门市,Dìjíshì,Prefecture City,NA,NA,46602,62682.7315523159,1.34506526656186
CHN.6.8_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Jieyang,Jiēyáng,揭阳市,Dìjíshì,Prefecture City,NA,NA,26499,39600.0628141686,1.4943983853794
CHN.6.9_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Maoming,Màomíng,茂名市,Dìjíshì,Prefecture City,NA,NA,57115,34274.0338751424,0.600088135781185
CHN.6.10_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Meizhou,Méizhōu,梅州市,Dìjíshì,Prefecture City,NA,NA,80965,28753.7878938387,0.355138490629762
CHN.6.11_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Qingyuan,Qīngyuǎn,清远市,Dìjíshì,Prefecture City,NA,NA,96922,57965.8025152201,0.598066512403996
CHN.6.12_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Shantou,Shàntóu,汕头市,Dìjíshì,Prefecture City,NA,NA,10030,45515.4576483071,4.53793196892394
CHN.6.13_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Shanwei,Shànwěi,汕尾市,Dìjíshì,Prefecture City,NA,NA,24234,18669.0665720366,0.770366698524247
CHN.6.14_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Shaoguan,Sháoguān,韶关市,Dìjíshì,Prefecture City,NA,NA,94553,33411.6472950636,0.35336422213006
CHN.6.15_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Shenzhen,Shēnzhèn,深圳市,Dìjíshì,Prefecture City,NA,NA,9431,161922.13934359,17.1691378797147
CHN.6.16_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Yangjiang,Yángjiāng,阳江市,Dìjíshì,Prefecture City,NA,NA,38869,29249.8102044212,0.752522838365308
CHN.6.17_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Yunfu,Yúnfú,云浮市,Dìjíshì,Prefecture City,NA,NA,39444,20867.6944471645,0.529046101996869
CHN.6.18_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Zhanjiang,Zhànjiāng,湛江市,Dìjíshì,Prefecture City,NA,NA,59892,47490.4599709379,0.792934949090661
CHN.6.19_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Zhaoqing,Zhàoqìng,肇庆市,Dìjíshì,Prefecture City,NA,NA,75717,48517.7958962629,0.640778106584556
CHN.6.20_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Zhongshan,Zhōngshān,中山市,Dìjíshì,Prefecture City,NA,NA,8243,76872.9043579102,9.32584063543736
CHN.6.21_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Zhuhai,Zhūhǎi,珠海市,Dìjíshì,Prefecture City,NA,NA,6506,31774.8451962546,4.88392947990387
CHN.7.1_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Baise,Bǎisè,百色市,Dìjíshì,Prefecture City,NA,NA,184970,40235.7887271097,0.217526024366706
CHN.7.2_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Beihai,Běihǎi,北海市,Dìjíshì,Prefecture City,NA,NA,16608,18814.384534626,1.13285070656467
CHN.7.3_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Chongzuo,Chóngzuǒ,崇左市,Dìjíshì,Prefecture City,NA,NA,87825,17234.9926044092,0.196242443545792
CHN.7.4_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Fangchenggang,Fángchénggǎng,防城港市,Dìjíshì,Prefecture City,NA,NA,29468,14038.1299428335,0.476385568848702
CHN.7.5_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Guigang,Guìgǎng,贵港市,Dìjíshì,Prefecture City,NA,NA,54025,20227.2007351537,0.37440445599544
CHN.7.6_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Guilin,Guìlín,桂林市,Dìjíshì,Prefecture City,NA,NA,142358,38952.9686677191,0.273626832827934
CHN.7.7_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Hechi,Héchí,河池市,Dìjíshì,Prefecture City,NA,NA,171596,29891.369859176,0.174196192563789
CHN.7.8_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Hezhou,Hèzhōu,贺州市,Dìjíshì,Prefecture City,NA,NA,59793,14179.5052409149,0.237143231497248
CHN.7.9_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Laibin,Láibīn,来宾市,Dìjíshì,Prefecture City,NA,NA,67174,21123.032433509,0.314452502955147
CHN.7.10_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Liuzhou,Liǔzhōu,柳州市,Dìjíshì,Prefecture City,NA,NA,96856,46163.0523973638,0.476615309297966
CHN.7.11_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Nanning,Nánníng,南宁市,Dìjíshì,Prefecture City,NA,NA,112263,86330.933085484,0.769006111412344
CHN.7.12_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Qinzhou,Qīnzhōu,钦州市,Dìjíshì,Prefecture City,NA,NA,53307,19119.8273923766,0.358673858824856
CHN.7.13_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Wuzhou,Wúzhōu,梧州市,Dìjíshì,Prefecture City,NA,NA,63848,19067.2056086258,0.298634344202259
CHN.7.14_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Yulin,Yùlín,玉林市,Dìjíshì,Prefecture City,NA,NA,64989,24310.2490383096,0.374067135027614
CHN.8.1_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Anshun,Ānshùn,安顺市,Dìjíshì,Prefecture City,NA,NA,48400,26106.5421862896,0.539391367485321
CHN.8.2_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Bijie,Bìjié,毕节地区,Dìqu,Prefecture,NA,NA,140410,46489.7889441932,0.331100270238539
CHN.8.3_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Guiyang,Guìyáng,贵阳市,Dìjíshì,Prefecture City,NA,NA,42031,67045.139719015,1.59513548854453
CHN.8.4_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Liupanshui,Liùpánshuǐ,六盘水市,Dìjíshì,Prefecture City,NA,NA,51858,35163.875215867,0.678080049671544
CHN.8.5_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Qiandongnan Miao and Dong,Qiándōngnán Miáozú|Dòngzú,黔东南苗族侗族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA,157981,37641.7388703044,0.238267506031133
CHN.8.6_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Qiannan Buyei and Miao,Qiánnán Bùyīzú|Miáozú,黔南布依族苗族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA,135293,38148.4971456745,0.281969482128969
CHN.8.7_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Qianxinan Buyei and Miao,Qiánxīnán Bùyīzú|Miáozú,黔西南布依族苗族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA,86735,32016.4364237136,0.36912937595796
CHN.8.8_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Tongren,Tóngrén,铜仁地区,Dìqu,Prefecture,NA,NA,94795,26891.5795156785,0.283681412687151
CHN.8.9_1,CHN,China,CHN.8_1,Guizhou,貴州|贵州,Zunyi,Zūnyì,遵义市,Dìjíshì,Prefecture City,NA,NA,162853,51238.7469662036,0.314631888673857
CHN.9.1_1,CHN,China,CHN.9_1,Hainan,海南,Haikou,Hǎikǒu,海口市,Dìjíshì,Prefecture City,NA,NA,10806,29937.459826291,2.77044788323996
CHN.9.2_1,CHN,China,CHN.9_1,Hainan,海南,Hainan,Hǎinán,海南,Dìqu,Prefecture,NA,NA,146614,71968.2273133669,0.490868725451641
CHN.9.3_1,CHN,China,CHN.9_1,Hainan,海南,Sanya,Sānyà,三亚市,Dìjíshì,Prefecture City,NA,NA,9149,18350.8054700657,2.00577172041378
CHN.10.1_1,CHN,China,CHN.10_1,Hebei,河北,Baoding,Bǎodìng,保定市,Dìjíshì,Prefecture City,NA,NA,133611,75771.2853278499,0.567103646614799
CHN.10.2_1,CHN,China,CHN.10_1,Hebei,河北,Cangzhou,Cāngzhōu,沧州市,Dìjíshì,Prefecture City,NA,NA,83724,70400.3307921961,0.840862008410923
CHN.10.3_1,CHN,China,CHN.10_1,Hebei,河北,Chengde,Chéngdé,承德市,Dìjíshì,Prefecture City,NA,NA,244715,46693.3948204778,0.190807244429143
CHN.10.4_1,CHN,China,CHN.10_1,Hebei,河北,Handan,Hándān,邯郸市,Dìjíshì,Prefecture City,NA,NA,69902,66601.4340386391,0.952782953830206
CHN.10.5_1,CHN,China,CHN.10_1,Hebei,河北,Hengshui,Héngshuǐ,衡水市,Dìjíshì,Prefecture City,NA,NA,52040,25708.4021768086,0.494012340061656
CHN.10.6_1,CHN,China,CHN.10_1,Hebei,河北,Langfang,Lángfáng,廊坊市,Dìjíshì,Prefecture City,NA,NA,38456,57136.3641921729,1.48575941835274
CHN.10.7_1,CHN,China,CHN.10_1,Hebei,河北,Qinhuangdao,Qínhuángdǎo,秦皇岛市,Dìjíshì,Prefecture City,NA,NA,47079,34014.1232128479,0.722490350535225
CHN.10.8_1,CHN,China,CHN.10_1,Hebei,河北,Shijiazhuang,Shíjiāzhuāng,石家庄市,Dìjíshì,Prefecture City,NA,NA,83195,79204.7671547011,0.952037588252913
CHN.10.9_1,CHN,China,CHN.10_1,Hebei,河北,Tangshan,Tángshān,唐山市,Dìjíshì,Prefecture City,NA,NA,78799,114913.890015006,1.45831660319301
CHN.10.10_1,CHN,China,CHN.10_1,Hebei,河北,Xingtai,Xíngtái,邢台市,Dìjíshì,Prefecture City,NA,NA,72939,42636.3490562625,0.584548034059454
CHN.10.11_1,CHN,China,CHN.10_1,Hebei,河北,Zhangjiakou,Zhāngjiākǒu,张家口市,Dìjíshì,Prefecture City,NA,NA,225859,54371.6364868395,0.240732653942679
CHN.11.1_1,CHN,China,CHN.11_1,Heilongjiang,黑龙江省|黑龍江省,Daqing,Dàqìng,大庆市,Dìjíshì,Prefecture City,NA,NA,139362,114172.38922555,0.819250507495228
