year,province,eff,z_score,spatial_lag,local_moran_i,local_p_value,local_z_value,quadrant,cluster,is_significant
2015,上海,0.5810507223454309,0.3969839627333623,0.4768197961589449,0.18928981218889196,0.5828,0.6833462055693976,HH,NS,0
2015,云南,0.3166292696593911,-0.7089345041395693,-0.5819893183818194,0.4125923088415411,0.2742,1.0477898313729583,LL,NS,0
2015,内蒙古,0.3288641213692387,-0.6577633593329562,-0.20727641004067732,0.1363388277788312,0.4711,0.722945058137307,LL,NS,0
2015,北京,1.006911905860517,2.1781092927303147,-0.469227021273447,-1.02202773543586,0.4573,-0.845379743813512,HL,NS,0
2015,吉林,0.3462864479487486,-0.584896076801805,-0.6397149843589187,0.3741667846228596,0.2011,1.1408546794517154,LL,NS,0
2015,四川,0.3471621196452197,-0.5812336602686229,0.04992236364405411,-0.0290165581500948,0.8793,-0.12945290973942258,LH,NS,0
2015,天津,0.5287792456655326,0.17836330709520007,0.624914140573865,0.1114617527633093,0.4049,0.8912586707981446,HH,NS,0
2015,宁夏,0.5938752681391075,0.45062144894490885,-0.516114495905414,-0.2325722619663689,0.3814,-0.9191918779922247,HL,NS,0
2015,安徽,0.3672507491253231,-0.49721481047207156,-0.09230936002054271,0.045897580947412364,0.7937,0.2437377817213297,LL,NS,0
2015,山东,0.4544720108972753,-0.13241988510687766,-0.32563389545384863,0.043120403022903646,0.5601,0.6833950415746294,LL,NS,0
2015,山西,0.2879029689192467,-0.829079621529844,-0.7275470165883662,0.6031944051582498,0.0899,1.5275954279222939,LL,LL,1
2015,广东,1.013560194078508,2.205915148263905,0.1643269011476934,0.3624912005089621,0.7244,0.401386443918316,HH,NS,0
2015,广西,0.3272308420895854,-0.6645944000771206,0.13564437474930652,-0.09014849186035148,0.8523,-0.26408230350676565,LH,NS,0
2015,新疆,0.3161644919188784,-0.7108783943988621,1.098789306895793,-0.78110557826872,0.0783,-1.5848357218974325,LH,LH,1
2015,江苏,0.7061670924362443,0.920271702007037,-0.049820710633683554,-0.04584859017006005,0.9557,-0.10420139326349304,HL,NS,0
