year,province,eff,z_score,spatial_lag,local_moran_i,local_p_value,local_z_value,quadrant,cluster,is_significant
2015,上海,0.5810507223454309,0.44484035341845685,-0.2975407572141343,-0.13235813559553078,0.4057,-0.7204674969276512,HL,NS,0
2015,云南,0.3166292696593911,-0.7258448244346486,-0.48907053884283075,0.3549893194025335,0.2687,0.8109461545410512,LL,NS,0
2015,内蒙古,0.3288641213692387,-0.6716769064973854,-0.44721414990770214,0.30038341675186336,0.3092,0.7981477757837935,LL,NS,0
2015,北京,0.9999999999992945,2.2996736305201724,-0.36726172287508685,-0.8445820995952444,0.245,-0.8784044209139309,HL,NS,0
2015,吉林,0.3462864479487486,-0.5945422440743421,-0.4146341816108616,0.24651753680484995,0.0861,1.6309959361971473,LL,LL,1
2015,四川,0.3471621196452197,-0.5906653427665597,-0.3754197860673196,0.22174745661880185,0.142,1.3206921046759237,LL,NS,0
2015,天津,0.5287792456655326,0.2134164566353578,-0.36994860503560917,-0.0789531204238932,0.1015,-1.5984552601744395,HL,NS,0
2015,宁夏,0.5938752681391075,0.5016190509138597,1.322533692281226,0.6634080955237113,0.0149,3.0445717811889663,HH,HH,1
2015,安徽,0.3672507491253231,-0.5017260356988259,0.8297835668903846,-0.41632401950394415,0.1226,-1.9556061309857207,LH,NS,0
2015,山东,0.4544720108972753,-0.11556735865945333,0.28592958342805735,-0.03304412671937839,0.0562,-1.804249509412081,LH,LH,1
2015,山西,0.2879029689192467,-0.8530260880931899,-0.33910597636643597,0.2892662444688826,0.1757,1.3132546168441135,LL,NS,0
2015,广东,0.9999999999999142,2.299673630522916,0.33359514916708505,0.7671599678099041,0.2931,0.8138263103679554,HH,NS,0
2015,广西,0.3272308420895854,-0.678907998470301,-0.43577257250903323,0.2958494849903619,0.3375,0.800871394551524,LL,NS,0
2015,新疆,0.3161644919188784,-0.7279025561590874,-0.12776805627479207,0.09300269475789927,0.4603,0.775876052936359,LL,NS,0
2015,江苏,0.7061670924362443,0.998773774796381,0.8389095501465782,0.8378808581126318,0.0825,2.1101608339380333,HH,HH,1
2015,江西,0.4685780093095151,-0.053115227441355585,-0.3632278559048845,0.01929293017942387,0.1672,1.301780885879193,LL,NS,0
2015,河北,0.2641842442103717,-0.9580370816120384,-0.45612190409512865,0.4369816978586231,0.4837,0.6974451476849415,LL,NS,0
2015,河南,0.2954986309911539,-0.8193974663863088,-0.15738888276204324,0.12896405177259002,0.2037,1.2958835689370705,LL,NS,0
2015,浙江,0.4941113204184356,0.05992956734772994,-0.17509221240773534,-0.01049320053555241,0.1145,-1.5640081478014765,HL,NS,0
2015,海南,0.9999999999999286,2.29967363052298,0.41627705597041603,0.9573013686069043,0.1947,1.1692081767268787,HH,NS,0
2015,湖北,0.3655467657324379,-0.5092701592224459,-0.6917254879714505,0.3522751493974447,0.1999,1.1020380711185926,LL,NS,0
2015,湖南,0.3775203252910065,-0.456259071963951,-0.6019906943260239,0.27466371552412616,0.2491,1.004793526384831,LL,NS,0
2015,甘肃,0.3991622478547839,-0.3604427994630152,0.16099865032896937,-0.058030804234340816,0.3467,-0.9604535262940356,LH,NS,0
2015,福建,0.4060544219234719,-0.3299287623323865,-0.2088270282957338,0.0688980429871617,0.2732,1.1386096089116244,LL,NS,0
2015,贵州,0.3665513711238582,-0.5048224238765414,-0.32649239346651737,0.16482068144702078,0.0936,1.6054800315959128,LL,LL,1
2015,辽宁,0.3353140418269424,-0.6431208789834957,0.13559084931876725,-0.0872013061960043,0.7392,-0.3228821059254516,LH,NS,0
2015,重庆,0.4473665557648749,-0.14702566478742884,-0.3763747825621905,0.055336752615430036,0.2095,1.2039750132394218,LL,NS,0
2015,陕西,0.3601693210621884,-0.5330779656853388,-0.19736249283450602,0.10520959618280573,0.4645,0.7163393662406822,LL,NS,0
2015,青海,0.9999999999990168,2.299673630518943,0.47802454718249343,1.0993004458963385,0.1784,1.1001740753117868,HH,NS,0
2015,黑龙江,0.3353601214442256,-0.6429168685887013,-0.5444935343765289,0.3500640780881524,0.2243,0.904465897793838,LL,NS,0
2018,上海,0.5393823316256199,0.22454532178669706,-0.3439392429155996,-0.07722994797555627,0.3544,-0.8378554156904096,HL,NS,0
2018,云南,0.2996437682230934,-0.9456417577012052,-0.4805741379074738,0.45445097247656485,0.3538,0.7972654448480768,LL,NS,0
2018,内蒙古,0.3483358892775954,-0.7079708126427323,-0.49102179384519895,0.3476290984138777,0.3123,0.8782599599706787,LL,NS,0
2018,北京,0.8854990485752747,1.9139744416618236,-0.42804387461305027,-0.8192650359192766,0.2377,-1.0188637686744633,HL,NS,0
2018,吉林,0.3928027980757418,-0.4909235366356989,-0.46802708845947805,0.22976551350783606,0.0535,1.8214155591956076,LL,LL,1
2018,四川,0.4304708743279495,-0.3070620188477183,-0.3563340030822731,0.10941663837053184,0.1822,1.2604611990665984,LL,NS,0
2018,天津,0.6720824742167901,0.8722675326087598,-0.44257669575579994,-0.3860452823970494,0.0503,-1.9204935929931353,HL,HL,1
2018,宁夏,0.5198050398940012,0.12898667026829005,1.2665295917591284,0.1633654348372667,0.0087,2.9096249420489655,HH,HH,1
2018,安徽,0.3697627857412565,-0.6033840618111513,0.6469045425741901,-0.39033189050249967,0.1451,-1.5396954803169238,LH,NS,0
2018,山东,0.5357235211650353,0.2066863145977596,0.35626775442513503,0.07363566917215082,0.0257,2.2357687116297575,HH,HH,1
2018,山西,0.3074492353099122,-0.9075425190775571,-0.36929909820804996,0.3351546338808038,0.1427,1.427035342476609,LL,NS,0
2018,广东,0.9388331995578508,2.174303583079419,0.5802857202730844,1.261717320799589,0.1562,1.372719403215319,HH,NS,0
2018,广西,0.3399273133914116,-0.7490138835582151,-0.45524148161207045,0.3409821900990527,0.361,0.8364951088437704,LL,NS,0
2018,新疆,0.2964020163580027,-0.9614650616102458,-0.1874013401752485,0.18017984107743795,0.2627,1.1320360141492676,LL,NS,0
2018,江苏,0.8012942222315311,1.5029625526294856,0.827577191347724,1.2438175280059156,0.0607,2.0506634342870083,HH,HH,1
2018,江西,0.4273526847946677,-0.32228220308280214,-0.38089470675902865,0.12275558523687764,0.1595,1.381842614610262,LL,NS,0
2018,河北,0.2819449766076745,-1.0320312687459425,-0.344558712807523,0.3555953655362168,0.6408,0.5149875635745482,LL,NS,0
2018,河南,0.3710701562547597,-0.597002660082151,-0.11680582189294245,0.06973338638316859,0.3464,0.9650989900468504,LL,NS,0
2018,浙江,0.6079819602556331,0.559386733786515,-0.15239853122990069,-0.08524971661855635,0.1689,-1.3715920499549803,HL,NS,0
2018,海南,0.9064950043571234,2.016457729409596,0.29106452203725586,0.5869193052189342,0.4368,0.8141659706170864,HH,NS,0
2018,湖北,0.4130352712187702,-0.39216688137742217,-0.6758934170539138,0.26506301350956274,0.251,1.0919189072648523,LL,NS,0
2018,湖南,0.4281556794939887,-0.31836270841032843,-0.5561783023242769,0.17706643068701525,0.3418,0.9206392689324315,LL,NS,0
2018,甘肃,0.4001322464087809,-0.4551477915183152,0.06769290321706357,-0.03081027540070954,0.6917,-0.4128209690940816,LH,NS,0
