model,data_file,core_var,nobs,n_provinces,n_years,coef_core,se_core,t_core,p_core,ci_lower,ci_upper,stars_core,r2_within,r2_between,r2_overall,r2_model,f_statistic,f_pvalue,cov_type
baseline,第二阶段_基础.csv,lntl,240,30,8,0.17246673112586355,0.08760958999314375,1.9685827903013888,0.05040359207903444,-0.0003063044575460916,0.3452397667092732,*,-0.19817886071526036,-5.053956413291998,-4.992307817348117,0.2647370971927493,11.821895711916895,2.5906943257325565e-11,Driscoll-Kraay
winsor_1pct,第二阶段_基础.csv,lntl,240,30,8,0.17580599285034051,0.08266169088682096,2.1268134121651494,0.03467979792256748,0.01279060535576143,0.3388213803449196,**,-0.15341030652470944,-3.8173509839004165,-3.7752231172601913,0.2232053103669971,9.434377519383052,4.186784474669025e-09,Driscoll-Kraay
winsor_5pct,第二阶段_基础.csv,lntl,240,30,8,0.17026562511691193,0.08610516012743281,1.9774148827425022,0.04938931576398975,0.00045944412946102853,0.34007180610436283,**,0.00684655117982802,-3.7120520406655393,-3.6716389956100057,0.16334191987212132,6.410097302410883,3.4733887811499997e-06,Driscoll-Kraay
lag1,第二阶段_滞后一期.csv,lntl_lag1,240,30,8,0.2214921185826785,0.07611057803835676,2.91013580886293,0.0040284107093429,0.07139604338447264,0.37158819378088437,***,-0.08457920049786427,-4.831080255536384,-4.77081902599674,0.2698906906301255,12.137101794620797,1.3447465363469746e-11,Driscoll-Kraay
