model,variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper,stars
baseline,lntl,0.17246673112586355,0.08760958999314375,1.9685827903013888,0.05040359207903444,-0.0003063044575460916,0.3452397667092732,*
baseline,ind,0.08284372874582982,0.07291001249240041,1.1362462563624554,0.25723384992670684,-0.060940578242961674,0.2266280357346213,
baseline,urb,-1.9282354359738039,0.3815768307488506,-5.053334690656167,9.880360589686887e-07,-2.68073510366926,-1.1757357682783476,***
baseline,rd,6.588900519095906,3.4404338458388004,1.9151365247336962,0.05692354870513916,-0.19590693538473136,13.373707973576543,*
baseline,open,0.45216678661759546,0.22363933911214712,2.021857104446414,0.044543714467517814,0.011132334826449652,0.8932012384087413,**
baseline,es,-0.13863702925858407,0.11164433873517611,-1.241773929867017,0.2157963670687515,-0.35880848891829,0.08153443040112182,
winsor_1pct,lntl,0.17580599285034051,0.08266169088682096,2.1268134121651494,0.03467979792256748,0.01279060535576143,0.3388213803449196,**
winsor_1pct,ind,0.12861852859793285,0.06968934423928463,1.84559820445877,0.06645133714890616,-0.008814366054132994,0.2660514232499987,*
winsor_1pct,urb,-1.6543509373864635,0.3220989332797414,-5.136157765383432,6.715403506607487e-07,-2.289555490509862,-1.019146384263065,***
winsor_1pct,rd,5.124779875298996,3.0813047635754263,1.6631850039242468,0.09786546837363685,-0.9517966456299254,11.201356396227919,*
winsor_1pct,open,0.4086232832612286,0.24044273384664486,1.699461974683127,0.09081059237141997,-0.0655487909821243,0.8827953575045815,*
winsor_1pct,es,-0.1535132420864932,0.10377475163357971,-1.479292792032267,0.1406593531189948,-0.3581652540186471,0.05113876984566071,
winsor_5pct,lntl,0.17026562511691193,0.08610516012743281,1.9774148827425022,0.04938931576398975,0.00045944412946102853,0.34007180610436283,**
winsor_5pct,ind,0.06488448283673283,0.10737734570108119,0.6042660340791,0.5463620501580264,-0.14687212932315552,0.2766410949966212,
winsor_5pct,urb,-1.4514278806651564,0.4640349098737557,-3.127842000206469,0.0020278946805996068,-2.366541397368487,-0.5363143639618261,***
winsor_5pct,rd,3.9751417147703516,3.447793609765493,1.1529523413208969,0.25032697698773543,-2.824179775843675,10.774463205384379,
winsor_5pct,open,0.38850995299954666,0.27836965176705625,1.3956620290083108,0.16438735344359245,-0.1604570008904877,0.937476906889581,
winsor_5pct,es,-0.2887323760827722,0.1185938802202832,-2.434631327910545,0.01579782652929329,-0.5226088807996316,-0.05485587136591272,**
lag1,lntl_lag1,0.2214921185826785,0.07611057803835676,2.91013580886293,0.0040284107093429,0.07139604338447264,0.37158819378088437,***
lag1,ind,0.125969770687197,0.07596827163737084,1.6581892410097834,0.09887068450770675,-0.023845665041252045,0.2757852064156461,*
lag1,urb,-1.982013406599321,0.3674592419844364,-5.393831968671149,1.9645472182361345e-07,-2.706672073484969,-1.2573547397136728,***
lag1,rd,6.575895646368762,3.1856166499376686,2.064245754898798,0.04030465237336611,0.2936078413709762,12.858183451366548,**
lag1,open,0.4636028938048727,0.22159838800927853,2.092086038935722,0.03771213868739376,0.026593358892661123,0.9006124287170842,**
lag1,es,-0.13836115653184206,0.11007162883941203,-1.2570101668405649,0.21023823997097923,-0.35543110797989563,0.0787087949162115,
