model,core_var,coef_core,se_core,t_core,p_core,stars_core,r2_model,nobs
baseline,lntl,0.17246673112586355,0.08760958999314375,1.9685827903013888,0.05040359207903444,*,0.2647370971927493,240
winsor_1pct,lntl,0.17580599285034051,0.08266169088682096,2.1268134121651494,0.03467979792256748,**,0.2232053103669971,240
winsor_5pct,lntl,0.17026562511691193,0.08610516012743281,1.9774148827425022,0.04938931576398975,**,0.16334191987212132,240
lag1,lntl_lag1,0.2214921185826785,0.07611057803835676,2.91013580886293,0.0040284107093429,***,0.2698906906301255,240
