year,province,Population,Capital,,Carbon,GDP_constant
2018,安徽,6076,51160.8319,,236.3032384,28029.59639
2018,山东,10077,147293.2836,,556.4934724,77466.6529
2018,山西,3502,35124.49414,,299.1723319,15245.50063
2018,广东,12348,148370.4629,,273.0565607,89865.7953
2018,广西,4947,49533.96828,,104.6466927,20622.93032
2018,新疆,2520,33245.16108,,301.6869049,11454.58745
2018,江苏,8446,139410.8547,,378.4985866,86456.4605
2018,江西,4513,36224.96291,,116.8410958,21558.54185
2018,河北,7426,84427.87229,,314.8040034,36173.53587
2018,河南,9864,121164.2884,,287.7984291,46396.3486
2018,浙江,6273,91546.71606,,233.0310268,53277.15265
2018,海南,982,10062.33717,,20.07271522,4506.127472
2018,湖北,5917,72428.33536,,156.5559015,37121.32704
2018,湖南,6635,61259.572,,150.6483328,36341.03769
2018,甘肃,2515,17254.56364,,101.9441188,8046.287247
2018,福建,4104,71358.99854,,139.8325173,32970.04733
2018,贵州,3822,31207.90651,,138.0958395,13952.87792
2018,辽宁,4291,61577.08799,,233.5266117,30786.48945
2018,重庆,3163,37112.81368,,69.61047474,20158.15415
2018,陕西,3931,49862.07474,,155.8428859,22681.09904
2018,青海,587,12552.13523,,22.91277378,3002.644366
2018,黑龙江,3327,41251.78979,,176.8414975,17828.33212
2019,上海,2481,53342.23768,,55.48468382,32441.26329
2019,云南,4714,56477.89801,,86.41895712,19083.05394
2019,内蒙古,2415,52288.52076,,646.7295736,22022.18249
2019,北京,2190,47697.12224,,2.500295665,29662.75626
2019,吉林,2448,49568.92467,,137.5204702,17038.90113
2019,四川,8351,70197.75247,,86.85994983,40659.86675
2019,天津,1385,50241.62822,,56.48522438,20295.20868
2019,宁夏,717,13412.35556,,173.1652544,3866.6504
2019,安徽,6092,55739.6365,,240.5260341,30131.81612
2019,山东,10106,151668.1398,,563.6454255,81727.31881
2019,山西,3497,35875.0127,,303.2686244,16190.72166
2019,广东,12489,162186.3092,,269.6294053,95437.47461
2019,广西,4982,51494.17482,,116.8533368,21860.30614
2019,新疆,2559,34623.70593,,324.5572691,12164.77188
2019,江苏,8469,148414.9431,,368.7276314,91730.30459
2019,江西,4516,39326.51687,,117.9834814,23283.2252
2019,河北,7447,89234.10857,,295.37823,38633.33631
2019,河南,9901,129713.0438,,259.4372699,49644.093
2019,浙江,6375,98192.55209,,224.1579683,56899.99903
2019,海南,995,10295.71401,,19.51561143,4767.482865
2019,湖北,5927,79057.19479,,170.0262529,39905.42657
2019,湖南,6640,66050.42783,,146.9767579,39102.95655
2019,甘肃,2509,17665.63664,,99.77882352,8545.157057
2019,福建,4137,78050.47988,,141.0888745,35475.77092
2019,贵州,3848,34607.59619,,144.77256,15110.96679
2019,辽宁,4277,61495.75817,,241.4383376,32479.74637
2019,重庆,3188,39936.13543,,68.30305404,21428.11786
2019,陕西,3944,53476.5353,,171.0279394,24041.96499
2019,青海,590,13785.10182,,21.94005811,3191.810961
2019,黑龙江,3255,43201.37788,,189.0123247,18577.12207
2020,上海,2488,56861.94425,,54.8350451,32992.76477
2020,云南,4722,61817.01476,,97.3965452,19846.3761
2020,内蒙古,2403,51481.21986,,673.8725979,22066.22685
2020,北京,2189,49397.64796,,1.829965926,30018.70933
2020,吉林,2399,50298.56533,,134.4576028,17447.83476
2020,四川,8371,74743.85688,,82.47489169,42204.94168
2020,天津,1387,52258.66039,,55.82216748,20599.63681
2020,宁夏,721,13758.56614,,181.8982628,4017.449765
2020,安徽,6105,60054.64185,,237.9442613,31306.95695
2020,山东,10165,155723.1865,,535.9693677,84669.50229
2020,山西,3490,36887.50433,,310.1246993,16773.58764
2020,广东,12624,175836.4313,,263.5386809,97632.53653
2020,广西,5019,53340.17289,,122.4520123,22669.13747
2020,新疆,2590,36578.51747,,345.5686528,12578.37412
2020,江苏,8477,155910.9763,,361.0002586,95124.32586
2020,江西,4519,42474.12624,,117.4887903,24167.98775
2020,河北,7464,93665.05525,,295.6152403,40140.03642
2020,河南,9941,137643.3628,,264.0265823,50289.46621
2020,浙江,6468,104615.4395,,215.164121,58948.399
2020,海南,1012,10577.96428,,17.67607128,4934.344766
2020,湖北,5745,81909.96347,,144.3536366,37910.15524
2020,湖南,6645,70912.25665,,137.9381286,40588.8689
2020,甘肃,2501,18162.56393,,106.9904164,8878.418182
2020,福建,4161,83639.37417,,145.9560731,36646.47136
2020,贵州,3858,37674.56336,,122.5436841,15790.96029
2020,辽宁,4255,61436.36459,,243.8510329,32674.62485
2020,重庆,3209,42557.79647,,67.38911527,22263.81446
2020,陕西,3955,56836.57733,,182.0769258,24570.88822
2020,青海,593,14506.63436,,19.75488852,3239.688125
2020,黑龙江,3171,45019.52004,,186.9001907,18762.89329
2021,上海,2489,60625.22802,,66.21476511,35665.17871
