province,year,ntl,lntl
上海,2015,1,0.69314718055994529
云南,2015,0.099995520333941573,0.095306107372343019
内蒙古,2015,0.10905874278168766,0.1035116761103085
北京,2015,1,0.69314718055994529
吉林,2015,0.18084028701551741,0.16622629268950179
四川,2015,0.086732506023292161,0.083175493240098541
天津,2015,1,0.69314718055994529
宁夏,2015,0.29747161321962812,0.26041745776048847
安徽,2015,0.083974225502481792,0.080634125523039418
山东,2015,0.074125789263884551,0.071507111448032998
山西,2015,0.10207119434680981,0.097191313314357194
广东,2015,0.077913487767139411,0.075027216731277324
广西,2015,0.10345163268791699,0.098443114932049963
新疆,2015,0.11874743843423016,0.11220970093657957
江苏,2015,0.12041776305906279,0.11370161849008439
江西,2015,0.1225700152048949,0.11562071303641877
河北,2015,0.10531652084639619,0.10013173815729091
河南,2015,0.079356784600779551,0.076365293899885348
浙江,2015,0.12873338631727982,0.12109610698495021
海南,2015,0.4375742020698079,0.36295711118833313
湖北,2015,0.14685324246481699,0.13702188093300005
湖南,2015,0.1048207489280857,0.099683103646298246
甘肃,2015,0.11505837265575292,0.10890675569938153
福建,2015,0.14782077384496134,0.13786516536521481
贵州,2015,0.12399299567628419,0.11688751984735343
辽宁,2015,0.12022748481037066,0.11353177612049863
重庆,2015,1,0.69314718055994529
陕西,2015,0.17183698509194872,0.15857259026226656
青海,2015,0.26967402923255646,0.23876019762952
黑龙江,2015,0.11653493246390077,0.110230079281898
上海,2016,1,0.69314718055994529
云南,2016,0.14057212716018189,0.13153000244380139
内蒙古,2016,0.12381378263291848,0.11672806393194748
北京,2016,1,0.69314718055994529
吉林,2016,0.20156760784311076,0.18362704414365935
四川,2016,0.1413583016193925,0.13221904579096083
天津,2016,1,0.69314718055994529
宁夏,2016,0.32588653896103881,0.28208132170826794
安徽,2016,0.088700032648788424,0.084984353893780104
山东,2016,0.074650957659518694,0.071995918306951942
山西,2016,0.10528841871131472,0.10010631332033335
广东,2016,0.079189574459284318,0.076210365430429056
广西,2016,0.11454012793300257,0.10844187851907608
新疆,2016,0.10632601020879442,0.10104462477285298
江苏,2016,0.11813087089016923,0.11165842592344573
江西,2016,0.12837897895772155,0.12078207090245531
河北,2016,0.10656775289941535,0.10126311035549843
河南,2016,0.089241222646920776,0.085481327820836478
浙江,2016,0.13076229255358793,0.12289200046736642
海南,2016,0.41093868692690111,0.34425521829571221
湖北,2016,0.17333344408555454,0.15984879533298918
湖南,2016,0.12402618676804367,0.11691704903644674
甘肃,2016,0.1113139720896722,0.1055430738737662
福建,2016,0.15295918526118088,0.14233184192765819
贵州,2016,0.13078282870168806,0.12291016163329482
辽宁,2016,0.12449185507288771,0.11733124923661092
重庆,2016,1,0.69314718055994529
陕西,2016,0.17993919121070251,0.16546290427742325
青海,2016,0.25208035798597489,0.22480645431308974
黑龙江,2016,0.10833521042151265,0.10285907905166855
上海,2017,1,0.69314718055994529
云南,2017,0.087738196329670934,0.084100491104634398
内蒙古,2017,0.12650230365480614,0.11911752585461004
北京,2017,1,0.69314718055994529
吉林,2017,0.16569851004434469,0.15332048677893526
四川,2017,0.097071722044698563,0.09264455932427014
天津,2017,1,0.69314718055994529
宁夏,2017,0.26828558920804457,0.23766605873705166
安徽,2017,0.082370988861882419,0.079153994911662653
山东,2017,0.072681917755175934,0.070161977720687274
山西,2017,0.1022718103794075,0.097373332204086754
广东,2017,0.069733603857143028,0.067409649118237852
广西,2017,0.094935095235649108,0.090695087754307513
新疆,2017,0.12986410147705146,0.12209736131233237
江苏,2017,0.11054819347438699,0.10485376140652536
江西,2017,0.12129114452972604,0.11448082895036976
河北,2017,0.10093700991791789,0.096161644403544091
河南,2017,0.078983328787712387,0.076019235542838071
浙江,2017,0.12740548306187227,0.11991896011091058
海南,2017,0.48512548016753126,0.39549926711418576
湖北,2017,0.12187275587929122,0.11499939236206912
湖南,2017,0.094908128281881901,0.090670458636132392
甘肃,2017,0.12743757956406876,0.11994742905647104
福建,2017,0.13889784433411212,0.13006099153503897
贵州,2017,0.12391397695441964,0.11681721558400153
辽宁,2017,0.11011338356119842,0.10446215745998827
重庆,2017,1,0.69314718055994529
陕西,2017,0.15092877278017178,0.1405692449232446
青海,2017,0.27519930755230293,0.24310248604261131
黑龙江,2017,0.10236557595669896,0.097458394335328047
上海,2018,1,0.69314718055994529
云南,2018,0.085924118008431707,0.082431346150104765
内蒙古,2018,0.12736418319629103,0.11988232677651384
北京,2018,1,0.69314718055994529
吉林,2018,0.1639675052529414,0.15183443247021175
四川,2018,0.098394893096458422,0.093849926058465441
天津,2018,1,0.69314718055994529
宁夏,2018,0.2817710732110143,0.24824277251474039
安徽,2018,0.083998520178763914,0.08065653786778082
山东,2018,0.072341015655918092,0.069844123681163536
山西,2018,0.10158991285177812,0.096754511574641683
广东,2018,0.069382783739061413,0.067081644411938479
