province,year,lntl,ind,urb,rd,open
上海,2015,2.766623969,0.3181,0.8853,0.0373,1.1137
云南,2015,0.269845248,0.3977,0.4293,0.008,0.112
内蒙古,2015,0.348894406,0.5048,0.6209,0.0076,0.0445
北京,2015,1.634327739,0.1974,0.8671,0.0601,0.8645
吉林,2015,0.390974519,0.4982,0.5764,0.0101,0.0836
四川,2015,0.426214779,0.4408,0.4827,0.0167,0.1061
天津,2015,1.828517564,0.4658,0.8288,0.0308,0.4304
宁夏,2015,0.618370441,0.4738,0.5698,0.0088,0.08
安徽,2015,0.830909646,0.4975,0.5097,0.0196,0.1354
山东,2015,0.861147896,0.468,0.5697,0.0227,0.2379
山西,2015,0.588181298,0.4069,0.5587,0.0104,0.0716
广东,2015,1.555070592,0.4479,0.6951,0.0247,0.8746
广西,2015,0.39571544,0.4593,0.4799,0.0063,0.1894
新疆,2015,0.492849443,0.3857,0.4878,0.0056,0.1314
江苏,2015,1.458556478,0.457,0.6749,0.0257,0.4846
江西,2015,0.361258693,0.503,0.523,0.0104,0.1579
河北,2015,0.71947317,0.4827,0.5167,0.0118,0.1076
河南,2015,0.728799133,0.4842,0.4702,0.0118,0.1242
浙江,2015,1.180630426,0.4596,0.6632,0.0236,0.5036
海南,2015,1.116504611,0.2365,0.5491,0.0046,0.2349
湖北,2015,0.519183754,0.457,0.5718,0.019,0.096
湖南,2015,0.377829651,0.4432,0.5079,0.0143,0.0631
甘肃,2015,0.355442476,0.3674,0.4424,0.0122,0.0729
福建,2015,1.157684171,0.5029,0.6322,0.0151,0.4048
贵州,2015,0.429477212,0.3949,0.4296,0.0059,0.0725
辽宁,2015,0.710515129,0.4549,0.6805,0.0127,0.2084
重庆,2015,0.430616038,0.4498,0.6147,0.0157,0.2951
陕西,2015,0.545665072,0.504,0.5474,0.0218,0.1054
青海,2015,0.245365364,0.4995,0.5167,0.0048,0.0498
黑龙江,2015,0.28203587,0.3181,0.6047,0.0105,0.0868
上海,2016,2.750706116,0.2983,0.89,0.0382,1.0172
云南,2016,0.221046923,0.3848,0.4464,0.0089,0.0891
内蒙古,2016,0.341399542,0.4718,0.634,0.0079,0.0424
北京,2016,1.687652627,0.1926,0.8676,0.0596,0.7265
吉林,2016,0.349187677,0.4741,0.5875,0.0094,0.0824
四川,2016,0.498504931,0.4084,0.5,0.0172,0.099
天津,2016,1.840185483,0.4233,0.8327,0.03,0.3789
宁夏,2016,0.635882737,0.4697,0.5874,0.0095,0.0679
安徽,2016,0.840527124,0.4843,0.5262,0.0197,0.1203
山东,2016,0.868744765,0.4608,0.5913,0.0234,0.2275
山西,2016,0.551634543,0.3854,0.5727,0.0103,0.0843
广东,2016,1.520167995,0.4342,0.7015,0.0256,0.7804
广西,2016,0.344899988,0.4517,0.4924,0.0065,0.1721
新疆,2016,0.47262775,0.3779,0.5042,0.0059,0.1209
江苏,2016,1.478472986,0.4473,0.6893,0.0266,0.4344
江西,2016,0.3519577,0.4773,0.5399,0.0113,0.1426
河北,2016,0.717858373,0.4757,0.5387,0.012,0.096
河南,2016,0.736608703,0.4763,0.4878,0.0123,0.1165
浙江,2016,1.203758524,0.4486,0.6772,0.0243,0.47
海南,2016,1.111663466,0.2235,0.567,0.0054,0.1849
湖北,2016,0.497452662,0.4486,0.5857,0.0186,0.0796
湖南,2016,0.374257543,0.4228,0.527,0.015,0.0552
甘肃,2016,0.322591625,0.3494,0.4607,0.0122,0.0625
福建,2016,1.137346801,0.4892,0.6439,0.0159,0.3591
贵州,2016,0.472858462,0.3965,0.4556,0.0063,0.0319
辽宁,2016,0.686396728,0.3869,0.6887,0.0169,0.2567
重庆,2016,0.494959838,0.4452,0.6333,0.0172,0.2333
陕西,2016,0.532504399,0.4892,0.5639,0.0219,0.1019
青海,2016,0.205234075,0.4859,0.5355,0.0054,0.0392
黑龙江,2016,0.283754382,0.286,0.6109,0.0099,0.0711
上海,2017,2.839895937,0.3046,0.891,0.0393,1.0526
云南,2017,0.382145727,0.3789,0.4629,0.0096,0.0966
内蒙古,2017,0.470454956,0.3976,0.646,0.0082,0.0585
北京,2017,1.734540572,0.1901,0.8693,0.0564,0.7833
吉林,2017,0.513926013,0.4683,0.5971,0.0086,0.084
四川,2017,0.579964612,0.3875,0.5178,0.0172,0.1245
天津,2017,1.921635006,0.4094,0.8357,0.0247,0.4122
宁夏,2017,0.770166358,0.4358,0.6095,0.0113,0.0992
安徽,2017,0.98420296,0.4752,0.5429,0.0209,0.1354
山东,2017,1.009192493,0.4535,0.6079,0.0241,0.2468
山西,2017,0.698488415,0.4365,0.5859,0.0095,0.0749
广东,2017,1.613305775,0.4237,0.7074,0.0261,0.7599
广西,2017,0.470180113,0.4022,0.5059,0.0077,0.2112
新疆,2017,0.575053302,0.398,0.519,0.0052,0.1279
江苏,2017,1.607411526,0.4502,0.7018,0.0263,0.4658
江西,2017,0.515992826,0.4812,0.557,0.0128,0.1505
河北,2017,0.847509626,0.4658,0.5574,0.0133,0.0993
河南,2017,0.879819394,0.4737,0.5056,0.0131,0.1175
浙江,2017,1.352066967,0.4295,0.6891,0.0245,0.4946
海南,2017,1.212201955,0.2233,0.5804,0.0052,0.1575
湖北,2017,0.651975419,0.4352,0.5988,0.0197,0.0884
湖南,2017,0.524222134,0.4175,0.5462,0.0168,0.0718
甘肃,2017,0.445784714,0.3434,0.4812,0.0119,0.0437
福建,2017,1.322871989,0.4771,0.6578,0.0169,0.3601
贵州,2017,0.561774114,0.4009,0.4776,0.0071,0.0407
辽宁,2017,0.809513352,0.393,0.6949,0.0184,0.2883
重庆,2017,0.627281839,0.4419,0.65,0.0188,0.2321
陕西,2017,0.667160257,0.497,0.5807,0.021,0.1242
青海,2017,0.360255076,0.4429,0.5545,0.0068,0.017
黑龙江,2017,0.414024517,0.2553,0.619,0.0092,0.0806
上海,2018,2.846855368,0.2978,0.8913,0.0416,1.0408
云南,2018,0.394387997,0.3891,0.4744,0.0105,0.1102
内蒙古,2018,0.455073816,0.3937,0.6551,0.0075,0.0598
北京,2018,1.714485944,0.1863,0.8709,0.0617,0.8966
吉林,2018,0.491865136,0.4253,0.6085,0.0076,0.0904
四川,2018,0.636037194,0.3767,0.535,0.0181,0.1462
天津,2018,1.964186177,0.4046,0.8395,0.0262,0.4296
宁夏,2018,0.76293772,0.4454,0.6215,0.0123,0.0672
安徽,2018,1.00809717,0.4613,0.5565,0.0216,0.138
山东,2018,1.063354876,0.4399,0.6146,0.0215,0.2524
山西,2018,0.710881286,0.4215,0.5985,0.0105,0.0814
广东,2018,1.704219573,0.4183,0.7181,0.0278,0.7361
广西,2018,0.501536567,0.3967,0.5182,0.0071,0.2017
新疆,2018,0.592943512,0.4036,0.5401,0.0053,0.1087
江苏,2018,1.647892731,0.4455,0.7119,0.027,0.473
江西,2018,0.540922483,0.4662,0.5734,0.0141,0.1438
河北,2018,0.854078073,0.4454,0.5733,0.0139,0.0987
河南,2018,0.914965962,0.4585,0.5224,0.014,0.1147
浙江,2018,1.403207585,0.4183,0.7002,0.0257,0.5073
海南,2018,1.24570646,0.2268,0.5913,0.0056,0.1755
湖北,2018,0.688812931,0.4341,0.61,0.0209,0.0885
湖南,2018,0.541396487,0.3968,0.5609,0.0181,0.0844
甘肃,2018,0.461733585,0.3389,0.4969,0.0118,0.048
福建,2018,1.368982464,0.4813,0.6698,0.018,0.3448
贵州,2018,0.550188723,0.3887,0.4954,0.0082,0.0338
辽宁,2018,0.830655994,0.396,0.7026,0.0182,0.2985
重庆,2018,0.641754576,0.409,0.6661,0.0201,0.2564
陕西,2018,0.703685032,0.4975,0.5965,0.0218,0.1438
青海,2018,0.358926407,0.4352,0.5727,0.006,0.0168
黑龙江,2018,0.403762803,0.2464,0.6346,0.0083,0.1069
上海,2019,2.854096617,0.2699,0.8922,0.04,0.8925
云南,2019,0.379165677,0.3428,0.4867,0.0095,0.1001
内蒙古,2019,0.486750099,0.3962,0.6646,0.0086,0.0638
北京,2019,1.859683542,0.4036,0.8735,0.0631,0.8111
吉林,2019,0.548710165,0.3526,0.6163,0.0127,0.1111
四川,2019,0.68763976,0.3725,0.5536,0.0187,0.1457
天津,2019,2.014417112,0.3523,0.8431,0.0328,0.5208
宁夏,2019,0.757993559,0.4228,0.6363,0.0145,0.0642
安徽,2019,1.029415308,0.4133,0.5702,0.0203,0.1276
山东,2019,1.121007815,0.3984,0.6186,0.021,0.288
山西,2019,0.770228169,0.4377,0.6129,0.0112,0.085
广东,2019,1.742510484,0.4044,0.7265,0.0288,0.6639
广西,2019,0.499172611,0.3333,0.5298,0.0079,0.2211
新疆,2019,0.631062331,0.3527,0.5551,0.0047,0.1207
江苏,2019,1.680880814,0.4443,0.7247,0.0279,0.4354
江西,2019,0.568545003,0.4419,0.5907,0.0155,0.1418
河北,2019,0.922996462,0.3873,0.5877,0.0161,0.114
河南,2019,0.990614922,0.4351,0.5401,0.0146,0.1053
浙江,2019,1.445630369,0.4261,0.7158,0.0268,0.4946
海南,2019,1.247611723,0.207,0.5937,0.0056,0.1706
湖北,2019,0.729901353,0.4167,0.6183,0.0209,0.0861
湖南,2019,0.559733908,0.376,0.5745,0.0198,0.1092
甘肃,2019,0.462002393,0.3283,0.507,0.0126,0.0436
福建,2019,1.392155418,0.4855,0.6787,0.0178,0.3139
贵州,2019,0.605872927,0.3613,0.5148,0.0086,0.027
辽宁,2019,0.858906763,0.3826,0.7121,0.0204,0.2914
重庆,2019,0.674275148,0.4023,0.6824,0.0199,0.2454
陕西,2019,0.720031321,0.4645,0.6128,0.0227,0.1363
青海,2019,0.369343457,0.391,0.5878,0.0069,0.0127
黑龙江,2019,0.41452451,0.2656,0.6462,0.0108,0.1371
上海,2020,2.863517251,0.2659,0.893,0.0417,0.9011
云南,2020,0.428757989,0.338,0.5005,0.01,0.1098
内蒙古,2020,0.539418373,0.3956,0.6748,0.0093,0.0607
北京,2020,1.886219282,0.1583,0.8755,0.0644,0.6457
吉林,2020,0.599725883,0.3514,0.6264,0.013,0.1042
四川,2020,0.711758234,0.3616,0.5673,0.0217,0.1664
天津,2020,2.035129919,0.3411,0.847,0.0344,0.5231
宁夏,2020,0.808717012,0.4104,0.6496,0.0152,0.0315
安徽,2020,1.066999188,0.4052,0.5833,0.0228,0.1409
山东,2020,1.179364949,0.2819,0.6305,0.023,0.3026
山西,2020,0.818521391,0.4348,0.6253,0.012,0.0852
广东,2020,1.828313946,0.3923,0.7415,0.0314,0.6399
广西,2020,0.572866091,0.3208,0.542,0.0078,0.2198
新疆,2020,0.662339492,0.3439,0.5653,0.0045,0.1075
江苏,2020,1.734346402,0.4306,0.7344,0.0293,0.4333
江西,2020,0.623416793,0.4315,0.6044,0.0168,0.1567
河北,2020,0.985940229,0.3755,0.6007,0.0175,0.1231
河南,2020,1.039442305,0.4159,0.5543,0.0164,0.1214
浙江,2020,1.522627103,0.4088,0.7217,0.0288,0.5239
海南,2020,1.25154021,0.1907,0.6027,0.0066,0.1692
湖北,2020,0.76171679,0.3919,0.6289,0.0231,0.0991
湖南,2020,0.567100637,0.3815,0.5876,0.0215,0.1169
甘肃,2020,0.492763806,0.3163,0.5223,0.0122,0.0424
福建,2020,1.425260825,0.463,0.6875,0.0192,0.3211
贵州,2020,0.582417501,0.3484,0.5315,0.0091,0.0307
辽宁,2020,0.864012434,0.3743,0.7214,0.0219,0.2616
重庆,2020,0.703892989,0.3996,0.6946,0.0211,0.2605
陕西,2020,0.740290689,0.434,0.6266,0.0242,0.1443
青海,2020,0.393029254,0.3804,0.6008,0.0071,0.0077
黑龙江,2020,0.460408338,0.2543,0.6561,0.0126,0.1124
上海,2021,2.866260881,0.2649,0.893,0.0421,0.9396
云南,2021,0.2841577,0.3532,0.5105,0.0104,0.1159
内蒙古,2021,0.343528085,0.457,0.6821,0.0093,0.0603
北京,2021,1.893791737,0.1805,0.875,0.0653,0.7558
吉林,2021,0.427538332,0.3603,0.6336,0.0139,0.1137
