province,year,ntl,lntl
江西,2017,0.675300958,0.515992826
江西,2018,0.717590579,0.540922483
江西,2019,0.765696099,0.568545003
江西,2020,0.865290477,0.623416793
江西,2021,0.740661476,0.5542652
江西,2022,0.783746568,0.578715966
吉林,2014,0.441863382,0.365936292
吉林,2015,0.478420841,0.390974519
吉林,2016,0.417915275,0.349187677
吉林,2017,0.671842,0.513926013
吉林,2018,0.635363553,0.491865136
吉林,2019,0.731018848,0.548710165
吉林,2020,0.821619395,0.599725883
吉林,2021,0.53347796,0.427538332
吉林,2022,0.48963595,0.398531762
辽宁,2014,1.023283254,0.704721565
辽宁,2015,1.035039296,0.710515129
辽宁,2016,0.986544562,0.686396728
辽宁,2017,1.246814313,0.809513352
辽宁,2018,1.294823637,0.830655994
辽宁,2019,1.360578611,0.858906763
辽宁,2020,1.37266177,0.864012434
辽宁,2021,1.115653696,0.749363841
辽宁,2022,1.050181086,0.717928124
Macau,2014,85.9877669,4.465767498
Macau,2015,87.75188708,4.485844691
Macau,2016,86.77437266,4.474769575
Macau,2017,95.17296459,4.566148285
Macau,2018,100.2676966,4.617767472
Macau,2019,85.76147364,4.463162671
Macau,2020,81.07557799,4.407640506
Macau,2021,102.424056,4.638837585
Macau,2022,91.16239019,4.523552132
内蒙古,2014,0.501129431,0.406217779
内蒙古,2015,0.417499503,0.348894406
内蒙古,2016,0.406915251,0.341399542
内蒙古,2017,0.600722286,0.470454956
内蒙古,2018,0.576289734,0.455073816
内蒙古,2019,0.627019964,0.486750099
内蒙古,2020,0.715009076,0.539418373
内蒙古,2021,0.409913119,0.343528085
内蒙古,2022,0.442053896,0.366068414
宁夏,2014,0.905496363,0.644742533
宁夏,2015,0.855901275,0.618370441
宁夏,2016,0.888688621,0.635882737
宁夏,2017,1.160125577,0.770166358
宁夏,2018,1.144567113,0.76293772
宁夏,2019,1.133990197,0.757993559
宁夏,2020,1.245025797,0.808717012
宁夏,2021,0.994176381,0.690231123
宁夏,2022,1.077425659,0.731129463
青海,2014,0.256126541,0.228032812
青海,2015,0.278088195,0.245365364
