province,year,GDP_constant
甘肃,2021,9491.029036
甘肃,2022,9918.125343
青海,2015,2417.05
青海,2016,2610.414
青海,2017,2800.974222
青海,2018,3002.644366
青海,2019,3191.810961
青海,2020,3239.688125
青海,2021,3424.350349
青海,2022,3503.110407
宁夏,2015,2911.77
宁夏,2016,3147.62337
宁夏,2017,3393.137993
宁夏,2018,3630.657652
宁夏,2019,3866.6504
宁夏,2020,4017.449765
宁夏,2021,4286.6189
宁夏,2022,4458.083656
新疆,2015,9324.8
新疆,2016,10033.4848
新疆,2017,10796.02965
新疆,2018,11454.58745
新疆,2019,12164.77188
新疆,2020,12578.37412
新疆,2021,13458.86031
新疆,2022,13889.54384
