weight_type,test_name,statistic,df,pvalue
adjacency_01,Wald: SDM -> SAR,32.35740358919945,6,.0000139347419732
adjacency_01,Wald: SDM -> SEM,31.28494967863097,6,.0000223630225311
economic_geo_nested,Wald: SDM -> SAR,15.08760252771281,6,.0195861987031653
economic_geo_nested,Wald: SDM -> SEM,15.09052135827439,6,.0195642269235121
economic_inv,Wald: SDM -> SAR,47.92831951441519,6,1.22123115182e-08
economic_inv,Wald: SDM -> SEM,45.84886302804766,6,3.17290627113e-08
geographic_inv,Wald: SDM -> SAR,12.1854201444733,6,.0579578591995176
geographic_inv,Wald: SDM -> SEM,11.44070420897232,6,.0756742144009885
