weight_type,test_name,statistic,df,pvalue
adjacency_01,LM Error,2.396119878922743,1,.1216366157573265
adjacency_01,LM Lag,.8995562317915686,1,.3429007295758878
adjacency_01,Robust LM Error,1.765048822118501,1,.183996015149029
adjacency_01,Robust LM Lag,.268485174987375,1,.6043497444208603
economic_geo_nested,LM Error,2.907844035661928,1,.0881496410768656
economic_geo_nested,LM Lag,.6327057019366965,1,.4263645782196359
economic_geo_nested,Robust LM Error,2.332059712747074,1,.1267340872128163
economic_geo_nested,Robust LM Lag,.05692137902185,1,.8114297105454173
economic_inv,LM Error,7.75499110715712,1,.0053564305339707
economic_inv,LM Lag,2.1298772254254,1,.144452325706331
economic_inv,Robust LM Error,6.048242963746361,1,.0139201419481028
economic_inv,Robust LM Lag,.4231290820146158,1,.5153798083891419
geographic_inv,LM Error,1.255432377667333,1,.2625174532983701
geographic_inv,LM Lag,.2135843383625389,1,.6439724251539722
geographic_inv,Robust LM Error,1.04900486948874,1,.3057363856971441
geographic_inv,Robust LM Lag,.007156830183945,1,.9325809488221143
