weight_type,test,statistic,pvalue,df,decision_5pct,rho_or_lambda,aic_reference
adjacency_01,LR: OLS vs SAR,4.122516740134188,0.04231608224819645,1,Reject H0,0.18231850056135768,-704.188948952205
adjacency_01,LR: OLS vs SEM,4.8577024740041,0.027522964481718426,1,Reject H0,0.22269416879433002,-706.9241346860749
adjacency_01,LR: SAR vs SDM,30.440254143353286,3.241222966697345e-05,6,Reject H0,0.16155456391947937,-722.6292030955583
adjacency_01,Wald: SDM -> SAR,32.5041518988493,1.3059379202055327e-05,6,Reject H0,0.16155456391947937,-722.6292030955583
economic_inverse,LR: OLS vs SAR,0.13073947348493675,0.7176665563051795,1,Fail to reject H0,0.03990277115045733,-700.1971716855558
economic_inverse,LR: OLS vs SEM,0.31169534571085933,0.5766417120925567,1,Fail to reject H0,-0.07940479866275357,-702.3781275577817
economic_inverse,LR: SAR vs SDM,43.58752416280345,8.923320807592191e-08,6,Reject H0,-0.156547127907987,-731.7846958483592
economic_inverse,Wald: SDM -> SAR,47.4818168546943,1.4995628915966283e-08,6,Reject H0,-0.156547127907987,-731.7846958483592
