variable,province,pp_pvalue
eff,上海,0.9260669076576096
eff,云南,0.000268585606924993
eff,内蒙古,0.9986384935663217
eff,北京,0.9173575746168134
eff,吉林,0.7038149968515061
eff,四川,0.9985974721528484
eff,天津,1.0
eff,宁夏,1.986192828391504e-17
eff,安徽,0.7396102253082268
eff,山东,0.9820943559532047
eff,山西,0.9899107222275294
eff,广东,0.03477612598649928
eff,广西,0.8866360244252729
eff,新疆,2.449709707360275e-09
eff,江苏,0.9954270205995757
eff,江西,3.5741531336467226e-28
eff,河北,1.0
eff,河南,0.07147479347847127
eff,浙江,0.15786001614878287
eff,海南,0.12098020466842901
eff,湖北,0.9900185286885023
eff,湖南,1.0
eff,甘肃,0.9741996689311847
eff,福建,1.0
eff,贵州,1e-300
eff,辽宁,1.0
eff,重庆,0.600729039709218
eff,陕西,0.9209237436233422
eff,青海,0.0030144153851642728
eff,黑龙江,0.9087245588668762
lntl,上海,0.5360159372221227
lntl,云南,0.5240580803165925
lntl,内蒙古,0.3504725405584094
lntl,北京,0.8089671531759655
lntl,吉林,0.5514577326529563
lntl,四川,0.001532053865196341
lntl,天津,0.7522744802274983
lntl,宁夏,0.005737391134891108
lntl,安徽,0.04481094060480026
lntl,山东,0.23509769166042294
lntl,山西,0.49124133021514427
lntl,广东,0.9923753301660361
lntl,广西,0.45287964714470486
lntl,新疆,0.4076597250580634
lntl,江苏,0.03589057066160451
lntl,江西,0.12852882217152245
lntl,河北,0.39323405741643724
lntl,河南,0.1476720330319864
lntl,浙江,0.5803452900787175
lntl,海南,0.9294408664674672
lntl,湖北,0.6397893374686136
lntl,湖南,0.21650971912732203
lntl,甘肃,0.7144831495789035
lntl,福建,0.534847023025981
lntl,贵州,0.7269392413012238
lntl,辽宁,0.7339309785057992
lntl,重庆,7.527135741876329e-05
lntl,陕西,0.14783201262087386
lntl,青海,0.7592559680480626
lntl,黑龙江,0.8586563692131257
ind,上海,0.7367773928057297
ind,云南,0.3254131657288718
ind,内蒙古,0.528846025031727
ind,北京,0.002623059411346455
ind,吉林,0.47879005800976393
ind,四川,8.819499078306363e-25
ind,天津,0.0008357909569605141
ind,宁夏,0.8224642911529123
ind,安徽,0.4820704597714711
ind,山东,0.49298976128239763
ind,山西,0.9989818689468197
ind,广东,0.002083134557068614
ind,广西,0.23505277540528013
ind,新疆,0.8506030629508414
ind,江苏,0.12862854723506345
ind,江西,0.008478174063363972
ind,河北,0.6256204771992391
ind,河南,0.8180592258735675
ind,浙江,0.00011176681462565308
ind,海南,0.7328510213346804
ind,湖北,0.6324532478051381
ind,湖南,0.001683892079344949
ind,甘肃,0.09743297451213417
ind,福建,0.006136552198219843
ind,贵州,0.945599659539921
ind,辽宁,9.137841549265222e-21
ind,重庆,0.41324466829304135
ind,陕西,0.5199426643905712
ind,青海,0.16986325117257706
ind,黑龙江,0.03962212805730807
urb,上海,1.6513349283272179e-18
urb,云南,1.3839456317054182e-20
urb,内蒙古,8.593746370727425e-19
urb,北京,0.7202875198647648
urb,吉林,7.1537610690758005e-09
urb,四川,1.8315408717884211e-06
urb,天津,0.00038138514173722686
urb,宁夏,8.013070676871953e-14
urb,安徽,1.1732842351378e-23
urb,山东,3.330094585200367e-07
urb,山西,4.704707581284282e-06
urb,广东,0.7711072628602199
urb,广西,8.79257517647602e-08
urb,新疆,8.757225506611313e-07
urb,江苏,8.691451536713486e-16
urb,江西,1.0540255290890277e-07
urb,河北,3.355713195276259e-30
urb,河南,2.8243241280619148e-08
urb,浙江,3.3262721332378555e-09
urb,海南,7.590789666025093e-15
urb,湖北,1.3329497222884126e-10
urb,湖南,8.223320280932181e-29
urb,甘肃,3.4660292117879337e-22
urb,福建,1.8371839987525062e-14
urb,贵州,4.382096810911798e-20
urb,辽宁,0.18527782091454859
urb,重庆,2.1537526451416032e-16
urb,陕西,4.751897593595516e-07
urb,青海,1.3377083237735586e-13
urb,黑龙江,0.4388059738193513
rd,上海,0.9856483548822503
rd,云南,0.03753261318133811
rd,内蒙古,0.7491818179574184
rd,北京,0.9927930142877245
rd,吉林,0.9523049273210764
rd,四川,0.8948873147172507
rd,天津,0.8965389701160149
rd,宁夏,0.12477462125906585
rd,安徽,0.9989115005139728
rd,山东,0.9217091318681441
rd,山西,0.7732799004680454
rd,广东,1.0
rd,广西,0.44107896380703066
rd,新疆,0.6233547136422525
rd,江苏,1.0
rd,江西,0.029573417283568333
rd,河北,0.9990588668415528
rd,河南,1.0
rd,浙江,1.0
rd,海南,1.0
rd,湖北,0.9592459008127814
rd,湖南,0.9982324181405415
rd,甘肃,0.8927295069359958
rd,福建,0.6726675629294727
rd,贵州,0.4662819465212717
rd,辽宁,1.0505356270033821e-10
rd,重庆,0.8705126534855266
rd,陕西,0.9092677739256196
rd,青海,0.5164411056971484
rd,黑龙江,0.9770271000154183
open,上海,0.12750924942503622
open,云南,0.29885816145327865
open,内蒙古,0.4461447438046303
open,北京,0.01722519947206229
open,吉林,0.9868648841994772
open,四川,0.9194480036237513
open,天津,0.8977655096614603
