weight_type,effect_type,variable,coef,se,zstat,pvalue,ll,ul
adjacency_01,LR_Direct,es,.0452666818139936,.1329411723779539,.3405015993487683,.7334788185623647,-.215293228109327,.3058265917373142
adjacency_01,LR_Direct,ind,.0931465699951607,.1139741247492762,.8172606738596796,.4137794755117111,-.1302386096828959,.3165317496732172
adjacency_01,LR_Direct,lntl,.3181403698939673,.0810143760288661,3.92696192316054,.0000860255935545,.1593551106474046,.4769256291405299
adjacency_01,LR_Direct,open,.5457451239342604,.0933873145274823,5.843889255147785,5.09959370043e-09,.362709350847481,.7287808970210399
adjacency_01,LR_Direct,rd,4.691465674825291,2.48539223930069,1.887615805924187,.0590775466026,-.1798136016594167,9.562744951309998
adjacency_01,LR_Direct,urb,-1.68934848929877,.4050399671011086,-4.170819243813202,.0000303506538926,-2.483212237116232,-.8954847414813091
adjacency_01,LR_Indirect,es,.2829618150021839,.3081082013334313,.9183845602862281,.3584175710229016,-.3209191629527571,.8868427929571249
adjacency_01,LR_Indirect,ind,-.0011319020427868,.2723580085792436,-.0041559344947902,.9966840535762909,-.5349437897591554,.5326799856735818
adjacency_01,LR_Indirect,lntl,-.2537328022221908,.1172161492651311,-2.16465737710145,.030413933473247,-.4834722331883189,-.0239933712560627
adjacency_01,LR_Indirect,open,.6916460890079267,.1944815951774847,3.556357548264285,.0003760322264171,.310469166804158,1.072823011211695
adjacency_01,LR_Indirect,rd,2.160336100631939,6.116984903813859,.3531700886305929,.7239609306644568,-9.828734004818429,14.14940620608231
adjacency_01,LR_Indirect,urb,-.6224859592105016,.8155555193594738,-.763266196395058,.4453046575582608,-2.220945404547929,.9759734861269256
adjacency_01,LR_Total,es,.3282284968161774,.3590620028826442,.9141276274879344,.360649787018258,-.3755200970506222,1.031977090682977
adjacency_01,LR_Total,ind,.0920146679523738,.3272469410987537,.2811780841814085,.7785738131437967,-.5493775506520839,.7334068865568315
adjacency_01,LR_Total,lntl,.0644075676717765,.1036314022580113,.621506283504886,.5342665614951876,-.1387062484213085,.2675213837648614
adjacency_01,LR_Total,open,1.237391212942187,.2361618244284111,5.239590335724577,1.60933452636e-07,.7745225425392299,1.700259883345144
adjacency_01,LR_Total,rd,6.85180177545723,6.516886090326335,1.051391980846196,.2930785973502291,-5.921060252932427,19.62466380384689
adjacency_01,LR_Total,urb,-2.311834448509272,.7507812056460575,-3.079238573267037,.0020753041930001,-3.783338571845105,-.8403303251734395
economic_geo_nested,LR_Direct,es,-.0147585373976834,.1326915190077517,-.1112244211841541,.9114383864746854,-.2748291357067887,.245312060911422
economic_geo_nested,LR_Direct,ind,.1041994481724399,.1214597285122475,.8578929777694412,.390951562139065,-.133857245283578,.3422561416284578
economic_geo_nested,LR_Direct,lntl,.032168275354606,.0771400825498423,.417011160622251,.6766702443736461,-.1190235082075316,.1833600589167436
economic_geo_nested,LR_Direct,open,.4376409644934509,.0977075496582349,4.479090572061705,7.49617239872e-06,.2461376861456516,.6291442428412501
economic_geo_nested,LR_Direct,rd,5.592715708610139,2.512678399646954,2.225798458487942,.0260276841269594,.6679565405703691,10.51747487664991
economic_geo_nested,LR_Direct,urb,-1.000873761459291,.4404012697979002,-2.272640498785553,.0230478530054211,-1.864044389008883,-.137703133909699
economic_geo_nested,LR_Indirect,es,-.2047310382950854,.8088559697196068,-.2531118591682722,.8001817749158237,-1.790059607625735,1.380597531035564
economic_geo_nested,LR_Indirect,ind,.3830378944039671,.6503585509143571,.5889641857794342,.5558852988196658,-.8916414424258318,1.657717231233766
economic_geo_nested,LR_Indirect,lntl,.732901125180364,.329185371810086,2.22640854649881,.0259868285418778,.0877096521951687,1.378092598165559
economic_geo_nested,LR_Indirect,open,1.006131632280468,.5815366480954074,1.730125926845115,.0836077789269033,-.1336592536766736,2.14592251823761
economic_geo_nested,LR_Indirect,rd,14.7424252461957,14.4230353705237,1.022144428510848,.3067125479537753,-13.52620462777807,43.01105512016947
economic_geo_nested,LR_Indirect,urb,-2.82358518670042,1.819979973732179,-1.551437503408446,.1207968735245439,-6.390680387799645,.743510014398804
economic_geo_nested,LR_Total,es,-.2194895756927688,.8286198345742124,-.2648857371433231,.7910974861084534,-1.843554608333762,1.404575456948225
economic_geo_nested,LR_Total,ind,.487237342576407,.7009641586185447,.6950959426180234,.4869951773195757,-.8866271627693623,1.861101847922176
economic_geo_nested,LR_Total,lntl,.76506940053497,.3061926319412905,2.498653856183138,.0124666013607987,.164942869598512,1.365195931471428
economic_geo_nested,LR_Total,open,1.443772596773919,.6071248273285356,2.378049013621782,.0174045123147035,.2538298010898901,2.633715392457948
economic_geo_nested,LR_Total,rd,20.33514095480584,14.63662615056233,1.389332537814705,.1647316540267461,-8.352119155473449,49.02240106508513
economic_geo_nested,LR_Total,urb,-3.824458948159711,1.641654062793029,-2.329637549614421,.0198253157888581,-7.042041786307903,-.6068761100115179
economic_inv,LR_Direct,es,-.0002996215643693,.124586060614002,-.0024049364984544,.9980811401478633,-.2444838133435374,.2438845702147988
economic_inv,LR_Direct,ind,.037553969224795,.1112768305056435,.3374823766470452,.7357532951212904,-.1805446108800343,.2556525493296242
economic_inv,LR_Direct,lntl,.0299782498993578,.0637671146020456,.4701208465593031,.6382686811143099,-.0950029981186898,.1549594979174054
economic_inv,LR_Direct,open,.4486132230468652,.0885447305632098,5.066515197385029,4.05164417866e-07,.275068740122171,.6221577059715595
economic_inv,LR_Direct,rd,5.34101459402131,2.403923560021812,2.221790527304806,.0262974651994309,.6294109947912476,10.05261819325137
economic_inv,LR_Direct,urb,-1.814204039779819,.3151916681987486,-5.755875623704136,8.61938322572e-09,-2.431968357676465,-1.196439721883173
economic_inv,LR_Indirect,es,-1.044231779548941,.2726868560510425,-3.829417356858145,.0001284470088977,-1.578688196466442,-.5097753626314393
economic_inv,LR_Indirect,ind,-.122445801052967,.26396963316945,-.4638632087440352,.642745753568341,-.6398167750773387,.3949251729714047
economic_inv,LR_Indirect,lntl,.7053761679167988,.1488306608729089,4.739454651210218,2.14294187074e-06,.4136734328106027,.997078903022995
