GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,light_mean
CHN.5.9_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Longnan,Lǒngnán,陇南市,Dìjíshì,Prefecture City,NA,NA,0.320311926481271
CHN.5.10_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Pingliang,Píngliáng,平凉市,Dìjíshì,Prefecture City,NA,NA,0.514932962835076
CHN.5.11_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Qingyang,Qìngyáng,庆阳市,Dìjíshì,Prefecture City,NA,NA,0.654184180205766
CHN.5.12_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Tianshui,Tiānshuǐ,天水市,Dìjíshì,Prefecture City,NA,NA,0.472357262917689
CHN.5.13_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Wuwei,Wǔwēi,武威市,Dìjíshì,Prefecture City,NA,NA,0.341371251411751
CHN.5.14_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Zhangye,Zhāngyè,张掖市,Dìjíshì,Prefecture City,NA,NA,0.342686710102533
CHN.6.1_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Chaozhou,Cháozhōu,潮州市,Dìjíshì,Prefecture City,NA,NA,2.6283557690221
CHN.6.2_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Dongguan,Dōngguǎn,东莞市,Dìjíshì,Prefecture City,NA,NA,16.7697009747586
CHN.6.3_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Foshan,Fóshān,佛山市,Dìjíshì,Prefecture City,NA,NA,8.53807942861698
CHN.6.4_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Guangzhou,Guǎngzhōu,广州市,Dìjíshì,Prefecture City,NA,NA,8.16475205963097
CHN.6.5_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Heyuan,Héyuán,河源市,Dìjíshì,Prefecture City,NA,NA,0.603486465003583
CHN.6.6_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Huizhou,Huìzhōu,惠州市,Dìjíshì,Prefecture City,NA,NA,2.5235590519476
CHN.6.7_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Jiangmen,Jiāngmén,江门市,Dìjíshì,Prefecture City,NA,NA,2.11062084596664
CHN.6.8_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Jieyang,Jiēyáng,揭阳市,Dìjíshì,Prefecture City,NA,NA,2.85034294649573
CHN.6.9_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Maoming,Màomíng,茂名市,Dìjíshì,Prefecture City,NA,NA,1.09222781584756
CHN.6.10_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Meizhou,Méizhōu,梅州市,Dìjíshì,Prefecture City,NA,NA,0.728570060603579
CHN.6.11_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Qingyuan,Qīngyuǎn,清远市,Dìjíshì,Prefecture City,NA,NA,0.774271110859518
CHN.6.12_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Shantou,Shàntóu,汕头市,Dìjíshì,Prefecture City,NA,NA,7.86098754610699
CHN.6.13_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Shanwei,Shànwěi,汕尾市,Dìjíshì,Prefecture City,NA,NA,2.18285461198583
CHN.6.14_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Shaoguan,Sháoguān,韶关市,Dìjíshì,Prefecture City,NA,NA,0.541846112608131
CHN.6.15_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Shenzhen,Shēnzhèn,深圳市,Dìjíshì,Prefecture City,NA,NA,20.4963040252516
CHN.6.16_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Yangjiang,Yángjiāng,阳江市,Dìjíshì,Prefecture City,NA,NA,1.02452315125777
CHN.6.17_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Yunfu,Yúnfú,云浮市,Dìjíshì,Prefecture City,NA,NA,0.801569420645415
CHN.6.18_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Zhanjiang,Zhànjiāng,湛江市,Dìjíshì,Prefecture City,NA,NA,1.28101413704207
CHN.6.19_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Zhaoqing,Zhàoqìng,肇庆市,Dìjíshì,Prefecture City,NA,NA,0.9141445637147
CHN.6.20_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Zhongshan,Zhōngshān,中山市,Dìjíshì,Prefecture City,NA,NA,10.1181344490787
CHN.6.21_1,CHN,China,CHN.6_1,Guangdong,廣東|广东,Zhuhai,Zhūhǎi,珠海市,Dìjíshì,Prefecture City,NA,NA,6.93960957991373
CHN.7.1_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Baise,Bǎisè,百色市,Dìjíshì,Prefecture City,NA,NA,0.348152584751066
CHN.7.2_1,CHN,China,CHN.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Beihai,Běihǎi,北海市,Dìjíshì,Prefecture City,NA,NA,1.48748421094377
