year,province,total_emissions_mt_co2,coal_related_emissions_mt_co2,es_proxy,source_file,source_sheet
2015,上海,195.3237817921941,100.84235477079606,0.5162830344851849,2015年30个省份排放清单.xlsx,Shanghai2015
2015,云南,179.81572621795846,119.78437881133124,0.6661507384851203,2015年30个省份排放清单.xlsx,Yunnan2015
2015,内蒙古,601.5459695593211,552.2636025332104,0.918073813939417,2015年30个省份排放清单.xlsx,InnerMongolia2015
2015,北京,92.76300152758073,18.890345880226086,0.20364095133995336,2015年30个省份排放清单.xlsx,Beijing2015
2015,吉林,208.31359598810442,174.8978864240825,0.8395893969113273,2015年30个省份排放清单.xlsx,Jilin2015
2015,四川,332.37742926500573,197.53301272019468,0.5943033290708224,2015年30个省份排放清单.xlsx,Sichuan2015
2015,天津,154.35302744250365,110.68789908399363,0.7171087015136439,2015年30个省份排放清单.xlsx,Tianjin2015
2015,宁夏,141.82127548115926,128.02875461269053,0.9027471666597651,2015年30个省份排放清单.xlsx,Ningxia2015
2015,安徽,363.9109300964534,281.21776346135783,0.772765367027646,2015年30个省份排放清单.xlsx,Anhui2015
2015,山东,855.2893535110372,711.155937516721,0.8314799366990411,2015年30个省份排放清单.xlsx,Shandong2015
2015,山西,461.6094384464857,413.37500172241545,0.8955081228702778,2015年30个省份排放清单.xlsx,Shanxi2015
2015,广东,515.0797849417779,314.1064673735459,0.6098209958075737,2015年30个省份排放清单.xlsx,Guangdong2015
2015,广西,203.06490776426824,135.08075351992957,0.6652097351884189,2015年30个省份排放清单.xlsx,Guangxi2015
2015,新疆,345.7297014626275,267.120920541264,0.772629367425463,2015年30个省份排放清单.xlsx,Xinjiang2015
2015,江苏,721.6548660673056,566.1570700334394,0.7845260894847709,2015年30个省份排放清单.xlsx,Jiangsu2015
2015,江西,216.1358825378634,156.85912737083598,0.7257431090525048,2015年30个省份排放清单.xlsx,Jiangxi2015
2015,河北,788.4130616806061,703.3666034697821,0.892129567171888,2015年30个省份排放清单.xlsx,Hebei2015
2015,河南,527.4305568576484,407.65605486936323,0.7729094372122018,2015年30个省份排放清单.xlsx,Henan2015
2015,浙江,378.84171386757384,252.51617056520192,0.6665479574233747,2015年30个省份排放清单.xlsx,Zhejiang2015
2015,海南,42.28151654875863,18.505847069347798,0.43768172430634167,2015年30个省份排放清单.xlsx,Hainan2015
2015,湖北,317.996539327078,217.55325873905787,0.6841371896669971,2015年30个省份排放清单.xlsx,Hubei2015
2015,湖南,292.52592741950764,208.24997404000226,0.711902619631229,2015年30个省份排放清单.xlsx,Hunan2015
2015,甘肃,160.0849984748306,122.03613489298867,0.7623208673870577,2015年30个省份排放清单.xlsx,Gansu2015
2015,福建,234.24172589131922,155.15722614972043,0.6623808186151621,2015年30个省份排放清单.xlsx,Fujian2015
2015,贵州,234.98136572749817,179.50830864587695,0.7639257184931341,2015年30个省份排放清单.xlsx,Guizhou2015
2015,辽宁,493.9443431667032,390.71553734382127,0.7910112601734102,2015年30个省份排放清单.xlsx,Liaoning2015
2015,重庆,164.19669263610592,107.82682260003571,0.656693023890575,2015年30个省份排放清单.xlsx,Chongqing2015
2015,陕西,284.02510629303083,214.92443809744063,0.7567092955356611,2015年30个省份排放清单.xlsx,Shaanxi2015
2015,青海,51.35641677951604,32.4567998978485,0.6319911304792234,2015年30个省份排放清单.xlsx,Qinghai2015
2015,黑龙江,273.27781006345595,203.4575732031074,0.7445082100001603,2015年30个省份排放清单.xlsx,Heilongjiang2015
2016,上海,194.7097847273696,97.5653550463824,0.5010809045009849,2016年30个省份排放清单.xlsx,Shanghai2016
2016,云南,183.8846088813828,117.00521780564671,0.6362969609986362,2016年30个省份排放清单.xlsx,Yunnan2016
2016,内蒙古,606.1074963777232,557.2090766750835,0.9193238493256211,2016年30个省份排放清单.xlsx,InnerMongolia2016
2016,北京,89.98181302654037,13.63687346174191,0.1515514413753775,2016年30个省份排放清单.xlsx,Beijing2016
2016,吉林,201.39404733511125,168.8100879067877,0.8382079318655073,2016年30个省份排放清单.xlsx,Jilin2016
2016,四川,319.09752066659007,178.4131788679888,0.5591180354372114,2016年30个省份排放清单.xlsx,Sichuan2016
2016,天津,148.94587117096106,101.93699910361944,0.6843895591212158,2016年30个省份排放清单.xlsx,Tianjin2016
2016,宁夏,139.49294795748048,124.99494697613557,0.8960664234742238,2016年30个省份排放清单.xlsx,Ningxia2016
2016,安徽,376.14539002259534,289.06420812209024,0.7684906309890597,2016年30个省份排放清单.xlsx,Anhui2016
2016,山东,864.2552696516179,715.1128855783667,0.8274324851575731,2016年30个省份排放清单.xlsx,Shandong2016
2016,山西,474.5636640007726,424.42445940550533,0.8943467264801259,2016年30个省份排放清单.xlsx,Shanxi2016
2016,广东,530.3154177990624,312.0947164735257,0.5885077182345452,2016年30个省份排放清单.xlsx,Guangdong2016
2016,广西,216.80433197036365,144.86456400129407,0.6681811321975638,2016年30个省份排放清单.xlsx,Guangxi2016
2016,新疆,373.6125061167255,297.40383934327417,0.7960221739749741,2016年30个省份排放清单.xlsx,Xinjiang2016
2016,江苏,743.0444139078165,585.2873131361081,0.7876881949195569,2016年30个省份排放清单.xlsx,Jiangsu2016
2016,江西,219.10257142084856,158.49427276891723,0.7233793366326317,2016年30个省份排放清单.xlsx,Jiangxi2016
2016,河北,807.5593416439051,716.9618977925747,0.8878132674845839,2016年30个省份排放清单.xlsx,Hebei2016
2016,河南,521.4719004537517,401.2770795766855,0.7695085377131916,2016年30个省份排放清单.xlsx,Henan2016
2016,浙江,374.5719106426777,248.90548031867587,0.6645065293113206,2016年30个省份排放清单.xlsx,Zhejiang2016
2016,海南,39.85458766436417,17.528807117251425,0.43981905583544006,2016年30个省份排放清单.xlsx,Hainan2016
2016,湖北,319.7620181622834,216.48337241709322,0.6770140295625263,2016年30个省份排放清单.xlsx,Hubei2016
2016,湖南,308.0897408342067,218.6153886871867,0.7095834742670997,2016年30个省份排放清单.xlsx,Hunan2016
2016,甘肃,153.935134115742,115.32503976427036,0.7491794542340077,2016年30个省份排放清单.xlsx,Gansu2016
2016,福建,217.9265191644803,138.00802652705704,0.6332777995820477,2016年30个省份排放清单.xlsx,Fujian2016
2016,贵州,250.96647495997993,189.09140720735223,0.7534528555557289,2016年30个省份排放清单.xlsx,Guizhou2016
2016,辽宁,480.4690923387396,381.7325617042668,0.7944997249378495,2016年30个省份排放清单.xlsx,Liaoning2016
2016,重庆,156.5819731586089,98.62848711301002,0.6298840481024263,2016年30个省份排放清单.xlsx,Chongqing2016
2016,陕西,272.28874320480895,209.99134989768586,0.7712083409182123,2016年30个省份排放清单.xlsx,Shaanxi2016
2016,青海,56.67169684743422,35.61672364431012,0.6284746288821004,2016年30个省份排放清单.xlsx,Qinghai2016
2016,黑龙江,277.68073521544943,211.20099933861385,0.7605893119475693,2016年30个省份排放清单.xlsx,Heilongjiang2016
2017,上海,196.1535085486939,94.85933782390177,0.48359745653162006,2017年30个省份排放清单.xlsx,Shanghai2017
2017,云南,199.0088985348909,129.91380551770922,0.6528040026056036,2017年30个省份排放清单.xlsx,Yunnan2017
2017,内蒙古,656.8468477973454,598.4697135063217,0.9111251968601445,2017年30个省份排放清单.xlsx,InnerMongolia2017
2017,北京,86.76932074822687,7.827750161110375,0.09021333915732346,2017年30个省份排放清单.xlsx,Beijing2017
2017,吉林,204.33600824101936,168.66967722202062,0.8254525410081937,2017年30个省份排放清单.xlsx,Jilin2017
2017,四川,318.84077146425136,175.10688531426302,0.5491985372827268,2017年30个省份排放清单.xlsx,Sichuan2017
2017,天津,143.99098714969602,96.33112169321537,0.6690079955703584,2017年30个省份排放清单.xlsx,Tianjin2017
2017,宁夏,178.62443190328997,164.23068487300884,0.9194189345941538,2017年30个省份排放清单.xlsx,Ningxia2017
2017,安徽,382.21644100958713,292.11958093232033,0.7642779053687884,2017年30个省份排放清单.xlsx,Anhui2017
2017,山东,837.091018686765,675.9697742550856,0.8075224308529224,2017年30个省份排放清单.xlsx,Shandong2017
2017,山西,508.5884542033445,456.45407232126644,0.8974920066485944,2017年30个省份排放清单.xlsx,Shanxi2017
2017,广东,556.8590168754581,333.8687027746077,0.5995569662280923,2017年30个省份排放清单.xlsx,Guangdong2017
2017,广西,227.8915836219169,154.4190771389156,0.6775988594432003,2017年30个省份排放清单.xlsx,Guangxi2017
2017,新疆,407.7560884917333,330.3002132728387,0.8100436084096266,2017年30个省份排放清单.xlsx,Xinjiang2017
2017,江苏,757.8805057581361,587.2200161652097,0.7748187368637904,2017年30个省份排放清单.xlsx,Jiangsu2017
2017,江西,228.97960300777532,167.9403418449959,0.7334292646113691,2017年30个省份排放清单.xlsx,Jiangxi2017
2017,河北,792.3257699613439,703.803612802882,0.8882755546840528,2017年30个省份排放清单.xlsx,Hebei2017
2017,河南,501.855728451092,379.5728428436547,0.756338567689869,2017年30个省份排放清单.xlsx,Henan2017
2017,浙江,384.5641900753127,254.39119211372702,0.661505149670611,2017年30个省份排放清单.xlsx,Zhejiang2017
2017,海南,42.15659197781648,18.9800858521306,0.4502281840552539,2017年30个省份排放清单.xlsx,Hainan2017
2017,湖北,331.61277739017004,226.61963952562215,0.6833863318209397,2017年30个省份排放清单.xlsx,Hubei2017
2017,湖南,322.95490457720643,234.78508905728438,0.726990318864026,2017年30个省份排放清单.xlsx,Hunan2017
2017,甘肃,151.95866860430047,114.66352129582775,0.7545704522748282,2017年30个省份排放清单.xlsx,Gansu2017
2017,福建,234.96980062969737,153.0236098130403,0.6512479876262871,2017年30个省份排放清单.xlsx,Fujian2017
2017,贵州,257.6577660633249,192.92879597765668,0.7487792777425551,2017年30个省份排放清单.xlsx,Guizhou2017
2017,辽宁,496.8324353193647,394.9267538223095,0.7948892337684231,2017年30个省份排放清单.xlsx,Liaoning2017
2017,重庆,160.5497658546952,101.96799494267496,0.6351176808003607,2017年30个省份排放清单.xlsx,Chongqing2017
2017,陕西,274.0296391854783,212.49769788739775,0.7754551606863507,2017年30个省份排放清单.xlsx,Shaanxi2017
2017,青海,53.486151107458284,32.107592762570036,0.6002973124400579,2017年30个省份排放清单.xlsx,Qinghai2017
2017,黑龙江,276.9108443905162,219.73039178114274,0.7935059107734539,2017年30个省份排放清单.xlsx,Heilongjiang2017
2018,上海,190.64161042853152,93.22086354661295,0.48898487238471977,2018年30个省份排放清单.xlsx,Shanghai2018
2018,云南,212.24411148453342,136.73829262994872,0.6442501121634796,2018年30个省份排放清单.xlsx,Yunnan2018
2018,内蒙古,723.5685630927471,678.7131384387093,0.9380080521155971,2018年30个省份排放清单.xlsx,InnerMongolia2018
2018,北京,89.69088691048486,4.432097917365593,0.04941525354508988,2018年30个省份排放清单.xlsx,Beijing2018
2018,吉林,196.31843203451723,164.6843509306997,0.8388634180907907,2018年30个省份排放清单.xlsx,Jilin2018
2018,四川,296.3125428411214,151.2396610297077,0.5104058693553187,2018年30个省份排放清单.xlsx,Sichuan2018
2018,天津,154.33674979236582,101.4090331959374,0.6570634235356532,2018年30个省份排放清单.xlsx,Tianjin2018
2018,宁夏,191.58903802934753,178.21236003790702,0.9301803582865139,2018年30个省份排放清单.xlsx,Ningxia2018
2018,安徽,398.9842765344462,305.5898623281346,0.7659195619999616,2018年30个省份排放清单.xlsx,Anhui2018
2018,山东,902.9045699582449,753.8369886897093,0.8349021743511286,2018年30个省份排放清单.xlsx,Shandong2018
2018,山西,541.6835911282642,489.77063789846477,0.9041636961502364,2018年30个省份排放清单.xlsx,Shanxi2018
2018,广东,567.5069585930127,332.2870325638968,0.5855206311262101,2018年30个省份排放清单.xlsx,Guangdong2018
2018,广西,231.83285536229562,161.42489920656274,0.6962986283988816,2018年30个省份排放清单.xlsx,Guangxi2018
2018,新疆,421.4225503858715,347.72932344449833,0.8251322173578594,2018年30个省份排放清单.xlsx,Xinjiang2018
2018,江苏,764.0493126731385,590.6772355058677,0.7730878435572395,2018年30个省份排放清单.xlsx,Jiangsu2018
2018,江西,236.6292847725986,171.85768684129664,0.7262739563552008,2018年30个省份排放清单.xlsx,Jiangxi2018
2018,河北,912.2043156737283,820.9073293018661,0.8999160771296802,2018年30个省份排放清单.xlsx,Hebei2018
2018,河南,490.6781653172248,374.2999705930643,0.7628217374438871,2018年30个省份排放清单.xlsx,Henan2018
2018,浙江,388.8253375175784,254.38572459477294,0.6542416351230517,2018年30个省份排放清单.xlsx,Zhejiang2018
2018,海南,42.193660219001984,20.073578201235595,0.4757486811299539,2018年30个省份排放清单.xlsx,Hainan2018
2018,湖北,329.07752761537097,219.2519592013516,0.666262326662474,2018年30个省份排放清单.xlsx,Hubei2018
2018,湖南,305.9705698541212,216.73575833735137,0.7083549193658898,2018年30个省份排放清单.xlsx,Hunan2018
2018,甘肃,162.9903190363825,126.19136455706229,0.7742261338165367,2018年30个省份排放清单.xlsx,Gansu2018
2018,福建,261.4556089768568,177.18038475283853,0.677669090543481,2018年30个省份排放清单.xlsx,Fujian2018
2018,贵州,252.7238822673912,180.9228655302403,0.7158914460597643,2018年30个省份排放清单.xlsx,Guizhou2018
2018,辽宁,521.0027786109881,413.5476896634054,0.7937533284677256,2018年30个省份排放清单.xlsx,Liaoning2018
2018,重庆,160.6043319295886,100.65117113973639,0.6267027167353332,2018年30个省份排放清单.xlsx,Chongqing2018
2018,陕西,276.165925723287,214.36561244882537,0.7762203533524105,2018年30个省份排放清单.xlsx,Shaanxi2018
2018,青海,51.9379739318779,30.102180837665333,0.5795794205824721,2018年30个省份排放清单.xlsx,Qinghai2018
2018,黑龙江,255.09754444564126,205.40085130525424,0.8051855291340254,2018年30个省份排放清单.xlsx,Heilongjiang2018
2019,上海,192.91218220216575,91.0069348232619,0.4717531769346197,2019年30个省份排放清单.xlsx,Shanghai2019
2019,云南,223.2793214999628,142.06531403894792,0.6362672238726397,2019年30个省份排放清单.xlsx,Yunnan2019
2019,内蒙古,794.279374871464,747.5142620538562,0.9411225894853739,2019年30个省份排放清单.xlsx,InnerMongolia2019
2019,北京,89.1844836918383,2.9455830872545627,0.03302797712472632,2019年30个省份排放清单.xlsx,Beijing2019
2019,吉林,203.66156128832287,171.85130845379697,0.843808263899675,2019年30个省份排放清单.xlsx,Jilin2019
