province,year,energy_total,es
上海,2015,8147.341367,0.167006852138444
上海,2016,8305.925849,0.147596606722368
上海,2017,8391.164593,0.123679962119413
上海,2018,8111.315146,0.13308696155547
上海,2019,8351.955259,0.133647516585673
上海,2020,7743.370499,0.140362444253489
上海,2021,7981.61521,0.129882817290061
上海,2022,7411.479579,0.137292749194526
云南,2015,6996.376188,0.526132670983815
云南,2016,7214.414382,0.528513767037453
云南,2017,7492.939632,0.50849356529288
云南,2018,8034.404459,0.4966668283086
云南,2019,8436.866484,0.482101378362882
云南,2020,8916.621928,0.465373114337118
云南,2021,8800.260855,0.436443065868642
云南,2022,8784.566314,0.402316736270471
内蒙古,2015,13340.454044,0.525468788984196
内蒙古,2016,13604.535476,0.525149093447812
内蒙古,2017,13489.70819,0.484921790513543
内蒙古,2018,15808.896874,0.492439433190523
内蒙古,2019,17230.702278,0.497306802981603
内蒙古,2020,18515.552517,0.48110701761782
内蒙古,2021,18109.371732,0.440263551214842
内蒙古,2022,18994.71443,0.440982651772354
北京,2015,5088.046617,0.0911980211520928
北京,2016,5042.248067,0.0727527261898993
北京,2017,5099.582321,0.0441449424343943
北京,2018,5298.615567,0.0163233344458258
北京,2019,5334.418686,0.0121381029145563
北京,2020,4789.496117,0.0106244026003874
北京,2021,5073.403494,0.00682217825586573
北京,2022,4782.957726,0.00563741988632412
吉林,2015,6722.657949,0.472497259134313
吉林,2016,6410.124263,0.460291495132284
吉林,2017,6221.764745,0.391752021797153
吉林,2018,5425.635343,0.337867831159179
吉林,2019,5472.135393,0.352469158103669
吉林,2020,5379.525325,0.313532217826301
吉林,2021,5307.89015,0.288922642266815
吉林,2022,4850.799762,0.281200443004392
四川,2015,14311.715896,0.348171234337644
四川,2016,13928.32426,0.301721479450967
四川,2017,14373.690184,0.282747027449079
四川,2018,13297.728097,0.294511972528866
四川,2019,13827.068356,0.278343431731857
四川,2020,13612.69728,0.258091057175114
四川,2021,14261.100554,0.23730056065349
四川,2022,14042.339698,0.204858095863449
天津,2015,5795.092668,0.287060895710253
天津,2016,5767.929919,0.263520383802361
天津,2017,5548.66281,0.235691868434153
天津,2018,5620.816347,0.226061320377099
天津,2019,5813.112321,0.222030142844026
天津,2020,5741.815188,0.227009037964877
天津,2021,5678.49088,0.187630349421288
天津,2022,5631.068546,0.179341939234138
宁夏,2015,3656.689395,0.520838902698215
宁夏,2016,3723.431674,0.514195705098898
宁夏,2017,4301.153009,0.55852394624727
宁夏,2018,4581.568219,0.553266134178237
宁夏,2019,4892.344014,0.53995708323875
宁夏,2020,5391.042054,0.524535008756213
宁夏,2021,5640.388991,0.529690119735928
宁夏,2022,5999.113588,0.513603623069122
安徽,2015,9367.825413,0.498547330581
安徽,2016,9549.636425,0.478037717127016
