variable,coef,std_err,t_value,p_value,ci_lower,ci_upper
lntl,0.18733898017144812,0.07308038779000971,2.5634645058226946,0.011109063909802153,0.043218679630367546,0.3314592807125287
ind,0.09715403096317671,0.0713702688038652,1.361267550079833,0.17498414088167435,-0.04359377978006174,0.23790184170641515
urb,-1.8450020541015908,0.3688791630721026,-5.001643461604144,1.2544775402911768e-06,-2.5724609175938453,-1.1175431906093363
rd,6.32368773038398,3.194632011286998,1.979472974678045,0.04915545947363342,0.02362092028724483,12.623754540480714
open,0.45497050537989386,0.22428153023450337,2.0285687586676784,0.0438482669422382,0.012669601940670572,0.8972714088191172
es,-0.12558517718510773,0.10718375285930656,-1.171681097506966,0.2427402263253522,-0.33696000896064277,0.08578965459042731
