metric,value
nobs,240.0
n_provinces,30.0
n_years,8.0
r_squared,0.2576414991031918
r_squared_within,-0.16003821221812475
r_squared_between,-4.901278951508849
r_squared_overall,-4.8410845065932415
f_statistic,11.395072879660706
f_pvalue,6.332445678935983e-11
f_statistic_robust,13210.478305758814
f_pvalue_robust,0.0
poolability_f_statistic,60.49487246973273
poolability_f_pvalue,0.0
n_parameters,6.0
cov_estimator,Driscoll-Kraay
