metric,value
nobs,240.0
n_provinces,30.0
n_years,8.0
r_squared,0.2647370971927493
r_squared_within,-0.19817886071526059
r_squared_between,-5.0539564132920045
r_squared_overall,-4.9923078173481255
f_statistic,11.821895711916895
f_pvalue,2.5906943257325565e-11
f_statistic_robust,339.905279756095
f_pvalue_robust,0.0
poolability_f_statistic,60.65094428034439
poolability_f_pvalue,0.0
n_parameters,6.0
cov_estimator,Driscoll-Kraay
