year,moran_i,z_value,p_value,perm_mean,perm_std,significance
2015,0.19060430452405144,1.9395630297790127,0.0385,-0.035845869558091825,0.11675319162375673,**
2016,0.30312317625564,2.886346404502445,0.0102,-0.03421716251258817,0.1168745159077258,**
2017,0.22163402369803906,2.1789129909079477,0.0256,-0.03628250140692833,0.11836935489447616,**
2018,0.18934793590125826,1.888750352615243,0.0421,-0.03621483156483879,0.11942434168378759,**
2019,0.19088736498944492,1.8711492270570587,0.0457,-0.03490445827800159,0.12067013149056616,**
2020,0.19483906386365032,1.8836916889128958,0.0413,-0.03452022988253232,0.12176052753014428,**
2021,0.17410923963534877,1.728559640771853,0.0523,-0.0338970612132328,0.12033504424278968,*
2022,0.21104983958933374,2.050728943445282,0.031,-0.03395032698266545,0.11946979504779998,**
