model,model_label,data_file,core_var,core_var_cn,coef_core,se_core,t_core,p_core,stars_core,r2_model,nobs
baseline,基准模型,第二阶段_基础.csv,lntl,夜间灯光强度,0.1873389801714482,0.07308038779000972,2.5634645058226955,0.011109063909802153,**,0.26810737398388185,240
winsor_1pct,1%缩尾,第二阶段_基础.csv,lntl,夜间灯光强度,0.19121844694702314,0.06831817517541337,2.798939615352016,0.005636797771390478,***,0.22652782553634,240
winsor_5pct,5%缩尾,第二阶段_基础.csv,lntl,夜间灯光强度,0.19012549564892728,0.06568790388278374,2.8943760481107024,0.004227409178168218,***,0.16787599263430608,240
lag_custom,滞后一期,第二阶段_基础.csv,lntl_1,滞后一期夜间灯光强度,0.18243705182109557,0.06983418726107876,2.6124318041970636,0.009683103309230168,***,0.2576414990438677,240
