model,variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper,stars,data_file,variable_cn
baseline,lntl,0.1873389801714482,0.07308038779000972,2.5634645058226955,0.011109063909802153,0.0432186796303676,0.33145928071252884,**,第二阶段_基础.csv,夜间灯光强度
baseline,ind,0.09715403096317668,0.07137026880386517,1.361267550079833,0.17498414088167435,-0.04359377978006171,0.23790184170641507,,第二阶段_基础.csv,ind
baseline,urb,-1.8450020541015897,0.36887916307210256,-5.001643461604142,1.2544775402911768e-06,-2.572460917593844,-1.1175431906093354,***,第二阶段_基础.csv,urb
baseline,rd,6.323687730383982,3.194632011287,1.9794729746780444,0.04915545947363342,0.023620920287243052,12.623754540480721,**,第二阶段_基础.csv,rd
baseline,open,0.45497050537989386,0.22428153023450337,2.0285687586676784,0.0438482669422382,0.012669601940670572,0.8972714088191172,**,第二阶段_基础.csv,open
baseline,es,-0.12558517718510775,0.10718375285930674,-1.1716810975069643,0.24274022632535308,-0.33696000896064315,0.08578965459042764,,第二阶段_基础.csv,es
winsor_1pct,lntl,0.19121844694702314,0.06831817517541337,2.798939615352016,0.005636797771390478,0.05648960605758349,0.32594728783646276,***,第二阶段_基础.csv,夜间灯光强度
winsor_1pct,ind,0.1467914628788784,0.06708533283794148,2.1881304999035125,0.02983645761943854,0.014493884515121569,0.2790890412426352,**,第二阶段_基础.csv,ind
winsor_1pct,urb,-1.5751403099743204,0.31293956740086903,-5.03336897617871,1.0837079627012969e-06,-2.1922818696852886,-0.9579987502633522,***,第二阶段_基础.csv,urb
winsor_1pct,rd,4.91545727087781,2.845957568150641,1.7271716647806419,0.0857042255190743,-0.6969959802953216,10.527910522050941,*,第二阶段_基础.csv,rd
winsor_1pct,open,0.41449881720299553,0.24252648411315356,1.709086818780609,0.08900966296731827,-0.06378257725256953,0.8927802116585606,*,第二阶段_基础.csv,open
winsor_1pct,es,-0.1469368786403936,0.0991542801654591,-1.4819015214996216,0.13996429530040744,-0.3424769556640951,0.04860319838330787,,第二阶段_基础.csv,es
winsor_5pct,lntl,0.19012549564892728,0.06568790388278374,2.8943760481107024,0.004227409178168218,0.060583757628832,0.31966723366902255,***,第二阶段_基础.csv,夜间灯光强度
winsor_5pct,ind,0.08335095978297868,0.10300097597677274,0.80922495143905,0.4193620430259206,-0.11977510539953798,0.2864770249654953,,第二阶段_基础.csv,ind
winsor_5pct,urb,-1.3801161912293711,0.4789097224916666,-2.881787790920002,0.004392771070010015,-2.3245640140278674,-0.43566836843087486,***,第二阶段_基础.csv,urb
winsor_5pct,rd,4.067882816143032,3.049445958414383,1.3339743912885096,0.1837523432656698,-1.9458656230865614,10.081631255372626,,第二阶段_基础.csv,rd
winsor_5pct,open,0.40288696849484695,0.28172617717069043,1.43006579133308,0.15428220912659762,-0.15269931877003928,0.9584732557597332,,第二阶段_基础.csv,open
winsor_5pct,es,-0.2966257530750031,0.11827771906937629,-2.507875155260781,0.012953321316232724,-0.5298787630148638,-0.06337274313514243,**,第二阶段_基础.csv,es
lag_custom,lntl_1,0.18243705182109557,0.06983418726107876,2.6124318041970636,0.009683103309230168,0.044718515282560406,0.32015558835963076,***,第二阶段_基础.csv,滞后一期夜间灯光强度
lag_custom,ind,0.1296613122475233,0.0737345536010515,1.758487790528568,0.08021730978740416,-0.015749054974127485,0.2750716794691741,*,第二阶段_基础.csv,ind
lag_custom,urb,-1.9291927822673476,0.370906628226327,-5.201289584639494,4.941454245788179e-07,-2.6606499672819646,-1.1977355972527306,***,第二阶段_基础.csv,urb
lag_custom,rd,7.157927054560378,3.272988251730771,2.186969980957076,0.029922382409594883,0.7033355455187706,13.612518563601986,**,第二阶段_基础.csv,rd
lag_custom,open,0.4639857435321475,0.2209374025378556,2.100077841969957,0.03699487027567838,0.02827972420976127,0.8996917628545338,**,第二阶段_基础.csv,open
lag_custom,es,-0.11947163886658047,0.11215441615003943,-1.065242394974016,0.2880701055411614,-0.3406490115017422,0.1017057337685813,,第二阶段_基础.csv,es
