model,model_label,data_file,core_var,core_var_cn,nobs,n_provinces,n_years,coef_core,se_core,t_core,p_core,ci_lower,ci_upper,stars_core,r2_within,r2_between,r2_overall,r2_model,f_statistic,f_pvalue,cov_type
baseline,基准模型,第二阶段_基础.csv,lntl,夜间灯光强度,240,30,8,0.1873389801714482,0.07308038779000972,2.5634645058226955,0.011109063909802153,0.0432186796303676,0.33145928071252884,**,-0.2084293864200557,-4.665248764884695,-4.608665312681037,0.26810737398388185,12.027527626632477,1.6883272557777218e-11,Driscoll-Kraay
winsor_1pct,1%缩尾,第二阶段_基础.csv,lntl,夜间灯光强度,240,30,8,0.19121844694702314,0.06831817517541337,2.798939615352016,0.005636797771390478,0.05648960605758349,0.32594728783646276,***,-0.15833605551643615,-3.482652973273211,-3.4444300891949107,0.22652782553634,9.615942047646698,2.8234472537747024e-09,Driscoll-Kraay
winsor_5pct,5%缩尾,第二阶段_基础.csv,lntl,夜间灯光强度,240,30,8,0.19012549564892728,0.06568790388278374,2.8943760481107024,0.004227409178168218,0.060583757628832,0.31966723366902255,***,0.02454383812505956,-3.365354320347894,-3.3285165030133665,0.16787599263430608,6.623926693661723,2.1411345140220917e-06,Driscoll-Kraay
lag_custom,滞后一期,第二阶段_基础.csv,lntl_1,滞后一期夜间灯光强度,240,30,8,0.18243705182109557,0.06983418726107876,2.6124318041970636,0.009683103309230168,0.044718515282560406,0.32015558835963076,***,-0.16003821128338047,-4.901278963725031,-4.841084518601647,0.2576414990438677,11.395072876126282,6.332445678935983e-11,Driscoll-Kraay
