province,year,Population,GDP,Capital,Carbon
北京,2018,2192,30319.98,45825.34465,3.752088238
天津,2018,1383,18809.64,48058.35292,58.91801497
河北,2018,7426,36010.27,84427.87229,314.8040034
山西,2018,3502,16818.11,35124.49414,299.1723319
内蒙古,2018,2422,17289.22,53004.32484,589.5929917
辽宁,2018,4291,25315.35,61577.08799,233.5266117
吉林,2018,2484,15074.62,49132.90294,134.0673319
黑龙江,2018,3327,16361.62,41251.78979,176.8414975
上海,2018,2475,32679.87,50209.43664,58.31747555
江苏,2018,8446,92595.4,139410.8547,378.4985866
浙江,2018,6273,56197.15,91546.71606,233.0310268
安徽,2018,6076,30006.82,51160.8319,236.3032384
福建,2018,4104,35804.04,71358.99854,139.8325173
江西,2018,4513,21984.78,36224.96291,116.8410958
山东,2018,10077,76469.67,147293.2836,556.4934724
河南,2018,9864,48055.86,121164.2884,287.7984291
湖北,2018,5917,39366.55,72428.33536,156.5559015
湖南,2018,6635,36425.78,61259.572,150.6483328
广东,2018,12348,97277.77,148370.4629,273.0565607
广西,2018,4947,20352.51,49533.96828,104.6466927
海南,2018,982,4832.05,10062.33717,20.07271522
重庆,2018,3163,20363.19,37112.81368,69.61047474
四川,2018,8321,40678.13,65038.5768,81.21496969
贵州,2018,3822,14806.45,31207.90651,138.0958395
云南,2018,4703,17881.12,50974.5074,85.75829545
陕西,2018,3931,24438.32,49862.07474,155.8428859
甘肃,2018,2515,8246.07,17254.56364,101.9441188
青海,2018,587,2865.23,12552.13523,22.91277378
宁夏,2018,710,3705.18,13072.56242,159.4974465
新疆,2018,2520,12199.08,33245.16108,301.6869049
北京,2017,2194,28014.94,43357.86478,7.802890222
天津,2017,1410,18549.19,46449.75063,59.43318935
河北,2017,7409,34016.32,79548.95724,284.9850258
山西,2017,3510,15528.42,34532.11449,303.082103
内蒙古,2017,2433,16096.21,54076.29911,519.2393073
辽宁,2017,4312,23409.24,61459.38548,225.2897319
吉林,2017,2526,14944.53,47176.56473,142.1821552
黑龙江,2017,3399,15902.68,39438.23701,187.5927287
上海,2017,2466,30632.99,47032.45662,61.22925029
江苏,2017,8423,85869.76,130284.5153,387.1706579
浙江,2017,6170,51768.26,85428.16821,233.4202197
安徽,2017,6057,27018,46741.26574,226.3267827
福建,2017,4065,32182.09,64521.04947,122.8153901
江西,2017,4511,20006.31,33236.21083,115.4884194
山东,2017,10033,72634.15,139618.6834,492.5079498
河南,2017,9829,44552.83,112652.8261,275.639369
湖北,2017,5904,35478.09,65973.70047,165.4729101
湖南,2017,6633,33902.96,56864.80851,172.2001402
广东,2017,12141,89705.23,134951.9293,274.2443642
广西,2017,4907,18523.26,47877.64609,91.71605259
海南,2017,972,4462.54,9593.641853,18.97951053
重庆,2017,3144,19424.73,33985.93924,67.66315437
四川,2017,8289,36980.22,60133.8487,54.12605456
贵州,2017,3803,13540.83,27283.4691,141.7313433
云南,2017,4693,16376.34,45505.43159,84.64879187
陕西,2017,3904,21898.81,45792.7593,153.9859554
甘肃,2017,2522,7459.9,16889.91009,91.44035732
青海,2017,586,2624.83,11237.15865,25.39779256
宁夏,2017,705,3443.56,12417.96755,142.0568837
新疆,2017,2480,10881.96,31680.42162,286.4749664
北京,2016,2195,25669.13,39788.7155,13.54436493
天津,2016,1443,17885.39,43838.125,63.4604096
河北,2016,7375,32070.45,74213.56087,304.1347253
