province,year,eff,lntl,ind,urb,rd,open
黑龙江,2019,0.438821721,0.41452451,0.2656 ,0.6462,0.0108,0.1371 
陕西,2019,0.347751421,0.720031321,0.4645 ,0.6128,0.0227,0.1363 
安徽,2015,0.223097399,0.830909646,0.4975 ,0.5097,0.0196,0.1354 
安徽,2017,0.241723989,0.98420296,0.4752 ,0.5429,0.0209,0.1354 
河北,2021,0.639110329,0.930924525,0.4051 ,0.6114,0.0185,0.1341 
黑龙江,2021,0.456600231,0.199237623,0.2672 ,0.6569,0.0131,0.1339 
新疆,2015,0.339890092,0.492849443,0.3857 ,0.4878,0.0056,0.1314 
河北,2022,0.67582358,0.962061646,0.4024 ,0.6165,0.02,0.1298 
湖南,2021,0.474882506,0.446129998,0.3935 ,0.5971,0.0223,0.1296 
新疆,2017,0.391153655,0.575053302,0.3980 ,0.519,0.0052,0.1279 
安徽,2019,0.244520098,1.029415308,0.4133 ,0.5702,0.0203,0.1276 
四川,2017,0.460454653,0.579964612,0.3875 ,0.5178,0.0172,0.1245 
河南,2015,0.572886672,0.728799133,0.4842 ,0.4702,0.0118,0.1242 
陕西,2017,0.327505715,0.667160257,0.4970 ,0.5807,0.021,0.1242 
河北,2020,0.630223207,0.985940229,0.3755 ,0.6007,0.0175,0.1231 
河南,2020,0.921994713,1.039442305,0.4159 ,0.5543,0.0164,0.1214 
新疆,2016,0.372923294,0.47262775,0.3779 ,0.5042,0.0059,0.1209
新疆,2019,0.365386524,0.631062331,0.3527 ,0.5551,0.0047,0.1207 
安徽,2016,0.234575249,0.840527124,0.4843 ,0.5262,0.0197,0.1203
吉林,2022,1.00502482,0.398531762,0.3541 ,0.6372,0.0143,0.1193 
河南,2017,0.705431135,0.879819394,0.4737 ,0.5056,0.0131,0.1175 
湖南,2020,0.420229795,0.567100637,0.3815 ,0.5876,0.0215,0.1169 
河南,2016,0.662440156,0.736608703,0.4763 ,0.4878,0.0123,0.1165
云南,2021,0.612748036,0.2841577,0.3532 ,0.5105,0.0104,0.1159 
河南,2018,0.757299569,0.914965962,0.4585 ,0.5224,0.014,0.1147 
湖北,2022,0.64746419,0.7808928,0.3953 ,0.6467,0.0233,0.1140 
河北,2019,0.589609124,0.922996462,0.3873 ,0.5877,0.0161,0.1140 
吉林,2021,0.775645038,0.427538332,0.3603 ,0.6336,0.0139,0.1137 
黑龙江,2020,0.461025152,0.460408338,0.2543 ,0.6561,0.0126,0.1124 
云南,2022,0.732001426,0.274027264,0.3616 ,0.5172,0.0108,0.1120 
云南,2015,0.347937966,0.269845248,0.3977 ,0.4293,0.008,0.1120 
吉林,2019,1.015555917,0.548710165,0.3526 ,0.6163,0.0127,0.1111 
云南,2018,0.446704538,0.394387997,0.3891 ,0.4744,0.0105,0.1102 
云南,2020,0.52893774,0.428757989,0.3380 ,0.5005,0.01,0.1098 
湖南,2019,0.361288077,0.559733908,0.3760 ,0.5745,0.0198,0.1092 
新疆,2018,0.378707308,0.592943512,0.4036 ,0.5401,0.0053,0.1087 
河北,2015,0.39295392,0.71947317,0.4827 ,0.5167,0.0118,0.1076 
新疆,2020,0.380127878,0.662339492,0.3439 ,0.5653,0.0045,0.1075 
湖北,2021,0.599246198,0.719590632,0.3790 ,0.6409,0.0232,0.1074 
黑龙江,2018,0.368353011,0.403762803,0.2464 ,0.6346,0.0083,0.1069 
四川,2015,0.268498912,0.426214779,0.4408 ,0.4827,0.0167,0.1061 
陕西,2015,0.302651164,0.545665072,0.5040 ,0.5474,0.0218,0.1054 
河南,2019,0.836088175,0.990614922,0.4351 ,0.5401,0.0146,0.1053 
吉林,2020,0.908127919,0.599725883,0.3514 ,0.6264,0.013,0.1042 
陕西,2016,0.320640844,0.532504399,0.4892 ,0.5639,0.0219,0.1019
云南,2019,0.446211256,0.379165677,0.3428 ,0.4867,0.0095,0.1001 
河北,2017,0.492158661,0.847509626,0.4658 ,0.5574,0.0133,0.0993 
宁夏,2017,0.565853272,0.770166358,0.4358 ,0.6095,0.0113,0.0992 
湖北,2020,0.603356127,0.76171679,0.3919 ,0.6289,0.0231,0.0991 
四川,2016,0.350972612,0.498504931,0.4084 ,0.5,0.0172,0.099
山西,2021,0.262538141,0.731825661,0.4964 ,0.6342,0.0112,0.0988 
河北,2018,0.520532512,0.854078073,0.4454 ,0.5733,0.0139,0.0987 
新疆,2021,0.369816263,0.438465709,0.3733 ,0.5726,0.0049,0.0982 
云南,2017,0.415547537,0.382145727,0.3789 ,0.4629,0.0096,0.0966 
湖北,2015,0.272809102,0.519183754,0.4570 ,0.5718,0.019,0.0960 
河北,2016,0.446121028,0.717858373,0.4757 ,0.5387,0.012,0.096
吉林,2018,0.539288045,0.491865136,0.4253 ,0.6085,0.0076,0.0904 
云南,2016,0.393020201,0.221046923,0.3848 ,0.4464,0.0089,0.0891
湖北,2018,0.462690093,0.688812931,0.4341 ,0.61,0.0209,0.0885 
湖北,2017,0.394184258,0.651975419,0.4352 ,0.5988,0.0197,0.0884 
黑龙江,2015,0.31187959,0.28203587,0.3181 ,0.6047,0.0105,0.0868 
湖北,2019,0.505182455,0.729901353,0.4167 ,0.6183,0.0209,0.0861 
山西,2020,0.295437985,0.818521391,0.4348 ,0.6253,0.012,0.0852 
山西,2019,0.293942091,0.770228169,0.4377 ,0.6129,0.0112,0.0850 
湖南,2018,0.318690606,0.541396487,0.3968 ,0.5609,0.0181,0.0844 
山西,2016,0.332680392,0.551634543,0.3854 ,0.5727,0.0103,0.0843
吉林,2017,0.510834249,0.513926013,0.4683 ,0.5971,0.0086,0.0840 
吉林,2015,0.454428387,0.390974519,0.4982 ,0.5764,0.0101,0.0836 
吉林,2016,0.482543824,0.349187677,0.4741 ,0.5875,0.0094,0.0824
山西,2018,0.289952453,0.710881286,0.4215 ,0.5985,0.0105,0.0814 
黑龙江,2017,0.353283391,0.414024517,0.2553 ,0.619,0.0092,0.0806 
宁夏,2015,0.572439624,0.618370441,0.4738 ,0.5698,0.0088,0.0800 
湖北,2016,0.327998465,0.497452662,0.4486 ,0.5857,0.0186,0.0796
山西,2017,0.299798517,0.698488415,0.4365 ,0.5859,0.0095,0.0749 
甘肃,2015,0.241668854,0.355442476,0.3674 ,0.4424,0.0122,0.0729 
贵州,2015,0.22307726,0.429477212,0.3949 ,0.4296,0.0059,0.0725 
湖南,2017,0.27463893,0.524222134,0.4175 ,0.5462,0.0168,0.0718 
山西,2015,0.313948255,0.588181298,0.4069 ,0.5587,0.0104,0.0716 
山西,2022,0.252137244,0.756578197,0.5398 ,0.6396,0.0107,0.0714 
黑龙江,2016,0.334201553,0.283754382,0.2860 ,0.6109,0.0099,0.0711
宁夏,2016,0.57817633,0.635882737,0.4697 ,0.5874,0.0095,0.0679
宁夏,2018,0.551430815,0.76293772,0.4454 ,0.6215,0.0123,0.0672 
内蒙古,2022,0.402228931,0.366068414,0.4854 ,0.686,0.009,0.0651 
宁夏,2019,0.548932591,0.757993559,0.4228 ,0.6363,0.0145,0.0642 
内蒙古,2019,0.478343141,0.486750099,0.3962 ,0.6646,0.0086,0.0638 
湖南,2015,0.239256232,0.377829651,0.4432 ,0.5079,0.0143,0.0631 
甘肃,2016,0.267251018,0.322591625,0.3494 ,0.4607,0.0122,0.0625
内蒙古,2020,0.468954323,0.539418373,0.3956 ,0.6748,0.0093,0.0607 
内蒙古,2021,0.42476719,0.343528085,0.4570 ,0.6821,0.0093,0.0603 
内蒙古,2018,0.487656012,0.455073816,0.3937 ,0.6551,0.0075,0.0598 
内蒙古,2017,0.526462233,0.470454956,0.3976 ,0.646,0.0082,0.0585 
湖南,2016,0.250279804,0.374257543,0.4228 ,0.527,0.015,0.0552
甘肃,2022,0.244399588,0.328631359,0.3522 ,0.5419,0.0129,0.0507 
青海,2015,1.054460454,0.245365364,0.4995 ,0.5167,0.0048,0.0498 
