region,nobs,n_provinces,n_years,coef_core,se_core,t_core,p_core,ci_lower,ci_upper,stars_core,r2_within,r2_between,r2_overall,r2_model,f_statistic,f_pvalue,cov_type
东部,80,10,8,0.14184994575994048,0.24858826886745258,0.5706220426498684,0.5704986465187047,-0.3559394762320793,0.6396393677519603,,0.03750130899097104,-3.7999195558116226,-3.7326138092478196,0.1965354048688439,2.323794175335426,0.0446914271699661,Driscoll-Kraay
中部,48,6,8,0.07794061305417381,0.23265195283801998,0.3350094942398298,0.7400291649087336,-0.3978860571902045,0.5537672832985521,,-0.4495020654883619,-8.43352968788224,-8.354038633260338,0.22836002472222183,1.4303822441202707,0.2370792470764168,Driscoll-Kraay
西部,88,11,8,0.15291504528047145,0.13617836040933246,1.1229026757322598,0.2656736427176525,-0.1191325035856145,0.4249625941465574,,0.09355799159121025,0.621891239277528,0.6193096457773335,0.26659523715157174,3.877371233004203,0.002310090681899468,Driscoll-Kraay
东北,24,3,8,0.1955104645174249,0.06899605171499926,2.8336471386075313,0.022026224532785355,0.03640528394987613,0.3546156450849737,**,0.31603493526718596,0.8064408911879644,0.8043895757480073,0.8231327566170795,6.205277592188048,0.010830762406622174,Driscoll-Kraay
