province,year,eff,lntl,ind,urb,rd,open,es
辽宁,2015,0.411334435,0.710515129,0.4549 ,0.6805,0.0127,0.2084 ,0.40174300843171
重庆,2015,0.28259004,0.430616038,0.4498 ,0.6147,0.0157,0.2951 ,0.40229094060407
陕西,2015,0.302651164,0.545665072,0.5040 ,0.5474,0.0218,0.1054 ,0.476405921948958
青海,2015,1.054460454,0.245365364,0.4995 ,0.5167,0.0048,0.0498 ,0.323608988109351
黑龙江,2015,0.31187959,0.28203587,0.3181 ,0.6047,0.0105,0.0868 ,0.413168103495687
上海,2016,0.397167407,2.750706116,0.2983 ,0.89,0.0382,1.0172,0.147596606722368
云南,2016,0.393020201,0.221046923,0.3848 ,0.4464,0.0089,0.0891,0.528513767037453
内蒙古,2016,0.474429735,0.341399542,0.4718 ,0.634,0.0079,0.0424,0.525149093447812
北京,2016,0.735120802,1.687652627,0.1926 ,0.8676,0.0596,0.7265,0.0727527261898993
吉林,2016,0.482543824,0.349187677,0.4741 ,0.5875,0.0094,0.0824,0.460291495132284
四川,2016,0.350972612,0.498504931,0.4084 ,0.5,0.0172,0.099,0.301721479450967
天津,2016,0.654795856,1.840185483,0.4233 ,0.8327,0.03,0.3789,0.263520383802361
宁夏,2016,0.57817633,0.635882737,0.4697 ,0.5874,0.0095,0.0679,0.514195705098898
安徽,2016,0.234575249,0.840527124,0.4843 ,0.5262,0.0197,0.1203,0.478037717127016
山东,2016,0.608513491,0.868744765,0.4608 ,0.5913,0.0234,0.2275,0.363065762175049
山西,2016,0.332680392,0.551634543,0.3854 ,0.5727,0.0103,0.0843,0.601326812504671
广东,2016,0.547285572,1.520167995,0.4342 ,0.7015,0.0256,0.7804,0.32312069559754
广西,2016,0.38454986,0.344899988,0.4517 ,0.4924,0.0065,0.1721,0.446588924664333
新疆,2016,0.372923294,0.47262775,0.3779 ,0.5042,0.0059,0.1209,0.303429135970238
江苏,2016,0.582116041,1.478472986,0.4473 ,0.6893,0.0266,0.4344,0.348790569934513
江西,2016,0.230486721,0.3519577,0.4773 ,0.5399,0.0113,0.1426,0.498235560709103
河北,2016,0.446121028,0.717858373,0.4757 ,0.5387,0.012,0.096,0.619187969730767
河南,2016,0.662440156,0.736608703,0.4763 ,0.4878,0.0123,0.1165,0.401763132656858
浙江,2016,0.454526452,1.203758524,0.4486 ,0.6772,0.0243,0.47,0.185389335798455
海南,2016,1.024061525,1.111663466,0.2235 ,0.567,0.0054,0.1849,0.0951467628085384
湖北,2016,0.327998465,0.497452662,0.4486 ,0.5857,0.0186,0.0796,0.472726820093016
湖南,2016,0.250279804,0.374257543,0.4228 ,0.527,0.015,0.0552,0.512916806280168
甘肃,2016,0.267251018,0.322591625,0.3494 ,0.4607,0.0122,0.0625,0.397060473543756
福建,2016,0.410194966,1.137346801,0.4892 ,0.6439,0.0159,0.3591,0.312261576401423
贵州,2016,0.247726632,0.472858462,0.3965 ,0.4556,0.0063,0.0319,0.586976130200958
辽宁,2016,0.484691916,0.686396728,0.3869 ,0.6887,0.0169,0.2567,0.370548859934594
重庆,2016,0.293473432,0.494959838,0.4452 ,0.6333,0.0172,0.2333,0.349493657866844
陕西,2016,0.320640844,0.532504399,0.4892 ,0.5639,0.0219,0.1019,0.447293980773383
青海,2016,0.923801317,0.205234075,0.4859 ,0.5355,0.0054,0.0392,0.310754568008888
黑龙江,2016,0.334201553,0.283754382,0.2860 ,0.6109,0.0099,0.0711,0.433005381159735
上海,2017,0.421409255,2.839895937,0.3046 ,0.891,0.0393,1.0526 ,0.123679962119413
云南,2017,0.415547537,0.382145727,0.3789 ,0.4629,0.0096,0.0966 ,0.50849356529288
内蒙古,2017,0.526462233,0.470454956,0.3976 ,0.646,0.0082,0.0585 ,0.484921790513543
北京,2017,0.839462611,1.734540572,0.1901 ,0.8693,0.0564,0.7833 ,0.0441449424343943
吉林,2017,0.510834249,0.513926013,0.4683 ,0.5971,0.0086,0.0840 ,0.391752021797153
四川,2017,0.460454653,0.579964612,0.3875 ,0.5178,0.0172,0.1245 ,0.282747027449079
天津,2017,0.714193663,1.921635006,0.4094 ,0.8357,0.0247,0.4122 ,0.235691868434153
宁夏,2017,0.565853272,0.770166358,0.4358 ,0.6095,0.0113,0.0992 ,0.55852394624727
安徽,2017,0.241723989,0.98420296,0.4752 ,0.5429,0.0209,0.1354 ,0.438472539936494
山东,2017,0.660918129,1.009192493,0.4535 ,0.6079,0.0241,0.2468 ,0.343575856965881
山西,2017,0.299798517,0.698488415,0.4365 ,0.5859,0.0095,0.0749 ,0.570845105940461
广东,2017,0.617079571,1.613305775,0.4237 ,0.7074,0.0261,0.7599 ,0.189688730655679
广西,2017,0.39179608,0.470180113,0.4022 ,0.5059,0.0077,0.2112 ,0.423862270033174
新疆,2017,0.391153655,0.575053302,0.3980 ,0.519,0.0052,0.1279 ,0.315357466879963
江苏,2017,0.644405657,1.607411526,0.4502 ,0.7018,0.0263,0.4658 ,0.331560618212242
江西,2017,0.240739802,0.515992826,0.4812 ,0.557,0.0128,0.1505 ,0.482443162286534
河北,2017,0.492158661,0.847509626,0.4658 ,0.5574,0.0133,0.0993 ,0.588564846346521
河南,2017,0.705431135,0.879819394,0.4737 ,0.5056,0.0131,0.1175 ,0.369317779728056
浙江,2017,0.50373083,1.352066967,0.4295 ,0.6891,0.0245,0.4946 ,0.148109776597677
海南,2017,0.62163628,1.212201955,0.2233 ,0.5804,0.0052,0.1575 ,0.0991960207642974
湖北,2017,0.394184258,0.651975419,0.4352 ,0.5988,0.0197,0.0884 ,0.460921051415158
湖南,2017,0.27463893,0.524222134,0.4175 ,0.5462,0.0168,0.0718 ,0.5469885032651
甘肃,2017,0.272446653,0.445784714,0.3434 ,0.4812,0.0119,0.0437 ,0.364730400934253
福建,2017,0.496569163,1.322871989,0.4771 ,0.6578,0.0169,0.3601 ,0.288372825194337
贵州,2017,0.261474698,0.561774114,0.4009 ,0.4776,0.0071,0.0407 ,0.558226877207191
辽宁,2017,0.468847547,0.809513352,0.3930 ,0.6949,0.0184,0.2883 ,0.356825876520868
重庆,2017,0.31563025,0.627281839,0.4419 ,0.65,0.0188,0.2321 ,0.346142944646546
陕西,2017,0.327505715,0.667160257,0.4970 ,0.5807,0.021,0.1242 ,0.426510517968314
青海,2017,1.012754363,0.360255076,0.4429 ,0.5545,0.0068,0.0170 ,0.242700132702798
黑龙江,2017,0.353283391,0.414024517,0.2553 ,0.619,0.0092,0.0806 ,0.423307432556118
上海,2018,0.450805617,2.846855368,0.2978 ,0.8913,0.0416,1.0408 ,0.13308696155547
云南,2018,0.446704538,0.394387997,0.3891 ,0.4744,0.0105,0.1102 ,0.4966668283086
内蒙古,2018,0.487656012,0.455073816,0.3937 ,0.6551,0.0075,0.0598 ,0.492439433190523
北京,2018,1.038301246,1.714485944,0.1863 ,0.8709,0.0617,0.8966 ,0.0163233344458258
吉林,2018,0.539288045,0.491865136,0.4253 ,0.6085,0.0076,0.0904 ,0.337867831159179
四川,2018,0.385623306,0.636037194,0.3767 ,0.535,0.0181,0.1462 ,0.294511972528866
天津,2018,0.750235504,1.964186177,0.4046 ,0.8395,0.0262,0.4296 ,0.226061320377099
宁夏,2018,0.551430815,0.76293772,0.4454 ,0.6215,0.0123,0.0672 ,0.553266134178237
安徽,2018,0.246762715,1.00809717,0.4613 ,0.5565,0.0216,0.1380 ,0.400115200730704
山东,2018,0.68174341,1.063354876,0.4399 ,0.6146,0.0215,0.2524 ,0.30244854620865
山西,2018,0.289952453,0.710881286,0.4215 ,0.5985,0.0105,0.0814 ,0.54779645776768
广东,2018,0.716150726,1.704219573,0.4183 ,0.7181,0.0278,0.7361 ,0.171627155485962
广西,2018,0.369863974,0.501536567,0.3967 ,0.5182,0.0071,0.2017 ,0.40317647034572
新疆,2018,0.378707308,0.592943512,0.4036 ,0.5401,0.0053,0.1087 ,0.278665532422367
江苏,2018,0.716119739,1.647892731,0.4455 ,0.7119,0.027,0.4730 ,0.301319363151013
江西,2018,0.248448809,0.540922483,0.4662 ,0.5734,0.0141,0.1438 ,0.437386791391328
河北,2018,0.520532512,0.854078073,0.4454 ,0.5733,0.0139,0.0987 ,0.573307962182728
河南,2018,0.757299569,0.914965962,0.4585 ,0.5224,0.014,0.1147 ,0.337963641291958
浙江,2018,0.551110488,1.403207585,0.4183 ,0.7002,0.0257,0.5073 ,0.127407297891384
海南,2018,0.498858279,1.24570646,0.2268 ,0.5913,0.0056,0.1755 ,0.101810756634693
湖北,2018,0.462690093,0.688812931,0.4341 ,0.61,0.0209,0.0885 ,0.392890651530202
湖南,2018,0.318690606,0.541396487,0.3968 ,0.5609,0.0181,0.0844 ,0.472482465625426
甘肃,2018,0.259337,0.461733585,0.3389 ,0.4969,0.0118,0.0480 ,0.319567598544878
福建,2018,0.576683082,1.368982464,0.4813 ,0.6698,0.018,0.3448 ,0.285752505836052
贵州,2018,0.284912839,0.550188723,0.3887 ,0.4954,0.0082,0.0338 ,0.475500718172682
辽宁,2018,0.446750166,0.830655994,0.3960 ,0.7026,0.0182,0.2985 ,0.349039977052822
重庆,2018,0.337152147,0.641754576,0.4090 ,0.6661,0.0201,0.2564 ,0.306731459068456
陕西,2018,0.334099657,0.703685032,0.4975 ,0.5965,0.0218,0.1438 ,0.397156775409201
青海,2018,1.000030488,0.358926407,0.4352 ,0.5727,0.006,0.0168 ,0.236363450721404
黑龙江,2018,0.368353011,0.403762803,0.2464 ,0.6346,0.0083,0.1069 ,0.378213378112804
上海,2019,0.464063484,2.854096617,0.2699 ,0.8922,0.04,0.8925 ,0.133647516585673
云南,2019,0.446211256,0.379165677,0.3428 ,0.4867,0.0095,0.1001 ,0.482101378362882
内蒙古,2019,0.478343141,0.486750099,0.3962 ,0.6646,0.0086,0.0638 ,0.497306802981603
北京,2019,0.910177002,1.859683542,0.4036 ,0.8735,0.0631,0.8111 ,0.0121381029145563
吉林,2019,1.015555917,0.548710165,0.3526 ,0.6163,0.0127,0.1111 ,0.352469158103669
四川,2019,0.428390384,0.68763976,0.3725 ,0.5536,0.0187,0.1457 ,0.278343431731857
天津,2019,0.935884759,2.014417112,0.3523 ,0.8431,0.0328,0.5208 ,0.222030142844026
宁夏,2019,0.548932591,0.757993559,0.4228 ,0.6363,0.0145,0.0642 ,0.53995708323875
安徽,2019,0.244520098,1.029415308,0.4133 ,0.5702,0.0203,0.1276 ,0.387550219719614
山东,2019,0.73451649,1.121007815,0.3984 ,0.6186,0.021,0.2880 ,0.299959900474547
山西,2019,0.293942091,0.770228169,0.4377 ,0.6129,0.0112,0.0850 ,0.532069395186393
广东,2019,0.814637171,1.742510484,0.4044 ,0.7265,0.0288,0.6639 ,0.175507318224026
广西,2019,0.366922175,0.499172611,0.3333 ,0.5298,0.0079,0.2211 ,0.387088100915981
新疆,2019,0.365386524,0.631062331,0.3527 ,0.5551,0.0047,0.1207 ,0.283628755145617
江苏,2019,0.803317288,1.680880814,0.4443 ,0.7247,0.0279,0.4354 ,0.317285609419849
江西,2019,0.251746782,0.568545003,0.4419 ,0.5907,0.0155,0.1418 ,0.420843640463975
河北,2019,0.589609124,0.922996462,0.3873 ,0.5877,0.0161,0.1140 ,0.569807935315766
河南,2019,0.836088175,0.990614922,0.4351 ,0.5401,0.0146,0.1053 ,0.318746077641349
浙江,2019,0.606442444,1.445630369,0.4261 ,0.7158,0.0268,0.4946 ,0.126272215731359
海南,2019,0.514625066,1.247611723,0.2070 ,0.5937,0.0056,0.1706 ,0.0975399639869722
湖北,2019,0.505182455,0.729901353,0.4167 ,0.6183,0.0209,0.0861 ,0.365798707144489
