weight_type,effect_type,effect_type_cn,variable,variable_cn,coef,pvalue,ll,ul
economic_inv,LR_Direct,直接效应,lntl,夜间灯光强度,0.0536396358443897,0.481578630615028,-0.0957449368167253,0.2030242085055046
economic_inv,LR_Indirect,间接效应,lntl,夜间灯光强度,0.5860768344936038,0.0037899167377623,0.1893118372848004,0.9828418317024072
economic_inv,LR_Total,总效应,lntl,夜间灯光强度,0.6397164703379934,0.0014641699363149,0.2456428464098436,1.033790094266143
economic_inv,LR_Direct,直接效应,ind,产业结构,0.0265211198597178,0.8223175703969298,-0.2049504031509297,0.2579926428703654
economic_inv,LR_Indirect,间接效应,ind,产业结构,-0.2328773317833461,0.4582088107300697,-0.8481799439824471,0.3824252804157549
economic_inv,LR_Total,总效应,ind,产业结构,-0.2063562119236283,0.5701349801597319,-0.918602065541286,0.5058896416940295
economic_inv,LR_Direct,直接效应,urb,城镇化水平,-1.818940375843592,1.57242199686e-08,-2.449536938960049,-1.188343812727134
economic_inv,LR_Indirect,间接效应,urb,城镇化水平,0.7024330147068211,0.408242794665182,-0.9623314949972952,2.367197524410937
economic_inv,LR_Total,总效应,urb,城镇化水平,-1.116507361136771,0.207897777100169,-2.854137528233553,0.6211228059600125
economic_inv,LR_Direct,直接效应,rd,研发投入,5.810843959311415,0.0179951193177578,0.9966428196802636,10.62504509894256
economic_inv,LR_Indirect,间接效应,rd,研发投入,5.053980952823544,0.4213830639197133,-7.266073631838186,17.37403553748527
economic_inv,LR_Total,总效应,rd,研发投入,10.86482491213496,0.1103145551732313,-2.471172243694635,24.20082206796455
economic_inv,LR_Direct,直接效应,open,对外开放,0.4330103862122338,2.5505719523e-06,0.252594426918388,0.6134263455060796
economic_inv,LR_Indirect,间接效应,open,对外开放,-0.3040183494903627,0.2380840239955758,-0.8090788825724142,0.2010421835916887
economic_inv,LR_Total,总效应,open,对外开放,0.128992036721871,0.6514494835982012,-0.4306538940479162,0.6886379674916583
economic_inv,LR_Direct,直接效应,es,能源结构,-0.0513967670054675,0.6878116847798271,-0.3020915343503389,0.1992980003394039
economic_inv,LR_Indirect,间接效应,es,能源结构,-1.021594761531864,0.000906375635119,-1.625042285356991,-0.4181472377067362
economic_inv,LR_Total,总效应,es,能源结构,-1.072991528537331,0.0007807361446429,-1.698978287683162,-0.447004769391501
