variable,coef,std_err,t_value,p_value,ci_lower,ci_upper
Intercept,1.0128319193981892,0.4140865354589369,2.445942653691108,0.015325226278726503,0.19622054464964145,1.829443294146737
C(province)[T.云南],0.010966542655635458,0.24351875806133566,0.045033666987055215,0.9641260893366035,-0.46927169444890415,0.49120477976017507
C(province)[T.内蒙古],0.42115073162411,0.20107738408953232,2.094470909948715,0.03749685764848116,0.02461023829411635,0.8176912249541036
C(province)[T.北京],0.46191057308971234,0.109306467292481,4.2258302233273835,3.638813046015073e-05,0.24634958068581497,0.6774715654936097
C(province)[T.吉林],0.30705318622106115,0.20553973750356194,1.4938872159245606,0.13680505451486547,-0.09828742071805019,0.7123937931601725
C(province)[T.四川],0.1283481470044021,0.21341173990103082,0.6014109020615419,0.5482577654872448,-0.2925166708166117,0.5492129648254159
C(province)[T.天津],0.5062415304695227,0.07883828709173883,6.421264960772719,9.896091784456678e-10,0.35076619743689424,0.6617168635021511
C(province)[T.宁夏],0.4540303500840346,0.1930426071752464,2.35196963368745,0.01966127382127096,0.07333507184779176,0.8347256283202774
C(province)[T.安徽],0.014848802693991137,0.19056365791248137,0.07792043276588774,0.9379704313769557,-0.3609577916753521,0.39065539706333435
C(province)[T.山东],0.20536642915774705,0.16948356790259772,1.2117188214716557,0.2270714218790834,-0.12886856167294097,0.5396014199884351
C(province)[T.山西],0.2033729246240612,0.19904864136810232,1.0217247564526801,0.30816423840516677,-0.1891667277200696,0.595912576968192
C(province)[T.广东],0.48427797319422416,0.10406653428557286,4.653541856840345,5.981256799534541e-06,0.2790505428116543,0.689505403576794
C(province)[T.广西],0.06279796596551951,0.22614020072244392,0.2776948360570149,0.7815378337259932,-0.3831683825736742,0.5087643145047132
C(province)[T.新疆],0.08645671359065887,0.22425688722460999,0.3855253439956385,0.7002642008948871,-0.3557955918854245,0.5287090190667423
C(province)[T.江苏],0.47624176029311543,0.1154211256938151,4.126122990313506,5.440892696563476e-05,0.24862217825722951,0.7038613423290013
C(province)[T.江西],0.2352262844608427,0.20712957583809988,1.1356479802995603,0.2574836456431567,-0.17324960932490824,0.6437021782465937
C(province)[T.河北],0.06860477711575053,0.1959357084156416,0.3501392251085652,0.726608283243654,-0.3177959254192742,0.45500547965077526
C(province)[T.河南],0.00932161101190776,0.20645037505705616,0.04515182406101985,0.964032029357167,-0.3978148451538209,0.4164580671776364
C(province)[T.浙江],0.2030693948324816,0.128145181517126,1.584682252023205,0.11464248377360613,-0.04964303091718297,0.45578182058214617
C(province)[T.海南],0.6322088361902192,0.19437831103776615,3.252465940335216,0.0013460535783742817,0.24887944437136417,1.0155382280090741
C(province)[T.湖北],0.24313429486160504,0.19235653613923173,1.263977298310359,0.20773172776051724,-0.13620799706883058,0.6224765867920407
C(province)[T.湖南],0.23530735121320778,0.2121303515268255,1.1092582910439923,0.26867105121941864,-0.18303046746090817,0.6536451698873238
C(province)[T.甘肃],0.1304082393141892,0.23708753138295732,0.5500425878725202,0.5829132483404317,-0.3371471104964435,0.597963589124822
C(province)[T.福建],0.14307833977740392,0.1458493850608618,0.9810006378682944,0.327795641893689,-0.14454817459060915,0.430704854145417
C(province)[T.贵州],0.10882141814577806,0.23410068411612112,0.4648487831492167,0.642553125461013,-0.3528436327928284,0.5704864690843845
C(province)[T.辽宁],0.2809738588432832,0.16302790393947383,1.72347096450187,0.0863723573161743,-0.04053005243660879,0.6024777701231752
C(province)[T.重庆],0.3255877290671712,0.17847790095564692,1.8242467404862754,0.06962975955848473,-0.02638479740025612,0.6775602555345985
C(province)[T.陕西],0.136360062857665,0.19373401172653665,0.7038519547622991,0.4823560826735842,-0.24569871979803637,0.5184188455133664
C(province)[T.青海],0.922328146433707,0.227189938795823,4.059722676639343,7.084080508197257e-05,0.47429163144904335,1.3703646614183707
C(province)[T.黑龙江],0.3469117558980449,0.2070722702895173,1.675317295806974,0.09545851979250618,-0.061451126816827184,0.755274638612917
C(year)[T.2016],0.019297304519489723,0.015192278034683893,1.2702048024288441,0.205509852642333,-0.010663068468044046,0.04925767750702349
C(year)[T.2017],0.015589020197357452,0.019881506279187784,0.7840965356672315,0.4339252337068986,-0.02361888149576441,0.054796921890479314
C(year)[T.2018],0.0488066396992554,0.02402427924733496,2.0315547949131325,0.043541842014363286,0.001428862293946155,0.09618441710456466
C(year)[T.2019],0.08434585613019445,0.028955564659923706,2.912941160734273,0.003993899240074301,0.02724319415314117,0.14144851810724773
C(year)[T.2020],0.10133210855730453,0.03450839782905372,2.93644779045609,0.0037151762231526207,0.033278820709340115,0.16938539640526895
C(year)[T.2021],0.12529684084075104,0.035199107505690094,3.559659597064961,0.0004654146178181797,0.055881418921064116,0.19471226276043796
C(year)[T.2022],0.1400015195200422,0.037573861018989546,3.726034954174299,0.0002540302713639033,0.06590289598638557,0.21410014305369882
lntl,0.17248904794209613,0.06355476885117625,2.714022111322709,0.007236640636626179,0.047154020794052426,0.29782407509013986
ind,0.08285861665893217,0.13128797910615575,0.6311211218502726,0.5286928893606049,-0.1760516543234676,0.34176888764133195
urb,-1.928470062262246,0.389614351310045,-4.9496894962362905,1.5919104502810482e-06,-2.6968203557399972,-1.1601197687844946
rd,6.588260813030999,2.817763791240537,2.3381167837813965,0.020384352828051875,1.0314079181853124,12.145113707876686
open,0.452084987519948,0.10590046896322373,4.268961147631409,3.050859365467188e-05,0.24324089301026353,0.6609290820296325
es,-0.1386373296012675,0.14520774833629913,-0.9547515968651025,0.34087340873694627,-0.42499848563746817,0.14772382643493315
