metric,value
nobs,240.0
n_provinces,30.0
n_years,8.0
r_squared,0.9573916009642536
adj_r_squared,0.9483075768043483
f_statistic,105.39289461491595
f_pvalue,9.576175855159334e-114
aic,-702.0719249847994
bic,-552.4044512810938
n_parameters,43.0
