weight_type,test_name,statistic,df,pvalue
adjacency_01,LM Error,2.644073361781778,1,.1039367457640304
adjacency_01,LM Lag,1.083042405315967,1,.2980179448385303
adjacency_01,Robust LM Error,1.918887845334735,1,.1659793154408316
adjacency_01,Robust LM Lag,.3578568888689731,1,.5496988802986019
economic_geo_nested,LM Error,3.052585355473944,1,.0806087299995703
economic_geo_nested,LM Lag,.7902832892041116,1,.3740144788173029
economic_geo_nested,Robust LM Error,2.369156463779909,1,.123753906016124
economic_geo_nested,Robust LM Lag,.1068543975100761,1,.7437541791277416
economic_inv,LM Error,9.49091652838073,1,.0020649164327274
economic_inv,LM Lag,2.810727210456927,1,.0936359209708255
economic_inv,Robust LM Error,7.303119999529096,1,.0068834979778856
economic_inv,Robust LM Lag,.6229306816052854,1,.4299603067713923
geographic_inv,LM Error,1.082091353739495,1,.2982301766000487
geographic_inv,LM Lag,.2740516265643392,1,.6006267652920591
geographic_inv,Robust LM Error,.8414103400008728,1,.3589937241935074
geographic_inv,Robust LM Lag,.0333706128257194,1,.8550520508198418
