weight_type,section,variable,coef,se,zstat,pvalue,ll,ul
adjacency_01,Main,es,.0215103448436462,.1299439392704803,.1655355760677082,.8685224504141669,-.2331750961357551,.2761957858230475
adjacency_01,Main,ind,.0862273092585371,.1139730696251478,.7565586286491601,.4493143350865185,-.1371558024142286,.3096104209313026
adjacency_01,Main,lntl,.330076457580235,.0730602205775921,4.517868341633103,6.24653027133e-06,.1868810565456022,.4732718586148677
adjacency_01,Main,open,.5003855137836064,.093047710537368,5.377730530861921,7.54305984571e-08,.3180153522864571,.6827556752807558
adjacency_01,Main,rd,4.740792009379385,2.500645645959877,1.895827190485289,.0579828991712611,-.1603833947988713,9.641967413557641
adjacency_01,Main,urb,-1.743360393580798,.4263349626578429,-4.089179978841988,.0000432900870396,-2.578961565740399,-.907759221421197
adjacency_01,Spatial,rho,.1609586860230295,.0925882990130673,1.738434421398246,.082134295917217,-.0205110454324079,.3424284174784669
adjacency_01,Variance,sigma2_e,.0018909854200945,.0001732768930376,10.91308475668729,9.98108726032e-28,.0015513689503879,.0022306018898012
adjacency_01,Wx,es,.1330202946229913,.2581037200249934,.51537534836813,.6062907553697006,-.3728537009018053,.6388942901477878
adjacency_01,Wx,ind,-.0514196585385066,.2422524586712123,-.2122564981199793,.8319069316128305,-.5262257527003605,.4233864356233474
adjacency_01,Wx,lntl,-.3653991202008656,.1073237348983298,-3.404644094309767,.0006625033727242,-.5757497752879166,-.1550484651138147
adjacency_01,Wx,open,.5297720803754415,.1699366612958101,3.117467863236779,.0018241183294551,.1967023445826719,.8628418161682112
adjacency_01,Wx,rd,4.05475652458761,5.577475818871498,.7269877371531154,.4672334679030888,-6.876895205043571,14.98640825421879
adjacency_01,Wx,urb,-.5117197924765065,.7619259120452415,-.6716135839282515,.5018297282085679,-2.005067138973013,.9816275540199997
economic_geo_nested,Main,es,-.036300335474821,.1336720881995592,-.2715625675019618,.7859583848934899,-.2982928140842185,.2256921431345765
economic_geo_nested,Main,ind,.1028986534116224,.1286727940568272,.7996923838164118,.4238890467158177,-.1492953887298984,.3550926955531431
economic_geo_nested,Main,lntl,.0562412498358518,.0677937315483086,.8295936593455586,.406768562917318,-.0766320223764099,.1891145220481135
economic_geo_nested,Main,open,.4539916366338628,.1004098954105331,4.521383423194349,6.14367911313e-06,.2571918579377842,.6507914153299413
economic_geo_nested,Main,rd,5.991796622083767,2.523106173173447,2.374769910910075,.0175598924909365,1.046599393493131,10.9369938506744
economic_geo_nested,Main,urb,-1.156306571392008,.4347763948488331,-2.659543123986856,.0078246712397353,-2.008452646623887,-.3041604961601296
economic_geo_nested,Spatial,rho,-.2092663648457161,.2497114743259422,-.8380326351065706,.4020123749190108,-.6986918610509611,.280159131359529
economic_geo_nested,Variance,sigma2_e,.0020598237099393,.0001888034377858,10.90988455557832,1.03387557616e-27,.0016897757717218,.0024298716481568
economic_geo_nested,Wx,es,-.242023914955213,.9093404045178342,-.2661532620268237,.7901211766053017,-2.024298357497252,1.540250527586826
economic_geo_nested,Wx,ind,.3716516678448845,.786360414482106,.4726225544932254,.6364824882262043,-1.169586423408032,1.912889759097801
economic_geo_nested,Wx,lntl,.6804009963347817,.361289649139333,1.883256268081962,.0596656468822439,-.0277137039654234,1.388515696634987
economic_geo_nested,Wx,open,1.295131099272014,.6254214313403239,2.070813429748407,.038376234709325,.069327618685489,2.520934579858539
economic_geo_nested,Wx,rd,22.79767486633571,16.41191956369092,1.389092529844735,.1648046150265053,-9.369096395666791,54.96444612833822
economic_geo_nested,Wx,urb,-4.166509683961257,2.191538579685035,-1.901180167478531,.0572784178766877,-8.461846370873989,.1288270029514749
economic_inv,Main,es,-.0641364065497983,.1253438318079168,-.5116837871055685,.6088723348047728,-.3098058025775613,.1815329894779647
economic_inv,Main,ind,.0312589533239036,.1173607529335448,.2663492909048041,.7899702149660619,-.1987638956243477,.2612818022721548
economic_inv,Main,lntl,.0349995546920403,.0593279898174471,.5899332642102717,.5552353918229256,-.081281168625315,.1512802780093956
economic_inv,Main,open,.4252408877386291,.0913860210184711,4.653237803762994,3.26763030370e-06,.2461275778520055,.6043541976252528
economic_inv,Main,rd,5.11447001877503,2.3954366403146,2.135088832115105,.0327537546958958,.4195004765107875,9.809439561039273
economic_inv,Main,urb,-2.031158548282536,.3243240590434938,-6.262743979811087,3.78261381845e-10,-2.666822023327626,-1.395495073237446
economic_inv,Spatial,rho,-.1565313214082317,.1198195729102503,-1.306391915830647,.191419313601487,-.3913733689552933,.0783107261388299
economic_inv,Variance,sigma2_e,.0018223108730154,.0001667598767517,10.9277537769384,8.49245862235e-28,.0014954675205157,.0021491542255151
economic_inv,Wx,es,-1.209019619887653,.3029009486543497,-3.991468581590034,.0000656653889605,-1.802694570133194,-.6153446696421113
economic_inv,Wx,ind,-.2093168247177237,.3069699213844195,-.6818805691896942,.4953144729057261,-.8109668149682776,.3923331655328303
economic_inv,Wx,lntl,.7706416326376362,.1553847584845736,4.959570296041259,7.06492795748e-07,.4660931022614174,1.075190163013855
economic_inv,Wx,open,-.1215586512248797,.2602951264587487,-.467003177810723,.6404976044910906,-.631727724435326,.3886104219855667
economic_inv,Wx,rd,-.3072536199557613,6.452131720361519,-.0476204816132529,.9620187085791179,-12.9531994153728,12.33869217546128
economic_inv,Wx,urb,.0833066189487289,.8925418317174805,.0933363748211392,.925636335271161,-1.666043225912942,1.8326564638104
geographic_inv,Main,es,-.0247131098929412,.1375569730064087,-.1796572674784713,.8574216431026889,-.2943198228078506,.2448936030219682
geographic_inv,Main,ind,.0949448420889804,.1290426911989336,.7357630347511303,.4618749208799096,-.1579741851290533,.3478638693070141
geographic_inv,Main,lntl,.1252877953757335,.0655478205173935,1.9113952895274,.0559538015887073,-.0031835721034534,.2537591628549204
geographic_inv,Main,open,.4370164159693443,.1057128030500524,4.133997050124836,.0000356508051152,.2298231292864657,.6442097026522229
geographic_inv,Main,rd,6.254389648684946,2.505553930439926,2.496210348019448,.0125528139708823,1.343594183699914,11.16518511366998
geographic_inv,Main,urb,-1.206387044246352,.4543283269123524,-2.6553198926535,.0079233231774324,-2.096854202150902,-.3159198863418015
geographic_inv,Spatial,rho,-.3062685627916581,.2616044791767142,-1.170731341280947,.2417067832088478,-.8190039201723764,.2064667945890601
geographic_inv,Variance,sigma2_e,.0020695490603554,.0001885417114207,10.97661119527005,4.95151535693e-28,.0017000140963874,.0024390840243235
geographic_inv,Wx,es,1.075684746705321,1.196503873426407,.8990232046845797,.3686403008206894,-1.269419752573108,3.420789245983751
geographic_inv,Wx,ind,.6389671020062502,.7732877109462785,.8262993100256837,.4086343248036942,-.8766489611358752,2.154583165148376
geographic_inv,Wx,lntl,.3062948495720923,.3755662701761211,.8155547339979596,.4147548478795195,-.4298015137811444,1.042391212925329
geographic_inv,Wx,open,1.234760109070186,.623005499182903,1.981940947053636,.0474858503573348,.0136917685012985,2.455828449639074
geographic_inv,Wx,rd,8.636560255245787,15.8565490908402,.5446683389789294,.5859816440282988,-22.44170488189235,39.71482539238391
geographic_inv,Wx,urb,-4.451070843433316,2.259219707892268,-1.970180601684786,.0488176759205536,-8.87906010406526,-.0230815828013702
