region,variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper,stars
东部,lntl,0.4845686569160052,0.15157589600322346,3.196871466329318,0.0022673509310071616,0.18104316070846443,0.7880941531235459,***
东部,ind,0.07048567396430705,0.1531290949959571,0.4603022956948058,0.6470504761623448,-0.2361500495775884,0.3771213975062025,
东部,urb,-2.528260158567447,0.6726294365052709,-3.758771206480844,0.0004039999903189262,-3.875177372071626,-1.1813429450632686,***
东部,rd,9.40483095744212,3.3109665275128766,2.840509222697222,0.0062353033348456766,2.7747348492288983,16.034927065655342,***
东部,open,0.5443269598378977,0.2943246578262591,1.8494099809986557,0.06958594462648571,-0.04504800127683073,1.133701920952626,*
东部,es,0.23159626938669345,0.3054199283153641,0.7582880091162769,0.4514025783074693,-0.3799965876439585,0.8431891264173453,
中部,lntl,-0.07505006081638131,0.22810701116343118,-0.3290125123011252,0.7445105695523471,-0.5415812816261263,0.3914811599933637,
中部,ind,0.10485557455319966,0.12919115846855103,0.8116311967178824,0.42361534346614294,-0.1593700122481444,0.3690811613545437,
中部,urb,-1.6082979349853808,1.4515411453671396,-1.1079933490818081,0.2769699589134571,-4.577032912265511,1.3604370422947494,
中部,rd,10.632267398587528,8.319750628149231,1.2779550582458656,0.21140035380545896,-6.383533201255462,27.64806799843052,
中部,open,0.23963204406642055,0.7025267296748536,0.34110025134179317,0.7354871718449871,-1.1971964478551391,1.6764605359879803,
中部,es,-0.1920824937865868,0.20373343512501707,-0.9428128165056417,0.35356530870269665,-0.6087641543977919,0.2245991668246183,
西部,lntl,-0.04202271056698428,0.11797020148997027,-0.3562146206095699,0.7228514580898453,-0.27769528040933117,0.1936498592753626,
西部,ind,0.09467407361280583,0.10031942243780181,0.9437262626935865,0.34885864891023033,-0.10573701149521461,0.2950851587208263,
西部,urb,0.30785881054321845,0.4495866096025488,0.6847597414330846,0.4959680188362343,-0.590293691643945,1.206011312730382,
西部,rd,2.7742341100078036,3.1637312915960187,0.8768867689165459,0.38382785844589895,-3.5460457095063793,9.094513929521987,
西部,open,1.0169644493180117,0.23792625022277736,4.274284356458347,6.506949649698335e-05,0.5416521237073577,1.4922767749286656,***
西部,es,-0.19896062588163177,0.12526431041606445,-1.5883265171123808,0.11714102804271631,-0.4492048534274604,0.051283601664196876,
东北,lntl,0.21113795597009413,0.05091292942604927,4.147040022059048,0.0032220499734318953,0.09373253017826666,0.3285433817619216,***
东北,ind,-0.04395820192625601,0.07767189332730272,-0.5659473465004891,0.5869490429460442,-0.22306990912815294,0.1351535052756409,
东北,urb,0.4793125610187204,1.695787636109373,0.2826489300974041,0.78462124782876,-3.431180740277591,4.389805862315032,
东北,rd,1.7382045589784727,4.331011968406316,0.4013391262038189,0.6986774057479561,-8.249126949785227,11.725536067742171,
东北,open,-0.23002039918425854,0.25008761832065163,-0.9197592456949878,0.38459294993477533,-0.8067234811950423,0.34668268282652526,
东北,es,-0.08343338227045209,0.07604317854211962,-1.0971843085733075,0.3044848821947901,-0.2587892664426486,0.09192250190174443,
