region,lntl_coef,lntl_se,lntl_t,lntl_p,lntl_ci_lower,lntl_ci_upper,lntl_stars,nobs,n_provinces,n_years,r2_model,cov_type
东部,0.14184994575994048,0.24858826886745258,0.5706220426498684,0.5704986465187047,-0.3559394762320793,0.6396393677519603,,80,10,8,0.1965354048688439,Driscoll-Kraay
中部,0.07794061305417381,0.23265195283801998,0.3350094942398298,0.7400291649087336,-0.3978860571902045,0.5537672832985521,,48,6,8,0.22836002472222183,Driscoll-Kraay
西部,0.15291504528047145,0.13617836040933246,1.1229026757322598,0.2656736427176525,-0.1191325035856145,0.4249625941465574,,88,11,8,0.26659523715157174,Driscoll-Kraay
东北,0.1955104645174249,0.06899605171499926,2.8336471386075313,0.022026224532785355,0.03640528394987613,0.3546156450849737,**,24,3,8,0.8231327566170795,Driscoll-Kraay
