region,variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper,stars
东部,lntl,0.2792113240450555,0.23697522859294565,1.1782300019410854,0.24360051667475946,-0.19532338591990878,0.7537460340100197,
东部,ind,0.140194352755347,0.1892431911185525,0.7408158355748791,0.46184612558702076,-0.23875860086556103,0.5191473063762551,
东部,urb,-2.556813953718831,0.7772575291645696,-3.289532565180818,0.0017238725803114807,-4.113245308844754,-1.000382598592908,***
东部,rd,10.522670726334093,3.589289628825589,2.931686159240679,0.004845362140895038,3.3352422212194126,17.710099231448773,***
东部,open,0.5526942266776987,0.2981194960977491,1.8539351968328774,0.06892526055950365,-0.04427976699928404,1.1496682203546815,*
东部,es,0.030511891538366406,0.3526618926041203,0.08651882207363258,0.931357208958774,-0.675681367209579,0.7367051502863119,
中部,lntl,-0.13305680945475445,0.19026184992959463,-0.6993352030582664,0.48991425574481506,-0.5221859846977654,0.2560723657882566,
中部,ind,0.09470967967074698,0.07201932456628657,1.3150592600125848,0.19879426618724771,-0.05258637773859834,0.2420057370800923,
中部,urb,-1.6429613375208794,1.39942909803512,-1.1740225637924013,0.24993756423717461,-4.50511521088534,1.2191925358435816,
中部,rd,11.430860223828262,9.114765447349871,1.254103606928448,0.219819432725451,-7.21092825017865,30.072648697835174,
中部,open,0.16720502804055534,0.6749337604602706,0.24773546359057513,0.8060847978009726,-1.2131895053288841,1.5475995614099947,
中部,es,-0.16284107674754927,0.22585928373547387,-0.7209846505059697,0.47669143700188266,-0.6247751787942013,0.29909302529910275,
西部,lntl,0.16275315460055406,0.0538729204071304,3.0210568384002574,0.003617884324522036,0.055129623938532865,0.27037668526257524,***
西部,ind,0.11464271723067167,0.1325318193615424,0.8650203232925532,0.39025850232643466,-0.15012002844855737,0.3794054629099007,
西部,urb,0.16976911885603102,0.47668999743500895,0.35614155902060235,0.7229059061139371,-0.7825286249365113,1.1220668626485735,
西部,rd,0.2393394360364695,1.9748952592839826,0.1211909517283688,0.9039194895323974,-3.705967387606572,4.184646259679511,
西部,open,0.9070762454441614,0.2279662809822509,3.978993040268025,0.00017906751072893634,0.45166124574139926,1.3624912451469235,***
西部,es,-0.20191580473363668,0.10857195290595448,-1.8597418516413449,0.06751916235493005,-0.41881321468104593,0.014981605213772592,*
东北,lntl,0.10661632553190908,0.09815683425783593,1.0861834159387411,0.30903937377191193,-0.11973374016521049,0.33296639122902866,
东北,ind,-0.06583296262469,0.12953059488873825,-0.508242571426758,0.6249981512754683,-0.364531050073576,0.23286512482419597,
东北,urb,1.4837304970081104,1.3694153385759569,1.0834773462892777,0.31016793260306486,-1.674146936560059,4.64160793057628,
东北,rd,3.7158513510203246,4.748722683801896,0.7824949146209903,0.4564585532670624,-7.2347227947646715,14.66642549680532,
东北,open,-0.4062762591129874,0.32596562135203844,-1.2463776315669026,0.2478837977314583,-1.1579543298851833,0.3454018116592085,
东北,es,0.018400161363940893,0.13724559322682764,0.1340674110645629,0.8966606769756198,-0.2980887441556725,0.3348890668835543,
