region,lntl_coef,lntl_se,lntl_t,lntl_p,lntl_ci_lower,lntl_ci_upper,lntl_stars,nobs,n_provinces,n_years,r2_model,cov_type
东部,0.2792113240450555,0.23697522859294565,1.1782300019410854,0.24360051667475946,-0.19532338591990878,0.7537460340100197,,80,10,8,0.2070529590923006,Driscoll-Kraay
中部,-0.13305680945475445,0.19026184992959463,-0.6993352030582664,0.48991425574481506,-0.5221859846977654,0.2560723657882566,,48,6,8,0.23262280738995256,Driscoll-Kraay
西部,0.16275315460055406,0.0538729204071304,3.0210568384002574,0.003617884324522036,0.055129623938532865,0.27037668526257524,***,88,11,8,0.2660208503827828,Driscoll-Kraay
东北,0.10661632553190908,0.09815683425783593,1.0861834159387411,0.30903937377191193,-0.11973374016521049,0.33296639122902866,,24,3,8,0.7246783986388663,Driscoll-Kraay
