weight_type,effect_type,effect_type_cn,variable,variable_cn,coef,pvalue,ll,ul
economic_inv,LR_Direct,直接效应,lntl,夜间灯光强度,0.0160702466929074,0.7958466841840575,-0.1056690024637758,0.1378094958495906
economic_inv,LR_Indirect,间接效应,lntl,夜间灯光强度,0.6829510251565295,2.23945759064e-06,0.3999885836476504,0.9659134666654086
economic_inv,LR_Total,总效应,lntl,夜间灯光强度,0.6990212718494369,3.41874324176e-07,0.4303177389866352,0.9677248047122384
economic_inv,LR_Direct,直接效应,ind,产业结构,0.0322882164564338,0.7727035298527086,-0.1868076780602792,0.2513841109731467
economic_inv,LR_Indirect,间接效应,ind,产业结构,-0.2037960816040429,0.4387054611651237,-0.7196053953654107,0.3120132321573248
economic_inv,LR_Total,总效应,ind,产业结构,-0.1715078651476092,0.5756048392976412,-0.7719714856559946,0.4289557553607762
economic_inv,LR_Direct,直接效应,urb,城镇化水平,-2.008342587865275,1.78529345728e-10,-2.625434325141263,-1.391250850589287
economic_inv,LR_Indirect,间接效应,urb,城镇化水平,0.4177176036546963,0.5815803235621608,-1.067937265252136,1.903372472561529
economic_inv,LR_Total,总效应,urb,城镇化水平,-1.590624984210579,0.0387497627646324,-3.099003068650585,-0.082246899770573
economic_inv,LR_Direct,直接效应,rd,研发投入,5.123055629451409,0.0331455225401975,0.4096685547633108,9.836442704139507
economic_inv,LR_Indirect,间接效应,rd,研发投入,-0.9132119081053108,0.873025142595062,-12.11265362577998,10.28622980956936
economic_inv,LR_Total,总效应,rd,研发投入,4.209843721346099,0.4894908568586051,-7.728974188187054,16.14866163087925
economic_inv,LR_Direct,直接效应,open,对外开放,0.4290978920400338,1.19673609324e-06,0.2559130230658281,0.6022827610142396
economic_inv,LR_Indirect,间接效应,open,对外开放,-0.1827750116696247,0.4188647055270324,-0.6259167639349784,0.2603667405957291
economic_inv,LR_Total,总效应,open,对外开放,0.2463228803704091,0.3153249009365147,-0.2344842829803236,0.7271300437211419
economic_inv,LR_Direct,直接效应,es,能源结构,-0.0221213398306155,0.8583647094531806,-0.265077467041538,0.220834787380307
economic_inv,LR_Indirect,间接效应,es,能源结构,-1.056586549171115,0.0001395464102329,-1.600269257230152,-0.5129038411120774
economic_inv,LR_Total,总效应,es,能源结构,-1.07870788900173,0.0001130893465917,-1.626344379516601,-0.53107139848686
