province,year,ntl,lntl,lntl_1
上海,2015,14.90484802,2.766623969669757,2.697869774632409
云南,2015,0.2948572,0.2584004188010176,0.2372933451358394
内蒙古,2015,0.18048878,0.16592857305099482,0.2051472977821363
北京,2015,4.12601082,1.634327738747299,1.602879947914098
吉林,2015,0.44026135,0.36482459017559277,0.3407259410647719
四川,2015,0.29622323,0.2594548284679228,0.25899264077311246
天津,2015,5.22465217,1.8285175644844114,1.8182017031834543
宁夏,2015,0.68723842,0.5230931213788282,0.5464483681393149
安徽,2015,0.87462832,0.6284104104390097,0.5964194725370541
山东,2015,1.34947625,0.8541924309759111,0.8511058450873076
山西,2015,0.68596203,0.5223363385668742,0.5481548588172718
广东,2015,1.67545145,0.9841181324636707,0.9701373363892913
广西,2015,0.39842026,0.3353432138004541,0.29211247371438404
新疆,2015,0.23629948,0.2121226274207715,0.24052146882706307
江苏,2015,2.91609304,1.3650944833237164,1.328046842067167
江西,2015,0.33722006,0.2905928769469477,0.27605975167716057
河北,2015,0.79224912,0.5834713227477948,0.592485640735653
河南,2015,0.87369239,0.6279110241314539,0.6276731339548554
浙江,2015,1.92669282,1.0738730551576667,1.0373229968408288
海南,2015,0.82999041,0.60431072640244,0.5725155414826134
湖北,2015,0.51253608,0.4137877651837988,0.3884055986217774
湖南,2015,0.39476261,0.33272422874941315,0.3142784960336438
甘肃,2015,0.2375188,0.21310840726450414,0.22243092145385715
福建,2015,0.97013918,0.6781041900005141,0.6585961024704049
贵州,2015,0.39044066,0.32962071848461016,0.3297878601568103
辽宁,2015,0.90389304,0.6439007583206283,0.6360696158045626
重庆,2015,0.53820482,0.43061603516860747,0.4387492345494414
陕西,2015,0.60914615,0.475703696700609,0.5034456828683542
青海,2015,0.16709591,0.15451853501738375,0.1424729859125876
黑龙江,2015,0.29354305,0.2573850038837035,0.30181523956999323
上海,2016,14.65368129,2.7507061155229007,2.766623969669757
云南,2016,0.23241007,0.20897165875535392,0.2584004188010176
内蒙古,2016,0.16152298,0.14973205779369578,0.16592857305099482
北京,2016,4.40677408,1.687652626652887,1.634327738747299
吉林,2016,0.3887152,0.32837900315188256,0.36482459017559277
四川,2016,0.30711315,0.26782100319790325,0.2594548284679228
天津,2016,5.29770627,1.8401854829757853,1.8285175644844114
宁夏,2016,0.69379301,0.5269703986814017,0.5230931213788282
安徽,2016,0.88067981,0.6316333125437791,0.6284104104390097
山东,2016,1.36668154,0.8614887798664549,0.8541924309759111
山西,2016,0.6212396,0.4831910418245492,0.5223363385668742
广东,2016,1.59259868,0.9526607240422734,0.9841181324636707
广西,2016,0.33151947,0.2863207487710239,0.3353432138004541
新疆,2016,0.17776554,0.16361903316178203,0.2121226274207715
江苏,2016,2.97278902,1.379468371974148,1.3650944833237164
江西,2016,0.30965709,0.26976533958827364,0.2905928769469477
河北,2016,0.78118198,0.5772771776390276,0.5834713227477948
河南,2016,0.87485294,0.628530224346424,0.6279110241314539
浙江,2016,2.01046325,1.102093970573317,1.0738730551576667
海南,2016,0.76056546,0.565635041540288,0.60431072640244
湖北,2016,0.46542561,0.3821457190479551,0.4137877651837988
湖南,2016,0.37789414,0.3205563481601394,0.33272422874941315
甘肃,2016,0.18826119,0.17249105367782314,0.21310840726450414
福建,2016,0.92120681,0.6529535354618378,0.6781041900005141
贵州,2016,0.42685969,0.3554760085027908,0.32962071848461016
辽宁,2016,0.85129258,0.6158840870105794,0.6439007583206283
重庆,2016,0.64043236,0.49495984123707365,0.43061603516860747
陕西,2016,0.57585031,0.45479500596024286,0.475703696700609
青海,2016,0.09715983,0.09272486803669086,0.15451853501738375
黑龙江,2016,0.30205848,0.26394645829229885,0.2573850038837035
上海,2017,16.11398451,2.8398959368885235,2.7507061155229007
云南,2017,0.44898641,0.3708642844125758,0.20897165875535392
内蒙古,2017,0.34564183,0.2968710962575329,0.14973205779369578
北京,2017,4.66632394,1.7345405723825758,1.687652626652887
吉林,2017,0.63383446,0.49092968163611733,0.32837900315188256
四川,2017,0.48601174,0.39609584666812786,0.26782100319790325
天津,2017,5.8321199,1.9216350060980814,1.8401854829757853
宁夏,2017,0.94508871,0.6653075852848379,0.5269703986814017
安徽,2017,1.21723139,0.7962592959592371,0.6316333125437791
山东,2017,1.73050989,1.0044883646507559,0.8614887798664549
山西,2017,0.87283984,0.6274559099285713,0.4831910418245492
广东,2017,1.89443443,1.0627897309723342,0.9526607240422734
广西,2017,0.51314584,0.4141908214364897,0.2863207487710239
新疆,2017,0.38490385,0.32563071484678513,0.16361903316178203
江苏,2017,3.53526858,1.5118843056282132,1.379468371974148
江西,2017,0.54789362,0.4368950518759115,0.26976533958827364
河北,2017,1.03987311,0.7128876049411718,0.5772771776390276
河南,2017,1.18229201,0.7803757052213129,0.628530224346424
浙江,2017,2.4849847,1.2484636539589475,1.102093970573317
海南,2017,1.08144719,0.7330634162044491,0.565635041540288
湖北,2017,0.72075873,0.5427653156526374,0.3821457190479551
湖南,2017,0.60351773,0.4721997971526191,0.3205563481601394
甘肃,2017,0.38291276,0.32419197043267417,0.17249105367782314
福建,2017,1.25081469,0.8112922351240202,0.6529535354618378
贵州,2017,0.62999436,0.48857655468998534,0.3554760085027908
辽宁,2017,1.0942237,0.739182935777869,0.6158840870105794
重庆,2017,0.87251386,0.6272818382510027,0.49495984123707365
陕西,2017,0.80218794,0.589001448975302,0.45479500596024286
青海,2017,0.30575022,0.26677775681980154,0.09272486803669086
黑龙江,2017,0.48397705,0.3947256796660363,0.26394645829229885
上海,2018,16.23350352,2.846855368232715,2.8398959368885235
云南,2018,0.4669793,0.3832053886318438,0.3708642844125758
内蒙古,2018,0.32939056,0.2847206116523366,0.2968710962575329
北京,2018,4.5538198,1.714485943273631,1.7345405723825758
吉林,2018,0.59896513,0.4693566262344205,0.49092968163611733
四川,2018,0.52195379,0.4199948976119556,0.39609584666812786
天津,2018,6.1291084,1.9641861775185563,1.9216350060980814
宁夏,2018,0.93695549,0.661117405327594,0.6653075852848379
安徽,2018,1.28748368,0.8274523837158598,0.7962592959592371
山东,2018,1.87955091,1.0576343479611021,1.0044883646507559
山西,2018,0.89137993,0.6373066843554955,0.6274559099285713
广东,2018,2.12482097,1.139376991947253,1.0627897309723342
广西,2018,0.56403234,0.44726731965869826,0.4141908214364897
新疆,2018,0.3608949,0.3081424980570893,0.32563071484678513
江苏,2018,3.71342044,1.5504138525347806,1.5118843056282132
江西,2018,0.58455389,0.4603029102994232,0.4368950518759115
河北,2018,1.05099539,0.7183252314036608,0.7128876049411718
河南,2018,1.25396432,0.8126905858560921,0.7803757052213129
浙江,2018,2.62499749,1.2878535958926054,1.2484636539589475
海南,2018,1.14012678,0.7608650702696177,0.7330634162044491
湖北,2018,0.74967678,0.5594310737339478,0.5427653156526374
湖南,2018,0.62463789,0.48528495402678773,0.4721997971526191
甘肃,2018,0.38225872,0.32371891477089887,0.32419197043267417
福建,2018,1.31649543,0.8400554530688211,0.8112922351240202
贵州,2018,0.59986109,0.4699168067267698,0.48857655468998534
辽宁,2018,1.11740753,0.7501924771690478,0.739182935777869
重庆,2018,0.89981132,0.6417545759781428,0.6272818382510027
陕西,2018,0.83501966,0.6070551953455979,0.589001448975302
青海,2018,0.28887488,0.2537696517515147,0.26677775681980154
黑龙江,2018,0.46332099,0.3807085033036681,0.3947256796660363
上海,2019,16.35874852,2.854096616771854,2.846855368232715
云南,2019,0.44381154,0.36728651948776764,0.3832053886318438
内蒙古,2019,0.35358056,0.30275334806456383,0.2847206116523366
北京,2019,5.42170425,1.8596835419752884,1.714485943273631
吉林,2019,0.68520493,0.5218871765872324,0.4693566262344205
四川,2019,0.5558249,0.44200588729030815,0.4199948976119556
天津,2019,6.49635657,2.014417111841084,1.9641861775185563
宁夏,2019,0.93933934,0.6623473686843938,0.661117405327594
安徽,2019,1.36097307,0.8590738518545045,0.8274523837158598
山东,2019,2.04228098,1.1126075564354503,1.0576343479611021
山西,2019,0.98670217,0.6864760630548369,0.6373066843554955
广东,2019,2.22293937,1.1702937909902098,1.139376991947253
广西,2019,0.56604089,0.44855070833883337,0.44726731965869826
新疆,2019,0.38662726,0.3268743669320248,0.3081424980570893
江苏,2019,3.88906183,1.5870004302745673,1.5504138525347806
江西,2019,0.60860858,0.4753695693042668,0.4603029102994232
河北,2019,1.18033106,0.7794767276563942,0.7183252314036608
河南,2019,1.39837278,0.8747904990689712,0.8126905858560921
浙江,2019,2.7335962,1.317371897868507,1.2878535958926054
海南,2019,1.13916261,0.7604144487161567,0.7608650702696177
湖北,2019,0.80871839,0.5926185226532794,0.5594310737339478
湖南,2019,0.65606254,0.5044428209504449,0.48528495402678773
甘肃,2019,0.39676246,0.33415703002612,0.32371891477089887
福建,2019,1.37549744,0.865206863976399,0.8400554530688211
贵州,2019,0.68248582,0.5202723545666096,0.4699168067267698
辽宁,2019,1.18857563,0.783250934968083,0.7501924771690478
重庆,2019,0.96260986,0.6742751487254606,0.6417545759781428
陕西,2019,0.85832163,0.6196737309003942,0.6070551953455979
