province,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
上海,0.0,0.0002937254830259593,0.0004131033094793931,0.000657504455125931,0.0003802418163720764,0.00036495314753871237,0.000565197927636912,0.00033084456686027395,0.0014670664381004456,0.0006931450639141429,0.00048762857162100567,0.00042109850404705243,0.00036271350991813644,0.00017899244381802202,0.00185052392275484,0.00087925225540936,0.0005858029612077641,0.0006363734291025883,0.003069108972281902,0.0003182573618452512,0.0008061434283825473,0.0006420658119340168,0.0003133076326380986,0.0009944381173603344,0.0003576489490881006,0.001542902505819906,0.0003936483253182658,0.0004721935586083092,0.0002797651713514902,0.00033671888416878496
云南,0.0002937254830259593,0.0,0.0004174732710029303,0.00028820016076198696,0.00050628205133256,0.0008068239295225432,0.0005502698422338021,0.00036155401487253066,0.0003569561728205915,0.0002747339936947817,0.0005077151453070864,0.00046408177007523966,0.0009718633476971696,0.00027887995141097653,0.00029309547434957974,0.00048719254847357115,0.00030028575721964074,0.00034878306101410243,0.00028963790767457,0.00055797060671927,0.0004123028355125986,0.0004892713586033636,0.0004577801498198631,0.00033161001611461315,0.0012787889961961975,0.00022515464309526756,0.0009996499410491434,0.0005248061345539989,0.000420488659238658,0.00384230101657829
内蒙古,0.0004131033094793931,0.0004174732710029303,0.0,0.0012785727647667633,0.0005352114410328353,0.00040699362321583747,0.0013184880964114828,0.0009710471525467738,0.000514433142722505,0.000775112326867311,0.0015714884386664437,0.0002605298033548256,0.00422129851516828,0.0003028275369468547,0.00043721931650371877,0.0008642201105774391,0.001304693974865841,0.0007376270219476027,0.00037247374894982795,0.00024616262247833295,0.00046130505002157224,0.00038578925990005925,0.0006175587951841899,0.0003198927393534325,0.00037532955622122856,0.0005552980612877988,0.0011875318590769918,0.000950937491677377,0.0005398304881315319,0.0005297818262080214
北京,0.000657504455125931,0.00028820016076198696,0.0012785727647667633,0.0,0.0006238630264277568,0.00037710178336868315,0.004613884192162371,0.0005840839686418067,0.001694182990614381,0.0013879478798637514,0.0012773049465349046,0.0002726459835038647,0.00031320982132907686,0.0002374569895388593,0.0005640030170968797,0.0004814701281742813,0.0019489858354837669,0.0008316410420297593,0.0004645261438734607,0.00023996237255371458,0.0005304238544963036,0.0004284933267597318,0.00044816343089444134,0.0004114631988021322,0.0003241911173016957,0.0009593852874040098,0.000406097020209712,0.0006403328321082425,0.00039672030591567906,0.0005211092632644358
吉林,0.0003802418163720764,0.00050628205133256,0.0005352114410328353,0.0006238630264277568,0.0,0.00023294251766008193,0.0007428997277296878,0.00033302488967937955,0.00037208257579293474,0.00047646652926589553,0.0009845603188553293,0.00020215188061587457,0.0002890914341709982,0.00026910514842565453,0.00035514923380590093,0.00035410622387481926,0.0004725305810214935,0.0003675830309559186,0.0003297013669063044,0.00020875517558594547,0.0003068794129484912,0.00026643305141146173,0.0003078436982596958,0.00027248728960284477,0.0004099859703777528,0.001825312397827318,0.0003417899894560217,0.00036238944553858467,0.0002698461809340553,0.002519973245030766
四川,0.00036495314753871237,0.0008068239295225432,0.00040699362321583747,0.00037710178336868315,0.00023294251766008193,0.0,0.0003550536174305344,0.000575190338000686,0.00044571156106724816,0.00037745234675922693,0.0004695498404761081,0.000413155148030821,0.000544673297094163,0.0002617433322286226,0.00036630804238359005,0.0004599069561139003,0.000700354435687346,0.0005590590587524494,0.00035596004051628044,0.00038823721991563024,0.0008305997047904949,0.0008981105829806379,0.0008487169149568201,0.00041731186274884135,0.0009778577435777922,0.00030279881915451485,0.0019072292392801145,0.0008530930220245153,0.0007323084552765473,0.0002181785527732857
天津,0.000565197927636912,0.0005502698422338021,0.0013184880964114828,0.004613884192162371,0.0007428997277296878,0.0003550536174305344,0.0,0.0005587240314620988,0.0006739999500927145,0.0018404986572572613,0.0012951804808027658,0.00028213331998931695,0.0006117075086145252,0.00026218636273156264,0.000631874664693673,0.000628597894819988,0.0019321632081633368,0.0008837562686342717,0.0005048457592189438,0.0002581593263866776,0.0005357740153954524,0.0004201122447695333,0.00045213193329315634,0.00037681134885849467,0.0003856631328357779,0.0008684670967874609,0.0009040800110323077,0.0007056752763423767,0.0003924948397430567,0.0007527821086726295
宁夏,0.00033084456686027395,0.00036155401487253066,0.0009710471525467738,0.0005840839686418067,0.00033302488967937955,0.000575190338000686,0.0005587240314620988,0.0,0.00042332034948585083,0.000524661115337668,0.0009467855536386705,0.0002788158164323485,0.00031446188937489674,0.00036248455835070865,0.00037945852882224673,0.00038297926260998425,0.0007099573966619154,0.000654855221283337,0.0003299280960924632,0.000778476761965438,0.0004524689286846762,0.00039944487208741784,0.0015587595371921248,0.00028840164756971696,0.00042547004997736887,0.0003510165965032192,0.0005328503159200426,0.0009786408261716931,0.0018444124145766878,0.0003042071297643207
安徽,0.0014670664381004456,0.0003569561728205915,0.000514433142722505,0.001694182990614381,0.00037208257579293474,0.00044571156106724816,0.0006739999500927145,0.00042332034948585083,0.0,0.0009427565238087039,0.0006679798581254396,0.0004849556673462446,0.0004386190394462345,0.00020156639374934232,0.0035425222484164903,0.0013969948025327392,0.0007417880875494726,0.0011017332763854342,0.001559770726267739,0.0003570208361586697,0.001634621760457326,0.0009186311236775269,0.0004018585603349207,0.0008423560252405074,0.00045773748305098154,0.0005944652362365021,0.000531857231455087,0.0006936518916428519,0.0003487558565460572,0.0003331353334010598
山东,0.0006931450639141429,0.0002747339936947817,0.000775112326867311,0.0013879478798637514,0.00047646652926589553,0.00037745234675922693,0.0018404986572572613,0.000524661115337668,0.0009427565238087039,0.0,0.0012120931049019847,0.00036430022794366656,0.00029406755201099406,0.00019963628972988366,0.0009788654105330672,0.0005671069135942441,0.0018759620452404573,0.00137060381500174,0.0006713540350003518,0.00026167423012682356,0.0007044474357754203,0.0005043289578118899,0.0004304334755851833,0.0004280992783396771,0.0003445273266084149,0.0006403838823956034,0.00040592245986030383,0.000652585967058995,0.00037513192175295474,0.0003956592013411424
