year,province,Population,Capital,energy_total,GDP_constant,Carbon
2017,福建,4065,64521.04947,8467.851894,30443.257,122.8153901
2017,贵州,3803,27283.4691,7208.395635,12789.07234,141.7313433
2017,辽宁,4312,61459.38548,15268.96493,29126.29087,225.2897319
2017,重庆,3144,33985.93924,6644.292913,19017.12655,67.66315437
2017,陕西,3904,45792.7593,7991.875521,20942.84307,153.9859554
2017,青海,586,11237.15865,2567.144064,2800.974222,25.39779256
2017,黑龙江,3399,39438.23701,9300.330694,17028.0154,187.5927287
2018,上海,2475,50209.43664,8111.315146,30604.96537,58.31747555
2018,云南,4703,50974.5074,8034.404459,17653.14888,85.75829545
2018,内蒙古,2422,53004.32484,15808.89687,20933.63354,589.5929917
2018,北京,2192,45825.34465,5298.615567,27957.35745,3.752088238
2018,吉林,2484,49132.90294,5425.635343,16542.62246,134.0673319
2018,四川,8321,65038.5768,13297.7281,37823.13186,81.21496969
2018,天津,1383,48058.35292,5620.816347,19365.65713,58.91801497
2018,宁夏,710,13072.56242,4581.568219,3630.657652,159.4974465
2018,安徽,6076,51160.8319,9715.30296,28029.59639,236.3032384
2018,山东,10077,147293.2836,27169.00652,77466.6529,556.4934724
2018,山西,3502,35124.49414,12647.94343,15245.50063,299.1723319
2018,广东,12348,148370.4629,20481.56705,89865.7953,273.0565607
2018,广西,4947,49533.96828,7441.60292,20622.93032,104.6466927
2018,新疆,2520,33245.16108,11563.00456,11454.58745,301.6869049
2018,江苏,8446,139410.8547,21908.21229,86456.4605,378.4985866
2018,江西,4513,36224.96291,6815.951402,21558.54185,116.8410958
2018,河北,7426,84427.87229,26003.62844,36173.53587,314.8040034
2018,河南,9864,121164.2884,14797.32369,46396.3486,287.7984291
2018,浙江,6273,91546.71606,14053.07638,53277.15265,233.0310268
2018,海南,982,10062.33717,1745.003464,4506.127472,20.07271522
2018,湖北,5917,72428.33536,11814.75995,37121.32704,156.5559015
2018,湖南,6635,61259.572,11282.74517,36341.03769,150.6483328
2018,甘肃,2515,17254.56364,5028.363837,8046.287247,101.9441188
2018,福建,4104,71358.99854,8649.303385,32970.04733,139.8325173
2018,贵州,3822,31207.90651,7052.524589,13952.87792,138.0958395
2018,辽宁,4291,61577.08799,15854.13942,30786.48945,233.5266117
2018,重庆,3163,37112.81368,5858.019606,20158.15415,69.61047474
2018,陕西,3931,49862.07474,8248.035866,22681.09904,155.8428859
2018,青海,587,12552.13523,2694.430002,3002.644366,22.91277378
2018,黑龙江,3327,41251.78979,7840.996061,17828.33212,176.8414975
2019,上海,2481,53342.23768,8351.955259,32441.26329,55.48468382
2019,云南,4714,56477.89801,8436.866484,19083.05394,86.41895712
2019,内蒙古,2415,52288.52076,17230.70228,22022.18249,646.7295736
2019,北京,2190,47697.12224,5334.418686,29662.75626,2.500295665
2019,吉林,2448,49568.92467,5472.135393,17038.90113,137.5204702
2019,四川,8351,70197.75247,13827.06836,40659.86675,86.85994983
2019,天津,1385,50241.62822,5813.112321,20295.20868,56.48522438
2019,宁夏,717,13412.35556,4892.344014,3866.6504,173.1652544
2019,安徽,6092,55739.6365,9999.82186,30131.81612,240.5260341
2019,山东,10106,151668.1398,29138.99072,81727.31881,563.6454255
2019,山西,3497,35875.0127,13264.81561,16190.72166,303.2686244
2019,广东,12489,162186.3092,20975.65413,95437.47461,269.6294053
2019,广西,4982,51494.17482,7656.171068,21860.30614,116.8533368
2019,新疆,2559,34623.70593,12117.89725,12164.77188,324.5572691
2019,江苏,8469,148414.9431,22894.14588,91730.30459,368.7276314
2019,江西,4516,39326.51687,7016.836452,23283.2252,117.9834814
2019,河北,7447,89234.10857,24840.81209,38633.33631,295.37823
2019,河南,9901,129713.0438,14648.99347,49644.093,259.4372699
2019,浙江,6375,98192.55209,14342.40459,56899.99903,224.1579683
2019,海南,995,10295.71401,1792.200877,4767.482865,19.51561143
2019,湖北,5927,79057.19479,12260.51764,39905.42657,170.0262529
2019,湖南,6640,66050.42783,11510.43088,39102.95655,146.9767579
2019,甘肃,2509,17665.63664,5095.74183,8545.157057,99.77882352
2019,福建,4137,78050.47988,9185.727223,35475.77092,141.0888745
2019,贵州,3848,34607.59619,7229.945568,15110.96679,144.77256
2019,辽宁,4277,61495.75817,16821.1342,32479.74637,241.4383376
2019,重庆,3188,39936.13543,5935.800926,21428.11786,68.30305404
2019,陕西,3944,53476.5353,8866.133061,24041.96499,171.0279394
2019,青海,590,13785.10182,2709.472263,3191.810961,21.94005811
2019,黑龙江,3255,43201.37788,8341.872253,18577.12207,189.0123247
2020,上海,2488,56861.94425,7743.370499,32992.76477,54.8350451
2020,云南,4722,61817.01476,8916.621928,19846.3761,97.3965452
2020,内蒙古,2403,51481.21986,18515.55252,22066.22685,673.8725979
2020,北京,2189,49397.64796,4789.496117,30018.70933,1.829965926
2020,吉林,2399,50298.56533,5379.525325,17447.83476,134.4576028
2020,四川,8371,74743.85688,13612.69728,42204.94168,82.47489169
2020,天津,1387,52258.66039,5741.815188,20599.63681,55.82216748
2020,宁夏,721,13758.56614,5391.042054,4017.449765,181.8982628
2020,安徽,6105,60054.64185,10806.02193,31306.95695,237.9442613
2020,山东,10165,155723.1865,29920.36058,84669.50229,535.9693677
2020,山西,3490,36887.50433,13146.53474,16773.58764,310.1246993
2020,广东,12624,175836.4313,21251.43885,97632.53653,263.5386809
2020,广西,5019,53340.17289,8439.612426,22669.13747,122.4520123
2020,新疆,2590,36578.51747,12205.3518,12578.37412,345.5686528
2020,江苏,8477,155910.9763,22807.82215,95124.32586,361.0002586
2020,江西,4519,42474.12624,6955.926932,24167.98775,117.4887903
2020,河北,7464,93665.05525,25218.54947,40140.03642,295.6152403
2020,河南,9941,137643.3628,15142.38416,50289.46621,264.0265823
2020,浙江,6468,104615.4395,16113.29947,58948.399,215.164121
2020,海南,1012,10577.96428,1745.893065,4934.344766,17.67607128
2020,湖北,5745,81909.96347,11553.68654,37910.15524,144.3536366
2020,湖南,6645,70912.25665,11578.95338,40588.8689,137.9381286
2020,甘肃,2501,18162.56393,5332.204163,8878.418182,106.9904164
2020,福建,4161,83639.37417,8955.285374,36646.47136,145.9560731
2020,贵州,3858,37674.56336,7237.479001,15790.96029,122.5436841
2020,辽宁,4255,61436.36459,17698.76377,32674.62485,243.8510329
2020,重庆,3209,42557.79647,6084.932851,22263.81446,67.38911527
2020,陕西,3955,56836.57733,8940.927249,24570.88822,182.0769258
2020,青海,593,14506.63436,2578.168522,3239.688125,19.75488852
2020,黑龙江,3171,45019.52004,8388.005297,18762.89329,186.9001907
2021,上海,2489,60625.22802,7981.61521,35665.17871,66.21476511
2021,云南,4690,67008.19544,8800.260855,21295.16156,98.09231027
2021,内蒙古,2400,51196.68394,18109.37173,23456.39915,677.8168079
2021,北京,2189,51172.20057,5073.403494,32570.29963,2.002198474
2021,吉林,2375,51585.30403,5307.89015,18599.39185,135.4243234
2021,四川,8372,79475.0857,14261.10055,45665.7469,88.10529853
2021,天津,1373,54314.56957,5678.49088,21959.21284,56.9665083
2021,宁夏,725,14081.16106,5640.388991,4286.6189,191.0734354
2021,安徽,6113,64774.86524,11112.90337,33905.43438,247.6159811
2021,山东,10170,160314.5688,31458.27882,91697.07098,557.1211673
2021,山西,3480,38165.97564,13820.3065,18299.98412,328.6649297
2021,广东,12684,189705.1983,22060.8826,105443.1395,321.168464
2021,广西,5037,55481.18743,8933.893129,24369.32278,123.6214205
2021,新疆,2589,39103.11389,13665.75426,13458.86031,390.4124391
2021,江苏,8505,163567.7445,23730.74461,103305.0179,397.6176679
2021,江西,4517,46008.49377,7144.453924,26294.77068,118.5501944
2021,河北,7448,97891.7762,24610.96456,42749.13879,297.8555863
2021,河南,9883,145494.6946,15826.82394,53457.70258,263.2169297
2021,浙江,6540,111908.9456,17176.48023,63959.01291,261.5130408
