province,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
上海,0.0,0.0005099813666176577,0.0007239592797918862,0.0009369466668062621,0.0006910312947822585,0.0006025724315698247,0.0010418179167284902,0.0006250383796248026,0.0024807088521077913,0.001365588610650837,0.0009096714899738042,0.0008256361587676118,0.0006244782018200728,0.0003061338326316856,0.003683715117420883,0.00164481585951082,0.001010491169731728,0.0012097719597729821,0.006096071724665466,0.0005985736526092095,0.0014533019435752944,0.0011280889394661335,0.0005825243812362329,0.0016365388058441686,0.0006555481933211274,0.000842017265467912,0.0006910904344207499,0.0008210771287572185,0.0005237839003461076,0.000596774440392056
云南,0.0005099813666176577,0.0,0.0005152619987849606,0.00047896503445207014,0.00034145654053492007,0.0015654821529644657,0.00048279680236750405,0.0006535490009382888,0.0006204792717992181,0.0005331318357925352,0.0005878876026612728,0.0009145194240101973,0.0016106464240994392,0.00040096409139635307,0.0005720271666779272,0.0007312143395302422,0.0005482567031678869,0.0006628289822322812,0.0005519796701451861,0.0010415827766020243,0.0007725174388987583,0.0009267742874835812,0.0008132285266842261,0.0005997137662008684,0.002296358283620895,0.00037542515572543654,0.0016015195826862868,0.0008412201586713977,0.000774605002368772,0.0003185009243771805
内蒙古,0.0007239592797918862,0.0005152619987849606,0.0,0.0024169940807463267,0.0008538863217792706,0.0007572772519816773,0.0019744117705868657,0.0018849656896224051,0.0008968489791492102,0.0015330087550996336,0.0029600622521646874,0.0005068071986942553,0.0004937484275152599,0.0005004561987129093,0.0008596182254909125,0.0007124411865673782,0.002546836978000366,0.0014362821966876764,0.0007151030999331143,0.00043199872191788903,0.0008603827747619433,0.0007098070697994239,0.0011575995304253781,0.0005605360908609107,0.0006069040908662571,0.0010128050332030925,0.0007467522768946836,0.001303274207281454,0.0010246996330181125,0.0007531761502267428
北京,0.0009369466668062621,0.00047896503445207014,0.0024169940807463267,0.0,0.00116264353853615,0.0006589512973946151,0.009112086899700741,0.0011275826999683825,0.0011137049752380618,0.0027562689460606704,0.0024752584792619896,0.0005294261143386497,0.0004886964827164538,0.00041482123279995136,0.001111433112082854,0.0008003620418595626,0.003785000595997634,0.0016092992578497663,0.0008911332646013172,0.00043775128571349817,0.0009489279414044072,0.0007465329874654636,0.0008464151011956566,0.0006405529877320644,0.0005774170518847196,0.0015952236775817195,0.000683149654555424,0.001097668850787885,0.000753961335240398,0.0009460552417174595
吉林,0.0006910312947822585,0.00034145654053492007,0.0008538863217792706,0.00116264353853615,0.0,0.00042094471706469535,0.0011641392337592756,0.0005884474120339632,0.0006621503580508195,0.0009369851130433825,0.0007910889860293585,0.0003909315128519371,0.00035558239318989645,0.00033361288173500907,0.0006964274349122174,0.0005297178573144385,0.0008965295341219945,0.0007021384608825978,0.0006331734207791759,0.0003338864175052825,0.0005654222526540778,0.0004848050452441046,0.0004949445168403916,0.0004869583348326192,0.0003922780715727056,0.0035832576832088726,0.00043383126662274333,0.0005657640266439693,0.0004660353961966499,0.004301566964663532
四川,0.0006025724315698247,0.0015654821529644657,0.0007572772519816773,0.0006589512973946151,0.00042094471706469535,0.0,0.0006578684455532416,0.0011219214083719724,0.0007920077994542153,0.0007301842005968036,0.0008958107760198242,0.0008072735573460024,0.0010330383235445367,0.0004866398404305369,0.0007125522624777975,0.0008597514105188253,0.0007934020648458922,0.0009935226223477989,0.0006489222003010342,0.000747243248916469,0.0010215946116636896,0.0011041161871424756,0.00166468323415315,0.0006352291692220827,0.0019150483092242408,0.00047060288838732966,0.003759657079100398,0.0016435412310348851,0.0014367059216214507,0.0003885043009706006
天津,0.0010418179167284902,0.00048279680236750405,0.0019744117705868657,0.009112086899700741,0.0011641392337592756,0.0006578684455532416,0.0,0.0010549288202896432,0.0012379168626196289,0.0036642174202131555,0.0023376917773716317,0.0005503143591544632,0.0005006015568367504,0.0003993182933722253,0.0012492531754845844,0.0008561595281823761,0.003807171308615185,0.00173070565991492,0.0009811334820311606,0.00044994918659400495,0.001014663260836687,0.0007837209161981387,0.0008164747409558435,0.0006828396735172759,0.0005877386847736558,0.0016517202434677442,0.0006910338927086152,0.0010968702785059533,0.0007250567530551377,0.0009356186455159589
宁夏,0.0006250383796248026,0.0006535490009382888,0.0018849656896224051,0.0011275826999683825,0.0005884474120339632,0.0011219214083719724,0.0010549288202896432,0.0,0.0008067669028229108,0.0010360930036781106,0.0018104962143663745,0.0005462249550492278,0.000571381605941229,0.0005999465741876173,0.0007471494293018221,0.0007118711869961985,0.001390056314573068,0.0012865429404417008,0.0006402527650066799,0.00047925797942127604,0.0008751533245226483,0.0007692100513993893,0.0029003233854745496,0.000543605802182684,0.0007561361513791817,0.0006659714825422706,0.0010064948050781356,0.0019051302099984363,0.002240061076232476,0.0005381921140790112
安徽,0.0024807088521077913,0.0006204792717992181,0.0008968489791492102,0.0011137049752380618,0.0006621503580508195,0.0007920077994542153,0.0012379168626196289,0.0008067669028229108,0.0,0.0018657154109022935,0.001259283159559505,0.0009539340397438621,0.0007473775425959689,0.0003445867303103751,0.007068349940074935,0.0026422563152783784,0.0013647011711719452,0.0021481714492792817,0.003080979596051319,0.0006726358986186211,0.003151532013586852,0.0017211714077643538,0.0007548770339262476,0.0014864421354199148,0.0008466567824160166,0.0008117308471800043,0.000941597903384374,0.0012179328837090037,0.000658705953699691,0.0005740078723735658
山东,0.001365588610650837,0.0005331318357925352,0.0015330087550996336,0.0027562689460606704,0.0009369851130433825,0.0007301842005968036,0.0036642174202131555,0.0010360930036781106,0.0018657154109022935,0.0,0.0024084512804892913,0.0006458034967623917,0.0005709564116091884,0.00038447785235964775,0.0018512196211009344,0.001116701180285391,0.0037281704905571156,0.002710368461170828,0.0013020224654229314,0.0005099548199311106,0.0013850942634788513,0.000984789935335094,0.0008467796789567707,0.0008342048006389533,0.0006736800012208069,0.0012598734737987532,0.0007948091379142034,0.0012874462403759872,0.0007371543246395358,0.0007750184003730309
