weight_type,effect_type,variable,coef,se,zstat,pvalue,ll,ul
adjacency_01,LR_Direct,es,.0377898622526383,.1321275304930761,.2860105090257368,.7748700725883204,-.2211753388800086,.2967550633852851
adjacency_01,LR_Direct,ind,.0795415285081847,.1131396672322116,.7030383812684466,.482031830784451,-.1422081444897964,.301291201506166
adjacency_01,LR_Direct,lntl,.3207092010745216,.0727544014406715,4.408107203466554,.0000104277930437,.1781131945340364,.4633052076150068
adjacency_01,LR_Direct,open,.5220761632162848,.0926239963887286,5.636510878079711,1.73530079157e-08,.3405364661902087,.703615860242361
adjacency_01,LR_Direct,rd,4.869814364726881,2.453304512978138,1.985001999941406,.0471442489893486,.0614258761801532,9.678202853273607
adjacency_01,LR_Direct,urb,-1.731456804066661,.3986069728594164,-4.34376948211923,.0000140058481882,-2.512712114857652,-.9502014932756701
adjacency_01,LR_Indirect,es,.18731703316461,.3195196389237304,.5862457587757937,.5577103755854187,-.438929951479144,.8135640178083638
adjacency_01,LR_Indirect,ind,-.0583932962957168,.2792252950985451,-.2091260975303419,.8343498022195354,-.6056648182614337,.48887822567
adjacency_01,LR_Indirect,lntl,-.3651627489574561,.1182150740590397,-3.088969421742987,.0020085211054125,-.5968600365429091,-.1334654613720032
adjacency_01,LR_Indirect,open,.7039264337006117,.2015690320113871,3.49223502576946,.0004789965799885,.3088583905596917,1.098994476841532
adjacency_01,LR_Indirect,rd,6.075587507091456,6.299196747215483,.9645019438037283,.3347943343453798,-6.270611248982748,18.42178626316566
adjacency_01,LR_Indirect,urb,-.8885748087143722,.8333266500837674,-1.066298322062604,.2862888077865777,-2.521865030235968,.7447154128072236
adjacency_01,LR_Total,es,.2251068954172482,.3738903037420427,.6020666841698995,.5471297500612629,-.5077046340858968,.9579184249203934
adjacency_01,LR_Total,ind,.0211482322124679,.3359743570209188,.0629459712342009,.9498095276495041,-.6373494072775348,.6796458717024705
adjacency_01,LR_Total,lntl,-.0444535478829344,.110377573345439,-.4027407609679194,.6871389445922742,-.260789616340923,.1718825205750542
adjacency_01,LR_Total,open,1.226002596916896,.2460061936371278,4.983624919319371,6.24039934800e-07,.7438393174143394,1.708165876419453
adjacency_01,LR_Total,rd,10.94540187181834,6.783936995472422,1.613429175289107,.1066512988673505,-2.350870312696475,24.24167405633315
adjacency_01,LR_Total,urb,-2.620031612781033,.7838196080270756,-3.342646172600634,.0008298363687882,-4.156289814890403,-1.083773410671663
economic_geo_nested,LR_Direct,es,-.0221026048148496,.1335696820183453,-.1654762104757715,.8685691729841434,-.2838943709972735,.2396891613675744
economic_geo_nested,LR_Direct,ind,.0940058644578983,.1221045666272197,.7698800057568231,.4413710752998683,-.1453146884793237,.3333264173951203
economic_geo_nested,LR_Direct,lntl,.0512492392989614,.0724394664192537,.7074767641488293,.4792702473955811,-.0907295059420745,.1932279845399972
economic_geo_nested,LR_Direct,open,.4403901550611857,.0980681724846333,4.490653225236681,7.10050733436e-06,.2481800689616425,.6326002411607288
economic_geo_nested,LR_Direct,rd,5.727890052828923,2.528800349953081,2.265062187663489,.0235088635935062,.7715324428285992,10.68424766282925
economic_geo_nested,LR_Direct,urb,-1.067738611774285,.4390779248289459,-2.43177475203348,.0150250479325044,-1.928315530845604,-.207161692702966
economic_geo_nested,LR_Indirect,es,-.1234840864688267,.8444132324584898,-.1462365601606047,.8837346449447534,-1.778503610156515,1.531535437218862
economic_geo_nested,LR_Indirect,ind,.2510574871030627,.6688371696550078,.3753641371823883,.7073896726173391,-1.059839276942458,1.561954251148584
economic_geo_nested,LR_Indirect,lntl,.5651222040224227,.3207823906677054,1.761699583465684,.07812006827525,-.0635997285609372,1.193844136605783
economic_geo_nested,LR_Indirect,open,1.040576037279592,.6123940940040323,1.699193456416221,.0892827389141889,-.1596943313133476,2.240846405872531
economic_geo_nested,LR_Indirect,rd,19.1579244008935,14.92217812277699,1.283855764437708,.1991924275380361,-10.08900729064091,48.40485609242791
economic_geo_nested,LR_Indirect,urb,-3.320851863244317,1.850030031965237,-1.795025921669317,.0726495700407079,-6.946844096213666,.3051403697250326
economic_geo_nested,LR_Total,es,-.1455866912836762,.867312488389366,-.1678595583859706,.8666937663460004,-1.845487931868647,1.554314549301295
